page	section	selected_visible_owner	selected_geometry	v69_revision	retained_creative_content	confidence
f10r	HERBAL	WHOLE_PLANT	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	withdraw narrow species and any image-based WATER claim	illustrated simple article; water or preparation may occur only in unseen text/exemplar	HIGH
f11r	HERBAL	WHOLE_PLANT	one dense many-stemmed blue-flowered crown plant with crossed root complex	withdraw VIOLET as the live image default	illustrated simple article for an unidentified bushy or composite herb	HIGH
f55v	HERBAL	WHOLE_PLANT	one broad-leaf plant with branched crown and mnemonic asymmetric root	withdraw ALLIUM, PLANTAIN, visible wound and visible dye process	illustrated simple or plant-material article; mnemonic root may cue identity	HIGH
f56r	HERBAL	WHOLE_PLANT	one highly schematic multihead plant with a large spiral or radial organ; no depicted water	withdraw SUNDEW and breast-remedy as image defaults	illustrated simple or plant-material article with unknown identity	HIGH
f81v	BIOLOGICAL	SHARED_FIGURE_POOL_OR_ENCLOSURE	approximately sixteen nude figures in two rows inside one common green field with local appendages	replace a seven-stage circulation with a shared bath, pool or collective station	balneological group bath is leading; collective formal tableau remains rival	HIGH
f82r	BIOLOGICAL	MULTIPLE_FIGURE_AND_DEVICE_STATIONS	several partly disconnected figure, vessel, cylinder, conduit and lower-pool vignettes	replace one linear filter-drain-refill machine with a station or configuration atlas	illustrated bathing/application stations with apparatus layer; bathhouse operations are coequal rival	HIGH
f83r	BIOLOGICAL	LOCAL_LINKED_FIGURE_VESSELS	one true arch-linked lower pair plus local conduits, outlets and disconnected marginal stations; no arrows	replace a single directed return cycle with several local coupled configurations	application or bathing apparatus examples; direction and substance remain unknown	HIGH
f67r2	ASTRO	PAIRED_CELESTIAL_WHEELS	two differently organized radial celestial diagrams with no drawn connector	replace a visibly literal 7-by-12 matrix with paired celestial concordance or selector wheels	astrological, calendrical or iatromathematical lookup remains plausible	HIGH
f68r1	ASTRO	MULTIPANEL_STAR_ATLAS	two open star fields plus one sectorized circular submap and at least five face centres	replace one whole-page centre-plus-28 object with a multi-centre star-station atlas	celestial spatial catalogue; any local 28-count must stay subdiagram-local	HIGH
f69v	ASTRO	THREE_CELESTIAL_ROSETTES	three disconnected heterogeneous wheels; left wheel has approximately 28 radial places; no common start or direction	replace one ordered 28-rule sequence with a local 28-place inventory inside a three-wheel lookup or comparison plate	three calendrical, astronomical, quality or prognostic lookup devices	HIGH
