connection_id	page	owner_class	object_a	visible_relation	object_b	direct_contact	confidence	direction_visible	semantic_free_note
C001	f10r	WHOLE_PLANT	CENTRAL_STEM	continuous line into	ROOTSTOCK	YES	HIGH	NO	One plant body; not a processing line
C002	f10r	WHOLE_PLANT	CENTRAL_STEM	branches into	OPEN_FLOWER	YES	HIGH	NO	Flower is a visible plant part
C003	f10r	WHOLE_PLANT	CENTRAL_STEM	branches into	CLOSED_BUD	YES	HIGH	NO	Open and closed heads permit a stage distinction but do not define harvest times
C004	f10r	ROOTSTOCK	HORIZONTAL_ROOTSTOCK	terminates in	LEFT_AND_RIGHT_RED_SWELLINGS	YES	HIGH	NO	Terminal plant swellings; not drawn vessels
C005	f11r	WHOLE_PLANT	ROOT_CROWN	continues through	THREE_UPRIGHT_STALKS	YES	HIGH	NO	Three repeated structural supports
C006	f11r	WHOLE_PLANT	THREE_UPRIGHT_STALKS	enter	DENSE_CANOPY	YES	HIGH	NO	Canopy is one continuous owner despite repeated units
C007	f11r	CANOPY	BLUE_HEAD_SET	emerges among	SCALLOPED_CANOPY_UNITS	YES	MEDIUM	NO	Repeated blue plant heads; no separate labels are connected
C008	f55v	WHOLE_PLANT	CENTRAL_STALK	joins	ROOT_SYSTEM	YES	HIGH	NO	Continuous whole-plant axis
C009	f55v	WHOLE_PLANT	CENTRAL_STALK	passes through	BROAD_LEAF_MASS	YES	HIGH	NO	Leaf mass is a depicted part, not a container
C010	f55v	INFLORESCENCE	BRANCHED_CROWN	terminates at	COLOURED_TIP_SET	YES	HIGH	NO	Repeated tips are local crown members
C011	f55v	ROOT_SYSTEM	RIGHT_MAJOR_ROOT	forms	ROUNDED_LOBED_SWELLING	YES	HIGH	NO	Odd contour remains a root feature; animal or vessel reading is not required
C012	f56r	WHOLE_PLANT	MAIN_STALK	branches into	DOMINANT_SPIRAL_HEAD	YES	HIGH	NO	Large schematic head shares the plant axis
C013	f56r	WHOLE_PLANT	MAIN_STALK	branches into	SECONDARY_HEAD_SET	YES	HIGH	NO	All coloured heads belong to one visible plant
C014	f56r	WHOLE_PLANT	MAIN_STALK	continues into	BASAL_UNCOLOURED_SHOOT	YES	MEDIUM	NO	Lower outline is attached although incompletely coloured
C015	f81v	POOL_OR_ENCLOSURE	GREEN_ENCLOSED_FIELD	contains or occludes lower bodies of	SIXTEEN_FIGURES	YES	HIGH	NO	Formal containment; liquid and bathing are later overlays
C016	f81v	POOL_OR_ENCLOSURE	INTERNAL_HORIZONTAL_BAND	separates	UPPER_AND_LOWER_FIGURE_ROWS	YES	HIGH	NO	Two-tier organization is visible
C017	f81v	POOL_OR_ENCLOSURE	LEFT_OUTER_EDGE	appears to continue into	RISING_LEFT_APPENDAGE	YES	MEDIUM	NO	A physical appendage is likely; inlet or outlet is not shown
C018	f81v	POOL_OR_ENCLOSURE	RIGHT_OUTER_EDGE	continues into	THIN_RIGHT_APPENDAGE	YES	MEDIUM	NO	Direction and destination are absent
C019	f82r	UPPER_PAIRED_ASSEMBLY	LEFT_LONG_ARC	meets	CENTRAL_CYLINDER_NECK	YES	HIGH	NO	One half of a symmetric upper connection
C020	f82r	UPPER_PAIRED_ASSEMBLY	RIGHT_LONG_ARC	meets	CENTRAL_CYLINDER_NECK	YES	HIGH	NO	Second half of a symmetric upper connection
C021	f82r	UPPER_PAIRED_ASSEMBLY	LEFT_AND_RIGHT_FIGURES	hold or touch	OUTER_ENDS_OF_LONG_ARCS	YES	MEDIUM	NO	Figures participate in the assembly; exact action unknown
C022	f82r	CENTRAL_CYLINDER	CENTRAL_CYLINDER	ends in	SHORT_LOWER_NOZZLE	YES	HIGH	NO	No receiving object is attached below
C023	f82r	MIDLEFT_DEVICE	LEFT_MID_FIGURE_HAND	touches	CIRCULAR_HANDLE_OR_RING	YES	MEDIUM	NO	Gesture and device contact are visible; operation is not
C024	f82r	MIDLEFT_DEVICE	OUTLINED_CROSS_FORM	emits or adjoins	PARALLEL_WAVY_STRANDS	YES	HIGH	NO	Strands are visible but need not depict flow
C025	f82r	MIDLEFT_DEVICE	PARALLEL_WAVY_STRANDS	approach	SMALL_ROSETTE	UNCERTAIN	LOW	NO	Nearness is not upgraded to a secure connection
C026	f82r	RECLINING_FIGURE_VESSEL	RECLINING_FIGURE	lies inside	FUNNEL_LIKE_VESSEL	YES	HIGH	NO	Separate local scene
C027	f82r	RECLINING_FIGURE_VESSEL	FUNNEL_LIKE_VESSEL	ends in	LOWER_NOZZLE	YES	HIGH	NO	No receiving line or flow direction is shown
C028	f82r	LOWER_POOL_OR_ENCLOSURE	IRREGULAR_GREEN_FIELD	contains or overlaps	NUMEROUS_LOWER_FIGURES	YES	HIGH	NO	Formal figure-field relation; water remains an overlay
C029	f82r	PAGE	UPPER_ASSEMBLY	no demonstrated connection to	LOWER_GREEN_FIELD	NO	HIGH	NO	The page is a catalogue of local scenes rather than one proven machine
C030	f83r	ARCH_CONNECTION	BROAD_ARCH	joins	TWO_LOWER_FIGURE_VESSELS	YES	HIGH	NO	Strongest pairwise connection on the page
C031	f83r	DESCENDING_CHANNEL	LEFT_LOWER_FIGURE_VESSEL	continues into	BLUE_LINED_DESCENDING_CHANNEL	YES	HIGH	NO	Colour can distinguish the channel; direction remains unknown
C032	f83r	DESCENDING_CHANNEL	BLUE_LINED_DESCENDING_CHANNEL	curves into	LOWER_LEFT_OPEN_END	YES	HIGH	NO	Open end is visible but not labelled inlet or outlet
C033	f83r	S_CONDUIT	RIGHT_LOWER_FIGURE_VESSEL	continues into	LONG_S_SHAPED_CONDUIT	YES	HIGH	NO	Continuous outline, no arrow
C034	f83r	MULTIENDED_HUB	LONG_S_SHAPED_CONDUIT	terminates in	BLUE_MULTIENDED_HUB	YES	HIGH	NO	Hub belongs to this local assembly
C035	f83r	MULTIENDED_HUB	BLUE_MULTIENDED_HUB	branches into	SEVERAL_TENDRILS_AND_DOTTED_ENDS	YES	HIGH	NO	Could be discharge, spray or ornament; none is selected by contour alone
C036	f83r	PAGE	LOWER_CONNECTED_PAIR	no demonstrated connection to	UPPER_AND_MARGIN_SCENES	NO	HIGH	NO	Multiple local owners must be kept distinct
C037	f67r2	LEFT_RADIAL_DIAGRAM	CENTRAL_FACE_DISK	radially aligned with	COLOURED_RAYS_AND_STAR_SECTORS	YES	HIGH	NO	Radial topology is visible; 7 by 12 is not
C038	f67r2	RIGHT_CONCENTRIC_DIAGRAM	CENTRAL_STAR	centres	RINGS_WITH_DISK_OR_CRESCENT_STATIONS	YES	HIGH	NO	Celestial-looking station inventory without a named function
C039	f67r2	OPENING	LEFT_RADIAL_DIAGRAM	no connector to	RIGHT_CONCENTRIC_DIAGRAM	NO	HIGH	NO	Separate diagram namespaces
C040	f68r1	STAR_FIELD_LEFT	STAR_EMBLEM_SET	adjacent to	LOCAL_LABEL_SET	NO	MEDIUM	NO	Labels are close but lack leader lines
C041	f68r1	STAR_FIELD_CENTRE	STAR_EMBLEM_SET	adjacent to	LOCAL_LABEL_SET	NO	MEDIUM	NO	Scattered stations have no drawn path between them
C042	f68r1	RADIAL_STAR_DIAGRAM	CENTRAL_FACE_DISK	partitioned around by	UNEQUAL_STAR_SECTORS	YES	HIGH	NO	A radial catalogue is visible; one global 28-member object is not
C043	f68r1	SHEET	THREE_VISUAL_PANELS	remain mutually	UNCONNECTED	NO	HIGH	NO	Panel sequence or common start is not drawn
C044	f69v	SPOKE_DIAGRAM	CENTRAL_STAR_OR_HUB	radially joins	REPEATED_KNOBBED_SPOKES	YES	HIGH	NO	One local wheel with its own arity
C045	f69v	LOBED_DIAGRAM	CENTRAL_STAR_OR_HUB	is surrounded by	SCALLOPED_LOBE_SET	YES	HIGH	NO	Second local wheel with a different inner geometry
C046	f69v	FACE_PETAL_DIAGRAM	CENTRAL_FACE_DISK	is surrounded by	BROAD_PETALS_AND_SECTORS	YES	HIGH	NO	Third local wheel with another geometry
C047	f69v	SHEET	THREE_CIRCLES	have no connector among	EACH_OTHER	NO	HIGH	NO	No linear 28-rule chain or cross-wheel key is visible
C048	f69v	SHEET	UPPER_RIGHT_PROSE_BLOCK	stands outside	THREE_CIRCLES	NO	HIGH	NO	May govern page use, but no leader assigns it to one wheel
