v69_assumption	scope	image_pressure	exact_visible_reason	historical_calibration	v70_r2_revision
Illustration supplies a silent Herbal owner	f10r;f11r;f55v;f56r	SUPPORTS	Each page is dominated by one continuous whole-plant construction, while prose occupies the residual spaces.	Egerton MS 747 places large plant miniatures into the text area for a named substance; Egerton MS 2020 is a near-contemporary illustrated herbal.	Retain WHOLE_PLANT as page owner, but do not promote any species name or treatment.
Herbal pages are plant articles rather than process diagrams	f10r;f11r;f55v;f56r	SUPPORTS	No pictured vessel, user, conduit, or operation touches any of the four plants.	Illustrated herbals combine plant portrait and written properties/preparations without depicting every recipe action.	Read the picture as an index/owner, not as a rebus for individual neighbouring cards.
f10r is narrowly scabious or devil's-bit-like	f10r	STRAINS	The broad repeated toothed leaves, blue radial head, outlined terminal form, and paired red underground swellings form no secure narrow match.	Historical herbal traditions can stylize diagnostic parts, but genre resemblance is weaker than an identified specimen.	Demote to BROAD_TOOTHED_COMPOSITE_FLOWERED_HERB; water preparation remains text-side invention.
f11r is violet-like	f11r	CONTRADICTS	A dense rounded multi-axis crown with many repeated blue prongs and crossed tapering roots is unlike the minimal diagnostic structure expected from a narrow violet portrait.	The Carrara Herbal explicitly contains an actual sweet-violet entry (Egerton 2020 f.94r), showing that violet was a nameable illustrated simple in this period; it does not make the Voynich image violet.	Replace VIOLET with DENSE_BLUE_FLOWERED_CROWN_PLANT; keep violet only as a rejected comparison.
f55v is Allium or plantain-like	f55v	CONTRADICTS	The enormous paired/fused leaf mass, branched apical spray, and animal-like irregular root do not cohere with a narrow Allium bulb/umbel or plantain rosette/spike.	Medieval plant images may exaggerate roots or use memorable silhouettes, so grotesque form need not be literal zoology.	Replace with BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT.
f56r is sundew-like and supports a chest remedy	f56r	CONTRADICTS	The plant has two large spiny/rayed oval heads and a giant spiral/radial head on one tall branching axis; no small sticky-leaf rosette or pictured chest application appears.	Herbal genre can carry remedies not pictured, but the image cannot select that species or ailment.	Replace with MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB; remove sundew and chest/h cough specifics from the live visual reading.
Water may occur in a Herbal article even when not pictured	f10r and Herbal generally	COMPATIBLE	No Herbal image shows water, but the picture can serve only as owner while prose carries preparation.	Illustrated herbals describe medicinal preparations beyond what the single plant portrait depicts.	Permit water only as an unbound recipe fill; do not treat any plant colour, swelling, or nearby card as WATER.
Biological section is therapeutic balneology with an apparatus layer	f81v;f82r;f83r	SUPPORTS	f81v shows many nude figures immersed to the waist in one bounded green field; f82r and f83r add cup/vessel stations and visibly joined arches/tubes.	De balneis Puteolanis witnesses from the 13th–14th centuries and ca. 1400 explicitly depict nude bathers immersed in pools while discussing curative baths.	Promote ILLUSTRATED_BALNEOLOGICAL_STATION_BOOK_WITH_APPARATUS_LAYER as R2's best content reading, without disease or body-part claims.
Biological section is a purely impersonal waterworks manual	f81v;f82r;f83r	STRAINS	Bodies and gestures are integral to every page, including the large shared enclosure and several terminal cups; they are not mere scale figures beside machines.	Taccola's near-contemporary hydraulic drawings show that a true technical tradition existed, but its machine-centered purpose does not erase the Voynich figures.	Retain bathhouse/apparatus operation as strongest rival, not as a sufficient whole-section explanation.
Nude figures prove women's medicine or gynaecology	f81v;f82r;f83r	CONTRADICTS	Nudity, breasts, immersion, and repeated female-looking faces show a gendered pictorial vocabulary but no womb, birth scene, named illness, or diagnostic operation.	De balneis imagery uses nude bathers for therapeutic waters without requiring a gynaecological genre; Morgan G.74 even uses male bathers.	Remove women-specific diagnosis; allow female users, nymph/personifications, or workshop-standard figures.
The six Bio records form continuous process cycles	f81v;f82r;f83r	STRAINS	Several local assemblies are visibly disconnected: especially the two lower f83r systems and multiple f82r stations. Prose adjacency does not join them.	Bath books commonly organize separate baths/virtues; technical notebooks likewise juxtapose independent devices.	Prefer a catalogue of station-specific articles or variants over one manuscript-wide closed circulation cycle.
Visible green in Bio is water	f81v;f82r	SUPPORTS	Human lower bodies disappear into a bounded continuous green medium, making immersion much simpler than dry ground on these two pages.	Medieval bath miniatures show bodies immersed in pools, though their pigment conventions vary.	Use BATH_MEDIUM as image-near default, but keep GREEN_FILL in neutral data and do not infer chemical composition or flow.
Conduits on f83r carry fluid in a known direction	f83r	STRAINS	Contours genuinely connect vessels, cups, and a lobed terminal, but no arrows, level marks, or unambiguous source/sink signs choose direction.	Early-fifteenth-century hydraulic manuscripts document siphons, pumps, mills, and water devices, but that historical possibility cannot supply absent arrows here.	Retain CONNECTED_PATH and separate apparatuses; delete fixed feed/return direction from the revised unit.
Text was fitted after images; line shape is often reflow	all ten	SUPPORTS	Herbal prose occupies contour-shaped pockets; f82r/f83r lines bend around stations; circular writing follows diagram bands.	Image-plus-text manuscripts routinely integrate figures in the text area; technical and astronomical codices also use local captions around diagrams.	Strengthen image-first reflow. Do not convert line endings or image avoidance into semantic operators.
