assumption_id	V69_assumption	image_scope	verdict	precise_visual_pressure	R3_revision
P01	Herbal-Bild liefert einen stillen Besitzer	f10r;f11r;f55v;f56r	SUPPORTS	Jede Seite zeigt genau eine dominante, zusammenhängende Pflanzenfigur; Text ist um diese Gesamtfigur gesetzt	OWNER darf als WHOLE_PLANT-Bildbesitzer stehen; kein Name und kein Einzelteilwert folgt daraus
P02	Herbal sind bebilderte Simples/Heilpflanzen	f10r;f11r;f55v;f56r	COMPATIBLE	Pflanzen sind eindeutig, doch kein Gefäß, Körper, Krankheitssymbol oder Anwendungsvorgang ist abgebildet	Materia medica bleibt historisch plausible Gattung, ist visuell nicht von Rohstoff-/Pflanzenkunde getrennt
P03	Herbal enthält Wasser, Auszug, Öl, Wein oder Waschung	f10r;f11r;f55v;f56r	STRAINS	Keines der vier Bilder zeigt Flüssigkeit, Gefäß, Pressung, Erhitzung oder Anwendung	Solche Inhalte dürfen nur Exemplartext sein; das Bild stützt sie nicht und keine Karte erhält Wasserbedeutung
P04	Herbal als Material-/Rohstoffregister	f10r;f11r;f55v;f56r	COMPATIBLE	Teilbarkeit in Wurzel, Blatt, Blüte und Fruchtstand ist sichtbar, aber keine Entnahme oder Charge	Praktische Materiallesung ist ebenso bildverträglich wie medizinischer Artikel
P05	Biological zeigt Baden/Waschen	f81v;f82r;f83r	SUPPORTS	Viele nackte Figuren schneiden grün/blaue Beckenflächen; mehrere sitzen in kleinen Gefäßen oder an gefüllten Läufen	Baden/Waschen ist der stärkste konkrete Bilddefault, ohne Krankheits- oder Körperteilsemantik
P06	Biological besitzt eine reale Apparateschicht	f81v;f82r;f83r	SUPPORTS	Sichtbare Beckenränder, Trichterkörper, Doppelbögen, lokale Zapfen, Knoten und offene Mehrfachenden wiederholen sich	APPARATUS_LAYER bleibt und wird auf lokale Stationen statt einen Gesamtplan präzisiert
P07	Biological bildet einen geschlossenen Wasserwerkskreislauf	f81v;f82r;f83r	CONTRADICTS	Viele Linien enden offen; f82r hat Lücken zwischen Stationen; keine Rückführung, Pfeile oder eindeutige Quelle/Senke	Kein geschlossener Kreislauf und keine Flussrichtung behaupten; nur lokale Anschlussoptionen
P08	f81v ist ein gemeinsamer Grundkreislauf mit Mischen, Klären und Weiterführen	f81v	STRAINS	Ein großes gemeinsames Feld und ein linker Kontakt sind sichtbar, aber weder Mischstelle, Klärzone noch gerichtete Übergabe	Bildnäher: zweireihiges gemeinsames Becken-/Stationsfeld mit einem linken Lauf und offenem rechten Fortsatz
P09	f82r ist eine einzelne individuelle Bad-/Anwendungsstation	f82r	CONTRADICTS	Die Seite enthält mehrere räumlich getrennte Ober-, Mittel- und Unterstationen ohne durchgehende Kante	Als Stationssammlung/Typenblatt lesen; einzelne Texte können lokal sein, die Seite ist keine Einzelmaschine
P10	f82r zeigt Filtern, Ablassen und Nachfüllen als Abfolge	f82r	STRAINS	Trichter, Zapfen und Wellenmotive sind sichtbar; Reihenfolge und Richtung fehlen	Operationen bleiben kreative Exemplarfüllung; sichtbare Form nur als Gefäß/Ende/Knoten binden
P11	f83r ist ein langer Irrigations-/Apparatezyklus	f83r	STRAINS	Paargestell und mehrere Auslässe sind real, aber Randstationen und Hauptstation bilden keine geschlossene Sequenz	Als Katalog lokaler Stationsvarianten mit einer großen Paarstation revidieren; Zyklus streichen
P12	f83r_R3 ist technischer Übergabenachtrag	f83r	COMPATIBLE	Der große Bogen verbindet zwei Stationen tatsächlich, doch seine Richtung ist unbestimmt	„Übergabe“ höchstens als bidirektionale/ungerichtete Verbindung; kein nächster Zustand aus dem Bild
P13	B5/B6 sind eher technischer Betrieb/Wartung	f83r	COMPATIBLE	Mehrarmige Enden, Knoten und getrennte lokale Läufe tragen eine Bedien-/Wartungslesung; Figuren bleiben jedoch zentral	Technischer Rival bleibt stark, darf aber die Bad-/Allegorieebene nicht eliminieren
P14	Biological ist enge Gynäkologie oder innere Anatomie	f81v;f82r;f83r	CONTRADICTS	Nackte weiblich gezeichnete Figuren sind sichtbar, aber keine innere Anatomie, Geburt, Untersuchung oder bezeichnete Körperöffnung	Enge gynäkologische Lesung verwerfen; Figurenklasse nicht als Diagnose lesen
P15	Astro sind drei lokale Lookup-/Lehrinstrumente	f67r2;f68r1;f69v	SUPPORTS	Wiederholte Zentren, Ringtexte, Sektoren, Sternplätze und lokale Labels bilden klar getrennte statische Tafeln	Statischer Katalog/Lookup ist stärkste technische Lesung; „Instrument“ bedeutet keine bewegliche Maschine
P16	f67r2 ist ein 7×12-Selektor	f67r2	STRAINS	Radiale Klassen und mehrere Inventarringe sind sichtbar, aber keine vollständige rechteckige oder explizite 7×12-Kreuzmatrix	Als Mehrinventar-Radialtafel behalten; konkrete 7×12-Kombinatorik nur text-/zählungsseitige Hypothese
P17	f67r2 dient medizinischer Election	f67r2	COMPATIBLE	Gesicht, Sterne, Phasen, Sektoren und farbige Kategorien passen zu Himmels-/Zeitwahl; kein Körper oder Heilvorgang ist gezeigt	Astrologische/kalendarische Nutzung plausibel; medizinischer Zweck ist nicht bildlich bevorzugt
P18	f68r1 ist Zentrum plus 28 räumliche Adressen	f68r1	COMPATIBLE	Rechtes Teilbild hat Zentrum, Sektoren und Sterncluster; das Gesamtquerbild besitzt aber fünf Gesichtmedaillons und zwei freie Sternfelder	28er-Modell nur an die nachweislich abgegrenzte lokale Tafel binden; Gesamtfeld als mehrzentrigen Sternkatalog beschreiben
P19	f69v ist eine unabhängige geordnete 28er-Regelfolge	f69v	STRAINS	Linker Kreis zeigt ungefähr 28 Radialplätze, doch weder Start, Richtung noch Regelwirkung; zwei weitere Kreise stehen ohne Kante daneben	„28er-Radialinventar“ statt geordnete Regelfolge; Regel-/Termininhalt bleibt Exemplarhypothese
P20	f68r1 und f69v besitzen keinen sichtbaren direkten Join	f68r1;f69v	SUPPORTS	Keine gemeinsame Kante, kein Zeiger, kein übereinstimmender Start und sogar innerhalb f69v drei unabhängige Kreise	Die No-Join-Grenze wird durch genaue Bildlektüre verstärkt
P21	Astro ist ein generischer Arbeits-/Terminplan	f67r2;f68r1;f69v	COMPATIBLE	Lookup-Geometrie ist sichtbar; Tätigkeit, Termin, Arbeit und Ausführung sind nicht abgebildet	Als praktischer Inhaltsrival behalten, aber nur „statische Bedingungen/Adressen“ sind bildnah
P22	Astro ist iatromathematische Mondstations-/Regimenpraxis	f67r2;f68r1;f69v	COMPATIBLE	Mond-/Gesichtmedaillons, Sterne, Phasen und Radialplätze tragen die Gattung; Behandlung und Regimen fehlen	Historischer Inhaltslead bleibt möglich, ohne Vorrang vor allgemeiner Himmels-/Kalendertafel
P23	Text wurde nach Bildern in Restflächen eingepasst	alle zehn	SUPPORTS	Herbal-Blöcke teilen sich an Stängeln; Bio-Text füllt Inseln zwischen Stationen; Astro-Schrift folgt vorgezeichneten Ringen	Unregelmäßiger Zeilenumbruch ist zuerst Produktionsreflow und kein Satz-/Semantikbeweis
P24	Physische Zeile ist keine notwendige Aussagegrenze	alle zehn	COMPATIBLE	Bildkonturen erzwingen zahlreiche verkürzte und wieder ansetzende Zeilen; Bildplatz erklärt diese Grenzen	V69-Zeilenregel bleibt; Bild kann jedoch keine konkrete Fortsetzung identifizieren
P25	Vier recordlokale Speicher OWNER/ACTIVE/TARGET/PREVIOUS	alle zehn	COMPATIBLE	Bilder können OWNER oder lokale Station liefern; ACTIVE, TARGET und PREVIOUS besitzen keine eindeutigen visuellen Marker	Registermodell wird durch Bilder nicht falsifiziert, aber nur OWNER erhält gelegentlich Bildstütze
P26	Exemplarabhängige Ganzkartenarchitektur ist domänenneutral	alle zehn	SUPPORTS	Dieselbe Schrift sitzt an Pflanzen, Figurenapparaten und Kreisschemata, während Bilder allein die genaue Operation nicht liefern	Domänenneutraler Exemplarcompiler bleibt stärkste gemeinsame Architektur; Bildbesitzer müssen lokal getrennt bleiben
