page	section	neutral_visible_inventory	explicit_geometry	text_image_relationship	strongest_visible_owner	medical_reading_pressure	practical_reading_pressure	mandatory_revision	visual_confidence
f10r	HERBAL	one tall plant; one blue radial flower; one separate closed bud or pod; paired serrate leaves; forked brown root ending in two red swollen bodies	all shoot joins forked root; each horizontal root branch terminates in one red swelling; no waterline or vessel is drawn	upper text forms two blocks and short lines stop beside the already occupied flower and stem space	WHOLE_PLANT_WITH_DISTINCT_FLOWER_AND_PAIRED_STORAGE_ROOTS	COMPATIBLE with an illustrated simple; no preparation or ailment is visible	COMPATIBLE with a plant-material entry; no processing tool is visible	remove visible-water support and treat WATER as exemplar-only; retain paired root or storage structures as the strongest pictured feature	HIGH
f11r	HERBAL	dense rounded canopy of repeated scalloped leaf units and many small blue flowers; several pale trunks; three large serrated basal leaves; long crossed roots	multiple trunks enter one canopy and rise from a common basal/root complex; no pot, liquid or tool	text occupies the top only and respects the broad canopy edge	WHOLE_COMPOSITE_FLOWERING_PLANT	COMPATIBLE with a plant dossier but strains a narrow violet identification	COMPATIBLE with a cultivated or gathered plant-material dossier	withdraw confident violet morphology; the image is a composite many-stemmed flowering form	HIGH
f55v	HERBAL	very large cluster of broad pointed leaves; single tall brown stalk; umbrella or lattice seedhead with many small blue-green units; asymmetric branched root with one pronounced lateral swelling	stalk visibly joins leaf base and root; seedhead branches visibly from stalk; no implement or liquid	text is split into upper left/right and lower left/right blocks around the central plant	WHOLE_PLANT_WITH_SEEDHEAD_AND_ROOT	SUPPORTS an illustrated simple more than a specific use	SUPPORTS a plant-material article; does not depict dyeing, washing or wound care	retain broad plant dossier only; Allium, woad, wound wash and dye bath remain external rival fills	HIGH
f56r	HERBAL	one thin stem curling into a large spiral; dark blue pointed units around the spiral; several dark blue rounded or cup-like structures with pale centers and green radiating spines; small pale root	all stem and spiral are continuous; dark structures attach at distinct points; no drawn water surface	text fills the upper left and bends around the large spiral and dark structures	WHOLE_PLANT_WITH_SPIRAL_SHOOT_AND_SPINY_OR_RADIATE_ORGANS	COMPATIBLE with a highly stylized simple; exact sundew morphology is strained	COMPATIBLE with unusual raw material; no harvesting or processing is shown	retain only sticky or radiate wetland-plant as a risky visual analogy; withdraw visible evidence for water habitat, skin use or chest remedy	HIGH
f81v	BIOLOGICAL	large bounded green rectangular field containing two horizontal rows of approximately sixteen nude female figures; outer pale container outline below; narrow lines enter or leave at the sides	figures share one continuous green field rather than sixteen separately outlined vessels; a line touches the left boundary and a narrow path exits at lower right; no arrows	large text blocks precede the panel; one short label sits beside it	COLLECTIVE_FIGURE_ARRAY_IN_COMMON_FRAME	SUPPORTS bodies and possible bathing but not individual treatments or a temporal process	COMPATIBLE with a common basin, staging panel or catalogue; weak for a detailed circuit	change B1 from a single narrated circulation to a collective two-row state or participant array inside one common frame	HIGH
f82r	BIOLOGICAL	several separated nude figures in blue or green cups; ornate vertical vessels; paired high arches; cross-shaped object with small cups and wavy emission; reclining figure in a trough; lower scalloped green field with multiple figures and vertical plumes	several local contacts are real, including arches meeting a central vessel and figures seated in vessels; the upper, middle and lower ensembles are not all joined into one continuous network	text occupies multiple rectangular islands between and below pre-existing vignettes	MULTI_STATION_FIGURE_AND_APPARATUS_ATLAS	SUPPORTS bath or application stations but no disease or anatomy	SUPPORTS basin, filter, conduit and station variants; does not establish one flow direction	read B2 as a catalogue or recipe-board of alternative station configurations, not one forced chronological plumbing loop	HIGH
f83r	BIOLOGICAL	three left-margin women in distinct patterned vessels; one upper figure holding a spray or radiate object; lower pair in separate basins joined by a multi-band arch; one S-shaped conduit entering a blue rosette with several outlets and dotted emissions	arch visibly joins two lower vessels; S-conduit visibly joins right vessel to rosette; several outlets and dotted emissions are visible; no arrow fixes direction	long prose blocks wrap around a vertical chain of apparatus vignettes and the lower connected assembly	CONNECTED_FIGURE_AND_CONDUIT_VARIANTS	SUPPORTS bathing, washing or application and makes a human-use context likely; no treatment purpose is shown	STRONGLY SUPPORTS an apparatus or transfer layer; actual direction remains unknown	retain real connection algebra but replace a single long process with a family of configurations, demonstrations or stages	HIGH
f67r2	ASTRO	paired circular diagrams: one colored central face or sun with alternating rays and surrounding stars/text rings; one large pale sector wheel with central star or sun and multiple crescent or disk symbols	both wheels have radial sectors and concentric writing but no drawn connector between them; multiple inventories coexist	prose and circular text are laid outside and inside already drawn wheels	PAIRED_CELESTIAL_WHEELS	COMPATIBLE with celestial election or regimen; medical application is not visible	COMPATIBLE with an astronomical lookup instrument; generic noncelestial schedule is strained	withdraw literal 7-by-12 matrix language unless separately counted from labels; call it a paired radial celestial selector or concordance	HIGH
f68r1	ASTRO	wide foldout with two open star fields containing several face medallions and many individually labelled stars plus one large sectorized circular star field around another face	stars are spatially scattered; the right map has radial sector boundaries; at least five face centers or medallions occur across the foldout; no single center owns the whole page	short prose headers sit above star fields; labels attach locally to stars and medallions	MULTI_CENTER_SPATIAL_STAR_MAP_OR_CATALOGUE	COMPATIBLE with lunar or stellar consultation; one Moon plus 28 houses is not directly pictured as a single ring	SUPPORTS a celestial spatial catalogue, not a generic work schedule	withdraw CENTER_PLUS_28 as the whole-page picture; retain a multi-center stellar map with local cataloguing and one sectorized submap	HIGH
f69v	ASTRO	three separate circular rosettes with visibly different internal geometries: a left blue-green wheel with approximately 28 narrow radial places; an approximately eight-lobed blue middle wheel; a large petalled face wheel; each has its own concentric writing; prose block at far right	three wheels are spatially separate and not connected; their spoke or lobe inventories differ; the left subdiagram can visibly carry a 28-place inventory, but no page-wide 28-step path, common start or direction is drawn	circumtext follows each wheel and a separate prose block occupies the final panel	THREE_INDEPENDENT_OR_COMPARATIVE_CELESTIAL_ROSETTES	COMPATIBLE with three election, quality or cycle devices; the left 28-place inventory is not thereby 28 medical rules	SUPPORTS three astronomical or calendrical instruments; contradicts a generic single 28-step schedule	withdraw A3 as one ordered 28-rule sequence; retain a local left 28-place radial inventory inside a three-rosette celestial comparison or instruction plate	HIGH
