page	section	visible_structure	visible_count_or_pattern	colour_and_surface	actual_connections	text_placement	blank_space_and_damage	visible_owner_classes	neutral_freeze
f10r	HERBAL	One upright whole-plant drawing with central stem, repeated broad serrated leaf tiers, one open ray-like flower, one closed upper bud and a bilateral horizontal rootstock	One plant; one open head; one closed bud; paired red terminal swellings at the two ends of the lower rootstock	Green leaves; brown bands on some leaf margins; dark-blue rays; pale dotted flower centre; red root-terminal swellings; pale blue offset or stain behind the plant	Stem visibly joins leaves, flower branch and lower rootstock; each red swelling joins the rootstock; no vessel, pipe or depicted liquid	Several text lines occupy the upper field and the free area left of the flower; right endpoints shorten where the flower and stem occupy space	Large lower-left and interleaf blanks; pale transferred-looking colour patches; small edge damage at lower right	WHOLE_PLANT; FLOWER_HEAD; BUD; LEAF_TIER; ROOTSTOCK	VISIBLE_ONLY_NO_PLANT_NAME_NO_PROCESS
f11r	HERBAL	One whole plant with a dense domed canopy built from many overlapping scalloped units, numerous small blue three-pronged heads, three pale upright stalks and a broad radiating root crown	One plant; three prominent upright stalks; many repeated canopy units and blue heads; several long tapering roots	Alternating green and unfilled canopy patches; dark-blue small heads; pale ochre stalks and roots; pale blue offset or stain behind the canopy	Root crown joins the three stalks; stalks enter the continuous canopy; blue heads sit on or emerge from canopy units; no container or liquid line	A compact text block fills the top and stops above the canopy; no text occupies the large lower-left field	Large blank areas flank the lower plant; one pale oval interruption in the canopy; faint transfer-like colour behind it	WHOLE_PLANT; CANOPY; FLOWERLET_SET; STALK_SET; ROOT_CROWN	VISIBLE_ONLY_NO_PLANT_NAME_NO_PREPARATION
f55v	HERBAL	One centred whole plant with a tall continuous stalk, a fan-shaped branched crown bearing many small coloured tips, a large overlapping broad-leaf body and a complex asymmetric root system	One plant; one branched upper crown; one large leaf mass; several major roots including a rounded right-hand swelling	Large blue-green leaf field; orange-brown stalk and roots; blue and green crown tips; pale stains and abrasion	Central stalk visibly joins root, leaf mass and upper crown; crown branches terminate at small coloured tips; the right root makes a rounded lobed swelling but is not a separate animal or vessel	Four compact text pockets lie upper-left, upper-right, lower-left and lower-right of the plant; line lengths follow the plant silhouette	Broad plant-free margins; abrasion in the leaf field; pale stains; no leader lines from text to parts	WHOLE_PLANT; INFLORESCENCE; LEAF_MASS; ROOT_SYSTEM	VISIBLE_ONLY_NO_SPECIES_NO_DEVICE
f56r	HERBAL	One highly schematic branching plant with a pale main stalk, a very large spiral-centred radial head at upper right, several smaller dark heads, two lower dark oval heads with radiating green points and a narrow uncoloured basal shoot	One plant; one dominant spiral head; at least four smaller attached heads; one basal shoot with repeated narrow side elements	Dark blue heads and radial elements; green pointed elements; pale ochre stem; much of the lower shoot uncoloured	All major heads join branches of the same main stalk; the basal shoot continues downward from the branch junction; no external object connects to the plant	Text occupies the upper-left and middle-left free fields and shortens against the large right-hand head and smaller heads	Wide blank lower field around the uncoloured shoot; pale blue transfer-like patches; no container	WHOLE_PLANT; DOMINANT_HEAD; SECONDARY_HEAD_SET; BASAL_SHOOT	VISIBLE_ONLY_NO_SPECIES_NO_OPERATION
f81v	BIOLOGICAL	Large lower rounded rectangular green enclosure containing sixteen nude human figures arranged in two horizontal tiers; a pale outer basin outline, a long narrow left appendage and a thin right outlet-like appendage are visible	Sixteen figures in two rows of eight; one principal enclosed field; one internal horizontal tier boundary; two external appendages	Green enclosed field; small blue accents at some lower bodies; pale outlined outer shell; limited red facial details	Figures are visibly inside or overlap the green enclosure; the tier boundary separates the two rows; the left narrow band appears to meet the basin edge and rises along the page; a right narrow line leaves the enclosure; direction is not shown	Two substantial prose blocks fill the area above the enclosure; their left edges avoid the rising appendage; a short isolated text pair sits left of the basin	Large blank below and around the outer basin; minor stains; page edge exposes neighbouring figures but they are not counted as this page's owner	POOL_OR_ENCLOSURE; FIGURE_ROW_UPPER; FIGURE_ROW_LOWER; LEFT_APPENDAGE; RIGHT_APPENDAGE	VISIBLE_ONLY_NO_LIQUID_NO_THERAPY_NO_FLOW_DIRECTION
f82r	BIOLOGICAL	A multi-scene page: an upper paired-figure and central-cylinder assembly, a middle-left hand-device and wavy-line assembly, a middle-right reclining figure in a small vessel, and a large irregular green lower enclosure with many figures	At least four figures outside the lower enclosure plus numerous partly occluded lower figures; one central upper cylinder; several small vessels; one large lower field	Green lower enclosure; blue accents in vessels, cylinder and small star or rosette forms; red bands on the upper cylinder; uncoloured conduits	Two long upper arcs meet the central cylinder assembly; side figures touch or hold their arc ends; the middle-left figure touches a circular element adjoining an outlined cross-form from which wavy strands extend toward a rosette; the reclining figure occupies a separate funnel vessel; lower figures overlap the green field; no single line joins all scenes	Text is fitted in a broad upper block beneath the twin arcs, a middle block between local scenes and a long central block above the lower enclosure; small labels occur beside figures	The lower scene occupies the bottom after the prose; a vertical central abrasion or repair crosses part of the lower field; several contours are incomplete or ambiguous	UPPER_PAIRED_ASSEMBLY; CENTRAL_CYLINDER; MIDLEFT_DEVICE; RECLINING_FIGURE_VESSEL; LOWER_POOL_OR_ENCLOSURE; LOCAL_FIGURE	VISIBLE_ONLY_NO_UNIFIED_MACHINE_NO_FLOW_DIRECTION
f83r	BIOLOGICAL	Several local human-and-vessel scenes frame three main prose blocks; the lower half contains a left descending blue-lined vessel path, a large arch linking two figure vessels, and a right S-shaped conduit ending in a many-branched hub	Several nude figures in separate small vessels; at least two large lower assemblies; one prominent arch; one S-conduit; one multi-ended terminal hub	Blue bands or fills trace selected channels and vessel interiors; one red vessel band; otherwise pale outlines and sparse green	The broad arch visibly joins the two principal lower figure vessels; the left vessel joins a descending blue-lined channel and lower outlet; the right figure vessel joins an S-shaped conduit terminating in a blue hub with several appendages; separate marginal scenes have no demonstrated connection to this lower pair	Three large prose blocks occupy the upper and central free fields; lower text is broken into pockets around the apparatus; short labels stand close to several objects but no leader makes ownership certain	Substantial blanks inside the large arch and around lower outlets; clipped marginal scenes at the left edge; no arrows or inlet/outlet marks	LOCAL_FIGURE_VESSEL; ARCH_CONNECTION; DESCENDING_CHANNEL; S_CONDUIT; MULTIENDED_HUB	VISIBLE_ONLY_NO_HEAT_NO_FILTER_NO_FLOW_DIRECTION
f67r2	ASTRO	Two separate large circular diagrams on one visible opening: a face-centred multicoloured ray-and-star wheel at left and a star-centred concentric wheel with small crescent or disk emblems and red outer labels at right	Two circles; multiple concentric rings; many radial sectors; repeated star emblems at left; repeated crescent or disk emblems at right	Blue and red rays at left; gold stars; red and pale moon-like disks at right; red outer-ring writing	Within each diagram radial lines connect centreward and ring boundaries subdivide writing zones; no visible line joins the left and right diagrams	A prose block sits above the left circle; most remaining writing follows rings, sectors and radial spaces; three short lines sit below the right circle	Blank corners and central gutter separate the diagrams; stains occur within the right circle	LEFT_RADIAL_DIAGRAM; RIGHT_CONCENTRIC_DIAGRAM; STAR_STATION; DISK_OR_CRESCENT_STATION; DIAGRAM_SECTOR	VISIBLE_ONLY_NO_COUNT_GRID_NO_ELECTION_MEANING
f68r1	ASTRO	A wide three-panel sheet: two open star fields at left and centre, each with face disks and scattered labelled stars, plus one large face-centred sector wheel at right containing unequal star groups	Three visual panels; two unconnected scatter fields; one radial circle; many repeated star emblems; four small face disks in the two scatter fields and one central face in the wheel	Mostly pale gold stars and face disks; blue accents on one lower face ring; little continuous fill	Individual stars have adjacent writing but no drawn constellation edges; the right wheel has radial sector boundaries and an outer ring; no visible connector joins the three panels	Short prose blocks sit above the two scatter fields; labels fill spaces beside stars; circular and radial writing occupies the right wheel	Large blank lower fields beneath the scatter panels and around the wheel; fold seams divide the sheet	STAR_FIELD_LEFT; STAR_FIELD_CENTRE; RADIAL_STAR_DIAGRAM; FACE_DISK; STAR_STATION	VISIBLE_ONLY_NO_SINGLE_28_MEMBER_OBJECT_NO_PATH
f69v	ASTRO	A wide sheet with three separate circular diagrams and a prose block at far right: a knobbed spoke wheel, a scalloped or cloud-lobed wheel, and a face-centred broad-petal radial wheel	Three circles; heterogeneous inner geometries and apparent arities; multiple concentric text bands; one separate rectangular prose block	Blue-green knobbed spokes at left; blue stippling on middle lobes; blue broad petals at right; pale face centre	Each circle has its own centre, radial divisions and ring text; there is no visible connector among the three circles and no arrow giving start or rotation	Writing follows each circumference and radial slots; the only conventional prose block stands upper-right outside all circles	Large blank lower strip and blank intervals between circles; fold seams divide the sheet	SPOKE_DIAGRAM; LOBED_DIAGRAM; FACE_PETAL_DIAGRAM; DIAGRAM_RING; DIAGRAM_SECTOR; PROSE_BLOCK	VISIBLE_ONLY_NO_LINEAR_28_RULE_SEQUENCE_NO_CROSSWHEEL_KEY
