v69_assumption	image_result	strongest_support	strongest_strain	v70_action
picture supplies Herbal owner	SUPPORTS	all four Herbal pages are dominated by one plant drawing	no visual mapping from plant parts to exact text fields	KEEP broad WHOLE_PLANT owner only
Herbal is illustrated materia medica	COMPATIBLE	plant plus article-like text layout is historically natural	no ailment, preparation, dose or patient appears in the pictures	KEEP as concrete lead, not recovered content
Herbal water or wet preparation	STRAINS	f10 root swellings and f56 unusual organs allow wet-plant analogies	no waterline, vessel or processing scene on any four Herbal pages	DOWNGRADE all water to genre or exemplar fill
specific violet, woad, sundew or named plant	STRAINS	distinctive local motifs invite analogies	f11 is composite, f55 mixes broad leaves and umbel, f56 morphology is highly stylized	KEEP names only as risky rivals
Bio depicts human bodily use	SUPPORTS	many nude figures are visibly seated in cups, basins or common green fields	no disease, body target or treatment result is drawn	KEEP body or bather context; WITHDRAW disease and anatomy
Bio has a real apparatus layer	SUPPORTS	f82/f83 show actual contacts among vessels, arches, conduits, outlets and emission marks	f81 common panel and f82 montage are not one continuous machine	KEEP local apparatus; WITHDRAW universal circuit
Bio records are linear chronological processes	STRAINS	f83 lower assembly could depict stages or transfer	pages arrange many disconnected vignettes and variants	REVISE to station/configuration atlas with some connected sub-processes
line end equals statement end	CONTRADICTS_BY_LAYOUT	text is repeatedly fitted around existing image contours	physical breaks are strongly explainable by available space	KEEP V69 line-not-sentence rule
f67r2 is exactly a 7-by-12 selector	STRAINS	paired radial wheels contain sector and celestial inventories	visible plate is not a rectangular product and seven is not graphically privileged	RENAME paired celestial concordance; retain counts only as text inventory
f68r1 is one center plus 28 stations	CONTRADICTS_AS_WHOLE_PAGE	many individually labelled stars make catalogue behavior plausible	foldout has multiple medallion centers and a distinct sectorized submap	REVISE to multi-center spatial star catalogue or map
f69v is one ordered 28-rule sequence	CONTRADICTS	circumtext and repeated radial organization support rule-like use	three separate wheels have different spoke/lobe inventories and no visible 28-chain	REPLACE with three-rosette celestial comparison/instruction plate
Astro is a generic noncelestial work schedule	STRAINS	wheels could organize schedules	stars, crescents, face medallions and solar forms make the channel explicitly celestial	REPLACE generic schedule with astronomical or calendrical practical lookup
Astro is specifically medical election	COMPATIBLE	celestial consultation is visible and can serve medical timing	no body, disease, intervention or Herbal/Bio cross-index occurs	KEEP only as historical content lead
domain-neutral exemplar architecture	SUPPORTS	all sections show picture/diagram-first layout plus locally fitted writing	architecture alone still cannot select upstream subject matter	KEEP as strongest formal theory
V69 content parity	REVISE	Herbal and Bio still admit medical and practical expansions	Astro rules out the fully generic work-plan rival while not proving medicine	NARROW fork to iatromedical versus practical astronomical, not celestial versus noncelestial
