page	section	visible_inventory	colour_inventory	geometry_and_contacts	text_image_production	visible_owner_classes	chief_uncertainty
f10r	HERBAL	Eine große Einzelpflanze; aufrechter Mittelstängel; mehrere gegenständige gezähnte Blattpaare; eine große blaue Strahlenblüte mit hellem Scheibenzentrum; ein geschlossenes längliches Knospenorgan; waagerecht verzweigter brauner Wurzelkörper mit zwei roten geschlossenen Endkörpern	Grün und Braun an Blättern; Blau und Hellbraun an Blüte; Rot an zwei Wurzelenden; blasse grünblaue Durchschläge/Flecken im Pergament	Alle Pflanzenteile sind durch sichtbare Stängel- oder Wurzelkonturen verbunden; Knospe und Blüte sitzen am oberen Spross; kein Gefäß, keine Röhre, kein Auslass und keine gezeichnete Flüssigkeit	Textblock liegt oberhalb und links der Blüte; die rechten Zeilen werden am Bildrand kürzer; die Pflanze besetzt den unteren Restplatz; Bild-zuerst mit nachträglichem Textreflow genügt	WHOLE_PLANT; FLOWER; LEAF_SET; ROOT	Die roten Wurzelendkörper können Speicherorgane oder bildnerische Übertreibung sein; sie sind keine sichtbaren Behälter
f11r	HERBAL	Eine einzige stark zusammengesetzte Pflanze; kuppelförmige Krone aus vielen überlappenden gekerbten Blatt-/Rosettenformen; zahlreiche kleine blaue dreizipflige Blüten; ungefähr vier senkrechte gelbbraune Trägerstängel; mehrere lange schmale gezähnte Wurzel-/Blattkörper, die sich unten kreuzen	Grüne Blattflächen; blaue Blüten; gelbbraune Stängel; blass orange Wurzelkörper	Die Krone ist über mehrere sichtbare Stängel an die unteren Körper angeschlossen; die Stängel sind gefüllt und nirgends als hohle Rohre geöffnet; Kreuzungen unten zeigen keine gezeichnete Kupplung	Text steht als kompakter oberer Block und endet vor der Krone; keine lokale Textzeile adressiert sichtbar einen einzelnen Kronenteil	WHOLE_PLANT; CROWN; STEM_SET; ROOT_SET	Die modulare Vierfachgestalt kann botanische Wiederholung, Kopierkonvention oder schematische Bündelung sein; kein Apparatkontakt ist sichtbar
f55v	HERBAL	Eine monumentale Einzelpflanze; sehr große grüne Blattmasse mit vielen Spitzen und eingezeichneten Adern; gerader rotbrauner Mittelstängel; oben fächer-/doldenartiges Netz aus vielen kleinen blaugrünen Endköpfen; unten verzweigtes Wurzelsystem mit langem linken Ast und einem buckelartigen rechten Körper	Große grüne Blattfläche; rotbrauner Stängel und Wurzel; kleine blaue/grüne Blüten- oder Fruchtköpfe	Stängel läuft sichtbar von der Wurzel durch die Blattmasse bis in den Endfächer; Wurzeläste enden geschlossen; kein Behälter, kein Kanal und kein Flüssigkeitszeichen	Obere Textblöcke stehen beidseits des Blütenfächers; zwei untere Blöcke stehen beidseits des Stängels; die Teilung folgt exakt dem bereits belegten Bildraum	WHOLE_PLANT; LEAF_MASS; INFLORESCENCE; ROOT	Der rechte Wurzelbuckel wirkt zoomorph, ist aber durch die Wurzelkontur Teil derselben Pflanze; seine Funktion bleibt offen
f56r	HERBAL	Eine Einzelpflanze mit schlankem Stängel; zwei tiefblaue stachelumgebene Basalorgane; zwei kleine blauweiße Blüten links; rechts ein großer spiralig eingerollter Seitenzweig mit einem Kranz dunkler schmaler Blätter außen und drei Blättern innen; nur schwach ausgeführte Wurzelkontur	Dunkelblau an Blättern/Blüten/Organen; Grün an Stacheln; gelbbrauner Stängel; Wurzel weitgehend unkoloriert	Alle auffälligen Organe hängen sichtbar am selben Stängel; die Spirale ist ein geschlossener Pflanzenzweig ohne Pfeil oder Auslass; die Wurzel endet am unteren Rand unbestimmt	Text füllt den oberen linken Raum und weicht Blüten, Stängel und Spiralzweig aus; der große freie Unterraum ist kein Textschlussbeweis	WHOLE_PLANT; COILED_BRANCH; FLOWER; ROOT	Spirale und Stachelorgane sind stark schematisiert; weder Bewegungsrichtung noch technische Funktion ist gezeichnet
f81v	BIOLOGICAL	Ein großes abgerundet rechteckiges grünes Becken-/Feldmotiv mit segmentiertem Rand; zwei horizontale Reihen von ungefähr je acht nackten Figuren; eine innere horizontale Staffelung und ein kurzer senkrechter Trenner; links oben ein schmaler gebogener grün markierter Zulauf; unterhalb eine große blasse Außenkontur; rechts unten ein fortgesetzter Linienansatz	Dunkelgrüne Innenfläche; kleine blaue Partien an einer linken Station; Hauttöne und rote Gesichtspunkte	Der linke schmale Lauf berührt den oberen linken Beckenrand; Figuren liegen innerhalb bzw. schneiden den grünen Feldrand; die große blasse Unterkontur ist mit dem Beckenrand verbunden, ihr rechter Fortsatz bleibt offen; keine Pfeile und keine sichere Flussrichtung	Zwei große Textblöcke stehen über dem Becken; wenige kurze Beschriftungen liegen links daneben; die Illustration blockiert den unteren Seitenraum vollständig	POOL; FIGURE_ROW_UPPER; FIGURE_ROW_LOWER; CONDUIT	Ob Grün Wasser, Boden oder ein schematisches Medium bezeichnet, ist nicht allein durch Farbe entschieden; Bad/Versammlung/Allegorie bleiben unterscheidbar
f82r	BIOLOGICAL	Mehrere voneinander getrennte Bildstationen: oben links und rechts je eine nackte Figur in kleinem blauem Gefäß; oben mittig ein verzierter hängender Zylinder unter zwei Bögen; mittig links eine Figur in Trichtergefäß mit Ring-/Fächerform; mittig ein horizontaler Doppelstrich mit sternförmigem Knoten; rechts eine liegende Figur in grünem Podest-/Trichtergefäß; unten ein großes unregelmäßiges grünes Feld mit zahlreichen Figuren, zwei vertikalen Wellen-/Streifenformen und äußeren Kleingefäßen	Grün in Hauptfeld und Liegepodest; Blau in Kleingefäßen und Knoten; Rot/Blau am mittleren Zylinder; Hauttöne	Einige lokale Kontakte sind real, doch zwischen den oberen/mittleren Stationen besteht kein vollständig geschlossener Netzweg; der horizontale Doppelstrich trägt einen Knoten, endet rechts in einer Schlaufe und berührt das Liegepodest nicht sicher; die vertikalen Streifen reichen an das untere Grünfeld; mehrere Enden bleiben offen	Drei Textblöcke füllen die freien Inseln zwischen Stationen; Textzeilen enden an Konturen und setzen darunter fort; die Bildanordnung erklärt den Umbruch ohne semantische Zeilenbindung	FIGURE; SMALL_VESSEL; SUSPENDED_CYLINDER; CONDUIT; NODE; POOL; OPEN_OUTLET	Ob einzelne Bögen Leitungen, Rahmen, Bänder oder kosmographische Verbindungen sind; eine einzige hydraulische Gesamtmaschine ist nicht sichtbar
f83r	BIOLOGICAL	Drei kleine übereinanderliegende Figurenstationen am linken Rand; oben eine Figur mit fächer-/sprühartigem Motiv unter kleinem offenen Ende; darunter zwei Figuren in schuppen-/korbartigen Gefäßen; unten eine große Paarstation mit zwei Figuren, einem breiten blau gefüllten Bogen zwischen ihnen, einem linken blau gefüllten Abgang mit offenen Fransen und einem rechten S-förmigen Lauf zu einem blauen mehrarmigen Endknoten	Blau in Bogen und Abgängen; Rotband am linken Hauptgefäß; Hauttöne; übrige Konturen ungefüllt	Der obere Bogen verbindet sichtbar die beiden Hauptstationen, ohne Pfeil; jeder Stationskörper besitzt einen eigenen unteren Lauf; linker Lauf endet offen/fransig, rechter Lauf endet in einem mehrarmigen Knoten mit offenen Armen; Punkte an Enden können Ausstoß, Ornament oder Medium markieren	Große Textblöcke besetzen Ober- und Mittelraum; untere Textinseln liegen um die Apparatur und folgen deren Konturen; Randstationen sind vor dem Textlayout vorhanden	FIGURE; VESSEL; ARCH_CONDUIT; LOWER_CONDUIT; MULTIPORT_NODE; OPEN_OUTLET	Die Geometrie ist apparathaft, aber nicht technisch realistisch genug für einen Bauplan; Richtung, Medium und Abfolge fehlen
f67r2	ASTRO	Das manifestierte Querbild zeigt zwei große Kreisschemata: links ein Gesicht im Zentrum, alternierende rote/blaue Strahlenkeile, Sternfelder und mehrere Textringe; rechts ein Zentralstern/-gesicht, radiale Sektoren, mehrere farbige kleine Scheiben/Phasen und rote Außenbeschriftung; zusätzlich kurze Prosa oberhalb/unterhalb	Rot, Blau, Gelb/Ocker und Tinte; Farben gliedern wiederholte Radialklassen	Radiallinien und Ringgrenzen erzeugen echte Sektorzugehörigkeit; Sterne/Scheiben sind innerhalb von Feldern platziert, nicht durch Kanten miteinander verbunden; kein Pfeil, Zeiger, Drehzapfen oder Startzeichen	Text läuft konzentrisch in vorgezeichneten Ringräumen und als Restprosa außerhalb; Bild-/Geometrieplanung geht dem Einpassen der Schrift voraus	DIAGRAM_CENTER; DIAGRAM_SECTOR; STAR_STATION; RING_TEXT	Zähler wie 7 und 12 können in Schriftinventaren stecken, sind aber nicht als vollständige 7×12-Matrix gezeichnet
f68r1	ASTRO	Dreiteiliges Querfeld: links und mittig je ein freies Sternfeld mit zwei Gesichtmedaillons und vielen einzeln beschrifteten Sternen; rechts ein großer Kreis mit Gesichtzentrum, ungleich großen radialen/gebogenen Bereichen und Sternclustern; kurze Texte am oberen Rand und Ringtext rechts	Vorwiegend Ocker/Tinte; einzelne blaue Akzente in einem Medaillon; keine systematische Vollkolorierung	In den beiden freien Sternfeldern bestehen keine gezeichneten Kanten zwischen Sternen; nur räumliche Nachbarschaft; im rechten Kreis sind Sterne durch Sektorgrenzen gruppiert, nicht untereinander verbunden; keine sichtbare Reihenfolge oder Umlaufrichtung	Labels sitzen lokal bei Sternen und Medaillons; der rechte Ringtext folgt der Kreisbegrenzung; die drei Paneele wurden als unterschiedliche Restflächen organisiert	STAR_STATION; FACE_MEDALLION; DIAGRAM_CENTER; DIAGRAM_SECTOR	Das gesamte manifestierte Bild hat mehrere Zentren; ein Zentrum-plus-28-Modell passt höchstens zu einer lokal abgegrenzten Teiltafel, nicht selbstverständlich zum ganzen Querfeld
f69v	ASTRO	Drei unabhängige Kreisdiagramme plus rechter Prosa: links ein Zentrum mit ungefähr 28 radialen stab-/keulenförmigen Plätzen; mittig ein kleines segmentiertes Zentrum in einem mehrlappigen wolken-/wellenartigen Kranz; rechts ein Gesichtzentrum mit großen strahlen-/blattartigen Keilen; alle mit konzentrischen Textringen	Blau und Grün links; helles Blau in Mittel- und Rechtskranz; sonst Tinte/Ocker	Jedes Kreisbild besitzt interne Radial- und Ringzugehörigkeit; zwischen den drei Kreisen gibt es keine Kante; kein Zeiger, Pfeil oder gemeinsamer Start; rechter Prosablock ist räumlich getrennt	Kreistext folgt vorgezeichneten Ringen; rechte Prosa nutzt die verbleibende rechteckige Fläche; die Falz/Panelfolge trennt die Instrumente sichtbar	DIAGRAM_CENTER; RADIAL_SLOT; RING_TEXT; DIAGRAM_SECTOR	Die linke Tafel kann ein 28er-Inventar tragen; „Regel“, „Termin“ und Laufrichtung sind nicht sichtbar, und die beiden Begleitkreise dürfen nicht stillschweigend in denselben Ablauf gezogen werden
