assumption_id	v69_assumption	page_or_scope	verdict	visible_fact	exact_v70_revision	retained_status
P01	A Herbal picture can provide a silent record owner	f10r;f11r;f55v;f56r	SUPPORTS	Each page is dominated by one continuously connected whole plant and the text is fitted around it	Teach WHOLE_PLANT as the page-level owner before any card is copied	FORMAL_OWNER_ONLY
P02	The exact plant names Teufelsabbiss, Duftveilchen, Bärlauch and Rundblättriger Sonnentau are recoverable from the chosen pages	HERBAL	STRAINS	The drawings distinguish four plants and their parts but are stylized and have no visible name key	Remove all four names from the canonical image-first edition; retain anonymous PLANT_10, PLANT_11, PLANT_55 and PLANT_56	CREATIVE_NAMES_WITHDRAWN
P03	f10r H1 specifically depicts or licenses burned or distilled root water	f10r	STRAINS	The rootstock and red terminal swellings are prominent, but no still, vessel, flame or liquid is drawn	Keep ROOTSTOCK as the visible owner; demote distillation and water to optional exemplar content	ROOT_OWNER_RETAINED_PROCESS_UNSUPPORTED
P04	f10r H2 can distinguish two flower or growth-stage portions	f10r	SUPPORTS	One open flower head and one visibly closed upper bud occur on the same plant	A two-stage or two-part exemplar is image-economical, but pressing, oil and salve remain unlicensed	TWO_VISIBLE_PARTS_NOT_TWO_PROVEN_RECIPES
P05	f11r H3 concerns a flower-rich plant with separable flower and vegetative portions	f11r	SUPPORTS	Many blue heads repeat across a dense canopy borne by three stalks	Retain anonymous flower-set versus canopy-set selection; withdraw eye, chest, wine and oil details from the image-derived layer	PART_SELECTION_ONLY
P06	f55v H4 can privilege broad leaves and a flowering crown as separate materials	f55v	SUPPORTS	A massive broad-leaf body and a clearly separate branched crown dominate the drawing	Retain LEAF_MASS and INFLORESCENCE as possible visible arguments; exact broad-lauch identity remains withdrawn	PART_SELECTION_ONLY
P07	f55v H4 depicts wine, honey, wound washing or a warm poultice	f55v	STRAINS	No person, wound, vessel, liquid, cloth or heat source is visible	Move every preparation and therapeutic detail back to exemplar-only content	PROCESS_UNSUPPORTED
P08	f56r H5 is a specific sundew article with a skin application and dried chest drink	f56r	STRAINS	The page shows one schematic branching plant with radial and spiral heads but no body site, drink, drying rack or vessel	Retain only dominant versus secondary head selection and whole-plant ownership	SPECIES_AND_USE_WITHDRAWN
P09	Biological pages have genuine bounded figure-containing scene owners	f81v;f82r;f83r	SUPPORTS	Bodies repeatedly occupy bounded green or blue fields, cups, funnels and conduit-linked vessels	Replace one page-wide apparatus owner with several visible POOL, FIGURE_VESSEL and LOCAL_ASSEMBLY owners	LOCAL_SCENE_OWNERS_PROMOTED
P10	Bathing or washing is the strongest content family for the Biological pages	f81v;f82r;f83r	SUPPORTS	Nude figures are repeatedly partly occluded by bounded coloured fields and vessels, often beside visibly connected conduits	Retain a balneological or washing overlay as the strongest content reading, while not deriving therapy or water direction from nudity alone	STRONGEST_CONTENT_OVERLAY_NOT_TRANSLATION
