lesson_no	stage_no	stage	prompt	expected	do_not_do
1	1	HEAR	MASS	AIIN	keine Zusatzbedeutung erfinden
1	2	LOOK_UP	AIIN	1	AIN statt AIIN waehlen
1	3	COPY	1	aiin|chaiin|daiin|saiin|taiin	AIN statt AIIN waehlen
1	4	READ_BACK	aiin|chaiin|daiin|saiin|taiin	MASS	keine Zusatzbedeutung erfinden
2	1	HEAR	FORTSETZEN	OL	keine Zusatzbedeutung erfinden
2	2	LOOK_UP	OL	2	OT lesen und einen neuen Gang beginnen
2	3	COPY	2	cheol|chol|ls|ol|qol|sol|tol	OT lesen und einen neuen Gang beginnen
2	4	READ_BACK	cheol|chol|ls|ol|qol|sol|tol	FORTSETZEN	keine Zusatzbedeutung erfinden
3	1	HEAR	DIES	Y	keine Zusatzbedeutung erfinden
3	2	LOOK_UP	Y	1	sichtbares dy als Schluss lesen
3	3	COPY	1	chey|chy|dy|shy|sy|y	sichtbares dy als Schluss lesen
3	4	READ_BACK	chey|chy|dy|shy|sy|y	DIES	keine Zusatzbedeutung erfinden
4	1	HEAR	ANSETZEN · DIES	OK+Y	keine Zusatzbedeutung erfinden
4	2	LOOK_UP	OK+Y	2	q oder ch als eigene Handlung deuten
4	3	COPY	2	chokchy|choky|okchy|oky|qokchy|qoky	q oder ch als eigene Handlung deuten
4	4	READ_BACK	chokchy|choky|okchy|oky|qokchy|qoky	ANSETZEN · DIES	keine Zusatzbedeutung erfinden
5	1	HEAR	UMSETZEN · DIES	CHD+Y	keine Zusatzbedeutung erfinden
5	2	LOOK_UP	CHD+Y	2	mit CHD+DY verwechseln
5	3	COPY	2	chdy|chedchy|chedy	mit CHD+DY verwechseln
5	4	READ_BACK	chdy|chedchy|chedy	UMSETZEN · DIES	keine Zusatzbedeutung erfinden
6	1	HEAR	ABSETZEN · SCHLUSS	SHED+DY	keine Zusatzbedeutung erfinden
6	2	LOOK_UP	SHED+DY	1	nach dem Absetzen offen weiterlesen
6	3	COPY	1	cheedy|shedy|tedy	nach dem Absetzen offen weiterlesen
6	4	READ_BACK	cheedy|shedy|tedy	ABSETZEN · SCHLUSS	keine Zusatzbedeutung erfinden
7	1	HEAR	ZIEL	AL	keine Zusatzbedeutung erfinden
7	2	LOOK_UP	AL	1	AR als Quelle einsetzen
7	3	COPY	1	al|chal|cheal|dal|sal|tal	AR als Quelle einsetzen
7	4	READ_BACK	al|chal|cheal|dal|sal|tal	ZIEL	keine Zusatzbedeutung erfinden
8	1	HEAR	ANSETZEN · MASS	OK+AIIN	keine Zusatzbedeutung erfinden
8	2	LOOK_UP	OK+AIIN	1	eine Portion statt eines Sollwerts ansetzen
8	3	COPY	1	okaiin|qokaiin	eine Portion statt eines Sollwerts ansetzen
8	4	READ_BACK	okaiin|qokaiin	ANSETZEN · MASS	keine Zusatzbedeutung erfinden
9	1	HEAR	ANSETZEN · PORTION	OK+AIN	keine Zusatzbedeutung erfinden
9	2	LOOK_UP	OK+AIN	1	AIIN waehlen
9	3	COPY	1	okain|qokain	AIIN waehlen
9	4	READ_BACK	okain|qokain	ANSETZEN · PORTION	keine Zusatzbedeutung erfinden
10	1	HEAR	ANSETZEN · LANG · DIES	OK+EE+Y	keine Zusatzbedeutung erfinden
10	2	LOOK_UP	OK+EE+Y	1	den langen Grad als Abschluss lesen
10	3	COPY	1	okeey|qokeey	den langen Grad als Abschluss lesen
10	4	READ_BACK	okeey|qokeey	ANSETZEN · LANG · DIES	keine Zusatzbedeutung erfinden
11	1	HEAR	QUELLE	AR	keine Zusatzbedeutung erfinden
11	2	LOOK_UP	AR	1	das Ziel statt des Ausgangs nennen
11	3	COPY	1	char|dar|sar	das Ziel statt des Ausgangs nennen
11	4	READ_BACK	char|dar|sar	QUELLE	keine Zusatzbedeutung erfinden
12	1	HEAR	ANSATZ	OR	keine Zusatzbedeutung erfinden
12	2	LOOK_UP	OR	1	AR oder AIR einsetzen
12	3	COPY	1	chor|or|shor|sor	AR oder AIR einsetzen
12	4	READ_BACK	chor|or|shor|sor	ANSATZ	keine Zusatzbedeutung erfinden
