lesson_no	master_dictation_de	component_recipe	exact_card_choices	allowed_surfaces	example_a	example_b	copying_instruction_de	common_mistake_de	master_correction_de
1	MASS	AIIN	1	aiin|chaiin|daiin|saiin|taiin	E009:f10r:MIDDLE:daiin	E022:f10r:MIDDLE:taiin	Rezeptadresse finden; Karte und Oberflaeche aus dem lokalen Exemplar waehlen.	AIN statt AIIN waehlen	MASS ist der Sollwert; PORTION ist die abgegrenzte Gabe.
2	FORTSETZEN	OL	2	cheol|chol|ls|ol|qol|sol|tol	E013:f10r:MIDDLE:chol	E106:f81v:MIDDLE:ol	Rezeptadresse finden; Karte und Oberflaeche aus dem lokalen Exemplar waehlen.	OT lesen und einen neuen Gang beginnen	OL behaelt denselben Gang; OT bedeutet DANACH.
3	DIES	Y	1	chey|chy|dy|shy|sy|y	E020:f10r:MIDDLE:dy	E021:f10r:MIDDLE:chy	Rezeptadresse finden; Karte und Oberflaeche aus dem lokalen Exemplar waehlen.	sichtbares dy als Schluss lesen	Diese exakte Y-Karte meint DIES; nur die lizenzierte Endkarte schliesst.
4	ANSETZEN · DIES	OK+Y	2	chokchy|choky|okchy|oky|qokchy|qoky	E008:f10r:MIDDLE:oky	E011:f10r:FIRST:qokchy	Rezeptadresse finden; Karte und Oberflaeche aus dem lokalen Exemplar waehlen.	q oder ch als eigene Handlung deuten	Das Rezept bleibt ANSETZEN+DIES; die Eintrittsform wird kopiert.
5	UMSETZEN · DIES	CHD+Y	2	chdy|chedchy|chedy	E062:f55v:MIDDLE:chedy	E123:f81v:FIRST:chedy	Rezeptadresse finden; Karte und Oberflaeche aus dem lokalen Exemplar waehlen.	mit CHD+DY verwechseln	Y haelt den Posten aktiv; DY-Endkarte schliesst.
6	ABSETZEN · SCHLUSS	SHED+DY	1	cheedy|shedy|tedy	E125:f81v:LAST:shedy	E155:f81v:LAST:cheedy	Rezeptadresse finden; Karte und Oberflaeche aus dem lokalen Exemplar waehlen.	nach dem Absetzen offen weiterlesen	Diese gelernte Karte enthaelt den Schluss.
7	ZIEL	AL	1	al|chal|cheal|dal|sal|tal	E082:f56r:LAST:dal	E109:f81v:MIDDLE:al	Rezeptadresse finden; Karte und Oberflaeche aus dem lokalen Exemplar waehlen.	AR als Quelle einsetzen	AL zeigt zum ZIEL; AR kommt aus der QUELLE.
8	ANSETZEN · MASS	OK+AIIN	1	okaiin|qokaiin	E056:f55v:FIRST:qokaiin	E102:f81v:FIRST:okaiin	Rezeptadresse finden; Karte und Oberflaeche aus dem lokalen Exemplar waehlen.	eine Portion statt eines Sollwerts ansetzen	AIIN bleibt MASS auch unter OK.
9	ANSETZEN · PORTION	OK+AIN	1	okain|qokain	E127:f81v:FIRST:qokain	E169:f82r:FIRST:qokain	Rezeptadresse finden; Karte und Oberflaeche aus dem lokalen Exemplar waehlen.	AIIN waehlen	AIN ist PORTION; die Karte setzt eine abgegrenzte Gabe an.
10	ANSETZEN · LANG · DIES	OK+EE+Y	1	okeey|qokeey	E153:f81v:MIDDLE:okeey	E175:f82r:MIDDLE:qokeey	Rezeptadresse finden; Karte und Oberflaeche aus dem lokalen Exemplar waehlen.	den langen Grad als Abschluss lesen	EE bedeutet LANG; Y laesst den Posten aktiv.
11	QUELLE	AR	1	char|dar|sar	E003:f10r:MIDDLE:char	E031:f10r:LAST:dar	Rezeptadresse finden; Karte und Oberflaeche aus dem lokalen Exemplar waehlen.	das Ziel statt des Ausgangs nennen	AR ist QUELLE und beantwortet woher.
12	ANSATZ	OR	1	chor|or|shor|sor	E017:f10r:MIDDLE:chor	E033:f10r:MIDDLE:shor	Rezeptadresse finden; Karte und Oberflaeche aus dem lokalen Exemplar waehlen.	AR oder AIR einsetzen	OR ist der ANSATZ; AR ist Quelle und AIR der Lauf.
