visible_surface	occurrences	pages	owners	renderer_frame	productive_atom_sequence	short_reading_de	rule	register_split
aldaiin	1	f67r2	A1_LEFT_OUTER_RING_TEXT	d	AL+AIIN	Ziel-Sollwert	strip registered renderer frame, then read productive core	NO
char	1	f69v	A3_LEFT_WHEEL_RING_TEXT	ch	AR	Quelle	strip registered renderer frame, then read productive core	NO
cheal	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	che	AL	Ziel	strip registered renderer frame, then read productive core	NO
chear	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	che	AR	Quelle	strip registered renderer frame, then read productive core	NO
cheos	1	f67r2	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	s	CHEO	Ausgabe/Auszug	strip registered renderer frame, then read productive core	NO
chod	1	f68r1	A2_MIDDLE_PANEL_HEADER	d	HO	Eingangsposten	strip registered renderer frame, then read productive core	NO
chos	2	f67r2	A1_LEFT_LOCAL_FIELD_42|A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	s	HO	Eingangsposten	strip registered renderer frame, then read productive core	NO
daiin	4	f67r2	A1_LEFT_LOCAL_FIELD_18|A1_LEFT_LOCAL_FIELD_36|A1_LEFT_LOCAL_FIELD_43|A1_LEFT_OUTER_STAR_STATION_05	d	AIIN	Sollwert	strip registered renderer frame, then read productive core	NO
dain	1	f67r2	A1_LEFT_LOCAL_FIELD_48	d	AIN	Portion	strip registered renderer frame, then read productive core	YES_PROSE_WHOLE_DAIN
dair	3	f69v	A3_LEFT_WHEEL_RING_TEXT|A3_RIGHT_WHEEL_RING_TEXT	d	AIR	Lauf/Bahn	strip registered renderer frame, then read productive core	NO
dal	5	f67r2|f69v	A1_LEFT_LOCAL_FIELD_18|A1_LEFT_OUTER_STAR_STATION_07|A3_MIDDLE_WHEEL_RING_TEXT|A3_RIGHT_WHEEL_RING_TEXT	d	AL	Ziel	strip registered renderer frame, then read productive core	NO
dar	2	f67r2|f69v	A1_LEFT_OUTER_RING_TEXT|A3_LEFT_WHEEL_RING_TEXT	d	AR	Quelle	strip registered renderer frame, then read productive core	NO
dchdar	1	f67r2	A1_LEFT_OUTER_STAR_STATION_02	d	CHD+AR	von Quelle umsetzen	strip registered renderer frame, then read productive core	NO
oaiin	1	f67r2	A1_RIGHT_OUTER_RING_TEXT	o	AIIN	Sollwert	strip registered renderer frame, then read productive core	NO
oar	1	f69v	A3_LEFT_RADIAL_SLOT_28	o	AR	Quelle	strip registered renderer frame, then read productive core	NO
ols	1	f67r2	A1_RIGHT_SECTOR_SLOT_02	s	OL	Fortsetzen	strip registered renderer frame, then read productive core	NO
otaldal	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	d	OT+AL+AL	nächsten Doppelziel-Eintrag setzen	strip registered renderer frame, then read productive core	NO
otoar	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	o	OT+AR	nächste Quelle	strip registered renderer frame, then read productive core	NO
qotair	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	q	OT+AIR	nächster Lauf	strip registered renderer frame, then read productive core	NO
saiin	1	f67r2	A1_LEFT_LOCAL_FIELD_29	s	AIIN	Sollwert	strip registered renderer frame, then read productive core	NO
sain	1	f67r2	A1_LEFT_LOCAL_FIELD_21	s	AIN	Portion	strip registered renderer frame, then read productive core	NO
sal	1	f67r2	A1_LEFT_LOCAL_FIELD_50	s	AL	Ziel	strip registered renderer frame, then read productive core	NO
sar	2	f69v	A3_LEFT_RADIAL_SLOT_01|A3_LEFT_WHEEL_RING_TEXT	s	AR	Quelle	strip registered renderer frame, then read productive core	NO
saral	2	f67r2|f69v	A1_LEFT_LOCAL_FIELD_20|A3_LEFT_RADIAL_SLOT_16	s	AR+AL	von Quelle zum Ziel	strip registered renderer frame, then read productive core	NO
sor	1	f67r2	A1_LEFT_LOCAL_FIELD_39	s	OR	Satz/Ansatz	strip registered renderer frame, then read productive core	NO
tol	1	f67r2	A1_LEFT_OUTER_STAR_STATION_05	t	OL	Fortsetzen	strip registered renderer frame, then read productive core	NO
