unified_serial	register	page	source_group_id	visible_surface	autonomy	classification
1	PROSE	f10r	E001	dchey	PARTIAL	PRODUCTIVE_FRAME_PLUS_NOMENCLATOR_BODY
2	PROSE	f10r	E002	cthoor	FULL	PRODUCTIVE_CORE_PLUS_EDGE
3	PROSE	f10r	E003	char	FULL	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
4	PROSE	f10r	E004	chty	PARTIAL	LEXICAL_BODY_PLUS_PRODUCTIVE_EDGE
5	PROSE	f10r	E005	os	NONE	NOMENCLATOR_WHOLE_SIGN
6	PROSE	f10r	E006	chair	FULL	PRODUCTIVE_BREVIGRAPH
7	PROSE	f10r	E007	otytchol	FULL	PRODUCTIVE_BREVIGRAPH
8	PROSE	f10r	E008	oky	FULL	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
9	PROSE	f10r	E009	daiin	FULL	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
10	PROSE	f10r	E010	etyd	FULL	PRODUCTIVE_BREVIGRAPH
11	PROSE	f10r	E011	qokchy	FULL	PRODUCTIVE_BREVIGRAPH
12	PROSE	f10r	E012	qotchol	FULL	PRODUCTIVE_BREVIGRAPH
13	PROSE	f10r	E013	chol	FULL	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
14	PROSE	f10r	E014	cthy	FULL	PRODUCTIVE_CORE_PLUS_EDGE
15	PROSE	f10r	E015	ycheor	FULL	PRODUCTIVE_CORE_PLUS_EDGE
16	PROSE	f10r	E016	cthy	FULL	PRODUCTIVE_CORE_PLUS_EDGE
17	PROSE	f10r	E017	chor	FULL	PRODUCTIVE_BREVIGRAPH
18	PROSE	f10r	E018	cthaiin	FULL	PRODUCTIVE_CORE_PLUS_EDGE
19	PROSE	f10r	E019	qoctholy	FULL	PRODUCTIVE_CORE_PLUS_EDGE
20	PROSE	f10r	E020	dy	FULL	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
21	PROSE	f10r	E021	chy	FULL	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
22	PROSE	f10r	E022	taiin	FULL	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
23	PROSE	f10r	E023	shy	FULL	PRODUCTIVE_BREVIGRAPH
24	PROSE	f10r	E024	qotchor	FULL	PRODUCTIVE_BREVIGRAPH
25	PROSE	f10r	E025	chor	FULL	PRODUCTIVE_BREVIGRAPH
26	PROSE	f10r	E026	otol	FULL	PRODUCTIVE_BREVIGRAPH
27	PROSE	f10r	E027	chol	FULL	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
28	PROSE	f10r	E028	cholor	FULL	PRODUCTIVE_BREVIGRAPH
29	PROSE	f10r	E029	chol	FULL	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
30	PROSE	f10r	E030	daiin	FULL	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
31	PROSE	f10r	E031	dar	FULL	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
32	PROSE	f10r	E032	oykchor	FULL	PRODUCTIVE_CORE_PLUS_EDGE
33	PROSE	f10r	E033	shor	FULL	PRODUCTIVE_BREVIGRAPH
34	PROSE	f10r	E034	chor	FULL	PRODUCTIVE_BREVIGRAPH
35	PROSE	f10r	E035	chy	FULL	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
36	PROSE	f10r	E036	kaiiin	FULL	PRODUCTIVE_BREVIGRAPH
37	PROSE	f10r	E037	dy	FULL	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
38	PROSE	f10r	E038	chodaiin	FULL	PRODUCTIVE_CORE_PLUS_EDGE
39	PROSE	f11r	E039	tshol	PARTIAL	LEXICAL_BODY_PLUS_PRODUCTIVE_EDGE
40	PROSE	f11r	E040	schoal	FULL	PRODUCTIVE_CORE_PLUS_EDGE
41	PROSE	f11r	E041	cfhy	PARTIAL	PRODUCTIVE_FRAME_PLUS_NOMENCLATOR_BODY
42	PROSE	f11r	E042	shfydaiin	FULL	PRODUCTIVE_CORE_PLUS_EDGE
43	PROSE	f11r	E043	cphy	PARTIAL	PRODUCTIVE_FRAME_PLUS_NOMENCLATOR_BODY
44	PROSE	f11r	E044	shey	NONE	NOMENCLATOR_WHOLE_SIGN
45	PROSE	f11r	E045	tchody	FULL	PRODUCTIVE_CORE_PLUS_EDGE
46	PROSE	f11r	E046	shoyty	FULL	PRODUCTIVE_CORE_PLUS_EDGE
47	PROSE	f11r	E047	dchol	NONE	NOMENCLATOR_WHOLE_SIGN
48	PROSE	f11r	E048	chy	FULL	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
49	PROSE	f11r	E049	kchy	FULL	PRODUCTIVE_CORE_PLUS_EDGE
50	PROSE	f11r	E050	dy	FULL	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
51	PROSE	f11r	E051	daiin	FULL	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
52	PROSE	f11r	E052	qotchy	FULL	PRODUCTIVE_BREVIGRAPH
53	PROSE	f11r	E053	okchol	FULL	PRODUCTIVE_BREVIGRAPH
54	PROSE	f11r	E054	cthy	FULL	PRODUCTIVE_CORE_PLUS_EDGE
55	PROSE	f11r	E055	dy	FULL	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
56	PROSE	f55v	E056	qokaiin	FULL	PRODUCTIVE_BREVIGRAPH
57	PROSE	f55v	E057	chaiin	FULL	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
58	PROSE	f55v	E058	ykain	FULL	PRODUCTIVE_BREVIGRAPH
59	PROSE	f55v	E059	ykan	FULL	PRODUCTIVE_BREVIGRAPH
60	PROSE	f55v	E060	ody	NONE	REGISTER_SPLIT_ASTRO_OD_PROSE_WHOLE
61	PROSE	f55v	E061	daiin	FULL	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
62	PROSE	f55v	E062	chedy	FULL	PRODUCTIVE_CORE_PLUS_EDGE
63	PROSE	f55v	E063	talam	PARTIAL	PRODUCTIVE_FRAME_PLUS_NOMENCLATOR_BODY
64	PROSE	f55v	E064	ykaiin	FULL	PRODUCTIVE_BREVIGRAPH
65	PROSE	f55v	E065	cheoar	FULL	PRODUCTIVE_CORE_PLUS_EDGE
66	PROSE	f55v	E066	cheeky	FULL	PRODUCTIVE_CORE_PLUS_EDGE
67	PROSE	f55v	E067	oldy	FULL	PRODUCTIVE_CORE_PLUS_EDGE
68	PROSE	f55v	E068	aiin	FULL	PRODUCTIVE_BREVIGRAPH
69	PROSE	f55v	E069	okal	FULL	PRODUCTIVE_BREVIGRAPH
70	PROSE	f55v	E070	oltchy	FULL	PRODUCTIVE_CORE_PLUS_EDGE
71	PROSE	f55v	E071	or	FULL	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
72	PROSE	f55v	E072	y	FULL	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
73	PROSE	f55v	E073	orain	FULL	PRODUCTIVE_BREVIGRAPH
74	PROSE	f56r	E074	chochor	FULL	PRODUCTIVE_CORE_PLUS_EDGE
75	PROSE	f56r	E075	cho	NONE	NOMENCLATOR_WHOLE_SIGN
76	PROSE	f56r	E076	chodaly	FULL	PRODUCTIVE_CORE_PLUS_EDGE
77	PROSE	f56r	E077	daiin	FULL	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
78	PROSE	f56r	E078	sho	NONE	NOMENCLATOR_WHOLE_SIGN
79	PROSE	f56r	E079	kchol	FULL	PRODUCTIVE_CORE_PLUS_EDGE
80	PROSE	f56r	E080	otchor	FULL	PRODUCTIVE_BREVIGRAPH
81	PROSE	f56r	E081	choky	FULL	PRODUCTIVE_BREVIGRAPH
82	PROSE	f56r	E082	dal	FULL	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
83	PROSE	f56r	E083	schol	NONE	NOMENCLATOR_WHOLE_SIGN
84	PROSE	f56r	E084	choy	FULL	PRODUCTIVE_CORE_PLUS_EDGE
85	PROSE	f56r	E085	choky	FULL	PRODUCTIVE_BREVIGRAPH
86	PROSE	f56r	E086	cheeckhody	FULL	PRODUCTIVE_CORE_PLUS_EDGE
87	PROSE	f56r	E087	sh	NONE	NOMENCLATOR_WHOLE_SIGN
88	PROSE	f56r	E088	cho	NONE	NOMENCLATOR_WHOLE_SIGN
