source_id	date_place	object	observed_or_catalogued_mechanism	closest_sidequest_match	url	weight
LJS419	15. Jh., Norditalien/Veneto	UPenn Oversize LJS 419, Erbario	Drei Zeichenstile im selben Herbal; konventionelle und fantastische Pflanzen, naturalistischere Nachzeichnungen, Wurzeln/Blätter/Blüten/Früchte; italienische oder lateinische Notizen zu Eigenschaften und Zubereitungen um und über den Bildern.	Fünf Herbal-Seiten insgesamt; besonders überzeichnete Wurzeln, mehrteilige Pflanzenkörper und Text um das Bild.	https://openn.library.upenn.edu/Data/0001/html/ljs419.html	PRIMARY_CLOSEST_IMAGE_AND_LAYOUT_ANALOGUE
LJS419_SCAN0040	15. Jh., Norditalien/Veneto	LJS 419 Scan 0265_0040	Zwei sichtbar verschiedene Pflanzenkörper werden mit einem stark verformten tierähnlichen Wurzelkörper und einem kompakten Notizblock auf einer Seite kombiniert.	Zeigt, dass überzeichnete oder kombinierte Wurzelbilder keine exakte botanische Anatomie voraussetzen.	https://openn.library.upenn.edu/Data/0001/ljs419/data/web/0265_0040_web.jpg	DIRECT_VISUAL_COMPARATOR
LJS419_SCAN0080	15. Jh., Norditalien/Veneto	LJS 419 Scan 0265_0080	Eine einfache Pflanze trägt einen graphisch gezackten, unnatürlich langen Wurzelweg; der Bildcode ist merkfähig, aber botanisch nicht maßstäblich.	f10r/f11r/f13r: Wurzelgeometrie kann den brauchbaren Teil oder eine Merkform übertreiben.	https://openn.library.upenn.edu/Data/0001/ljs419/data/web/0265_0080_web.jpg	DIRECT_VISUAL_COMPARATOR
LJS419_SCAN0120	15. Jh., Norditalien/Veneto	LJS 419 Scan 0265_0120	Ein waagrechter, wiederholt gelappter Rhizomkörper trägt einen stark vereinfachten Blütenstängel.	f11r Mehrkronenstock und f55v Seitenrhizom: funktionale Pflanzenteile werden als wiederholbare Bildmodule dargestellt.	https://openn.library.upenn.edu/Data/0001/ljs419/data/web/0265_0120_web.jpg	DIRECT_VISUAL_COMPARATOR
LJS419_SCAN0160	15. Jh., Norditalien/Veneto	LJS 419 Scan 0265_0160	Drei getrennte Pflanzenfiguren mit eigenen Namen stehen nebeneinander; Wurzeln, Blätter, Blüten/Früchte und ein symbolischer Mondhinweis werden auf einer Seite kombiniert.	f88r Zutatenreihe und das Nebeneinander von Pflanzenmaterial und Himmels-/Zeitbezug im Gesamtbuch.	https://openn.library.upenn.edu/Data/0001/ljs419/data/web/0265_0160_web.jpg	DIRECT_VISUAL_COMPARATOR
SLOANE4016	ca. 1440, Lombardei	British Library Sloane MS 4016, italienisches Herbal	Vollseitige farbige Pflanzenbilder mit Beschriftungen, häufig mit Tieren oder Personen; norditalienische Tractatus-de-herbis-Bildtradition.	Belegt zeitnahe großformatige Bildbesitzer plus gelernte Namen; keine exakte Voynich-Pflanzenidentifikation.	https://searcharchives.bl.uk/catalog/040-002116409	PRIMARY_POLISHED_HERBAL_CONTROL
WELLCOME_MS418	Mitte 15. Jh., Frankreich	Wellcome MS.418, medizinische Wässer und andere Heilmittel	Pflanzenwässer mit vorgeschaltetem Index; Rezeptformeln beginnen mit Recype; Pflanzen, Mengen, Herstellung und Gebrauch werden ohne nötige Wasserillustration textlich verbunden.	Erlaubt Wasser als stilles Zubereitungsmedium auf Herbal-Seiten, obwohl das Bild nur die Pflanze zeigt.	https://wellcomecollection.org/works/f6nzyzh4	PRIMARY_RECIPE_MEDIUM_ANALOGUE
HARLEY2374	15. Jh., England	British Library Harley MS 2374	Botanisches lateinisch-englisches Glossar, partielles Antidotarium und medizinische Rezepte in einem Mischband.	Gelernte Drogennamen/Äquivalente neben produktiver Rezeptgrammatik; starkes f88r-Nomenklator-Analogon.	https://searcharchives.bl.uk/catalog/040-002048205	PRIMARY_GLOSSARY_ANTIDOTARY_ANALOGUE
HARLEY2381	Mitte 15. Jh., England	British Library Harley MS 2381	Kräuterliste, großer Rezeptbestand, Kalender, Mondkalender, Gewichte/Maße, Antidotarium und medizinische Wässer im selben Kompendium.	Stärkstes Inhaltsarchitektur-Analogon für Pflanzenmaterial + Zubereitung + Maß + getrennte Himmels-/Zeitsektion.	https://searcharchives.bl.uk/catalog/040-002048212	PRIMARY_WHOLE_BOOK_ANALOGUE
WELLCOME_MS334	ca. 1475, Italien	Wellcome MS.334, Herbal	Pflanzennamen und kurze Anwendungen; grobe Wasserfarben, teils groteske Gesichter an Wurzeln.	Später, aber besonders klar für Namen plus kurze Gebrauchsanweisung und bewusst groteske Wurzelbilder.	https://wellcomecollection.org/works/kjxqdfr6	LATER_SUPPORTING_CONTROL
MET_JAR_56_171_88	2. Hälfte 15. Jh., Spanien/Valencia	Metropolitan Museum pharmacy jar 56.171.88	Apotheker mischten zahlreiche verarbeitete Kräuter und Gewürze aus beschrifteten Vorratsgefäßen; Handbücher und Rezeptbücher gehörten zur Dosierpraxis.	Stützt f88r als Gefäß-, Zutaten- und Dosierregister, nicht die konkrete Gefäßform oder einen einzelnen Betrieb.	https://www.metmuseum.org/art/collection/search/471753	MATERIAL_CULTURE_SUPPORT
