page	locus	visible_event_count	visible_source_sequence	complete_literal_working_translation	sentence_boundary_status	complete_constructional_translation	construction_override_status
f10r	f10r.2	10	dchey cthoor char chty os chair otytchol oky daiin etyd	take the fibrous lower root; wash it in running water; from the same prepared batch; work it until evenly homogeneous; reduce it to a coarse powder; add red wine; drink it for pain of the stomach; apply or use this portion; in the stated or usual measure; keep the remaining root dry	NOT_FORCED_BY_PHYSICAL_LINE	take the fibrous lower root; wash it in running water; from the same prepared batch; work it until evenly homogeneous; reduce it to a coarse powder; add red wine; drink it for pain of the stomach; apply or use this portion; in the stated or usual measure; keep the remaining root dry	LITERAL_SEQUENCE_RETAINED
f10r	f10r.5	4	qokchy qotchol chol cthy	use the freshly prepared remedy; apply it while warm; with the foregoing preparation; when the preparation is ready	NOT_FORCED_BY_PHYSICAL_LINE	use the freshly prepared remedy; apply it while warm; with the foregoing preparation; when the preparation is ready	LITERAL_SEQUENCE_RETAINED
f10r	f10r.6	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	it grows in damp meadow ground; when the preparation is ready; the prepared decoction or working liquid; add the expressed juice; boil it gently; this present portion; this present portion; in the stated or usual measure; this present portion	NOT_FORCED_BY_PHYSICAL_LINE	prepare three current portions, adding expressed juice and boiling them under the stated measure	REPEAT_GRAMMAR_APPLIED
f10r	f10r.8	8	qotchor chor otol chol cholor chol daiin dar	gathered before flowering; the prepared decoction or working liquid; one handful; with the foregoing preparation; from the foregoing batch; with the foregoing preparation; in the stated or usual measure; from the same prepared batch	NOT_FORCED_BY_PHYSICAL_LINE	take one handful and attach two successive ingredients or steps to the foregoing preparation and batch	REPEAT_GRAMMAR_APPLIED
f10r	f10r.9	7	oykchor shor chor chy kaiiin dy chodaiin	when its flower has opened; the prepared decoction or working liquid; the prepared decoction or working liquid; this present portion; until a bitter taste remains; this present portion; preserve that portion under oil	NOT_FORCED_BY_PHYSICAL_LINE	combine two portions of prepared decoction; after bitterness remains, preserve the selected portion under oil	REPEAT_GRAMMAR_APPLIED
f11r	f11r.1	8	tshol schoal cfhy shfydaiin cphy shey tchody shoyty	gather the root in spring; from shaded woodland; before the flowering crown opens; press the bruised root through cloth; strain the liquor a second time; until the liquid runs clear; leave the strained liquor uncovered to cool; reserve the flowering crown	NOT_FORCED_BY_PHYSICAL_LINE	gather the root in spring; from shaded woodland; before the flowering crown opens; press the bruised root through cloth; strain the liquor a second time; until the liquid runs clear; leave the strained liquor uncovered to cool; reserve the flowering crown	LITERAL_SEQUENCE_RETAINED
f11r	f11r.4	5	dchol chy kchy dy daiin	of this pictured simple; this present portion; bind it upon a swollen place; this present portion; in the stated or usual measure	NOT_FORCED_BY_PHYSICAL_LINE	of the pictured simple, bind the present portion on the swollen place in the stated measure	REPEAT_GRAMMAR_APPLIED
f11r	f11r.7	4	qotchy okchol cthy dy	make a warm poultice from its leaves; lay it on while warm; when the preparation is ready; this present portion	NOT_FORCED_BY_PHYSICAL_LINE	make a warm poultice from its leaves; lay it on while warm; when the preparation is ready; this present portion	LITERAL_SEQUENCE_RETAINED
f55v	f55v.5	8	qokaiin chaiin ykain ykan ody daiin chedy talam	begin the next measured entry; in the stated or usual measure; boil the broad leaf gently; in white wine; steep it until the liquor is clear; in the stated or usual measure; stir until evenly mixed; wash the sore place once	NOT_FORCED_BY_PHYSICAL_LINE	begin the entry with one measured portion, add a second stated measure, stir evenly and wash once	REPEAT_GRAMMAR_APPLIED
f55v	f55v.11	10	ykaiin cheoar cheeky oldy aiin okal oltchy or y orain	for its second medicinal use; add white wine; while still warm; boil gently; close the rubric; in the stated or usual measure; mix the two portions together; keep it in a covered jar; the prepared decoction or working liquid; this present portion; use the finished liquor fresh	NOT_FORCED_BY_PHYSICAL_LINE	for its second medicinal use; add white wine; while still warm; boil gently; close the rubric; in the stated or usual measure; mix the two portions together; keep it in a covered jar; the prepared decoction or working liquid; this present portion; use the finished liquor fresh	LITERAL_SEQUENCE_RETAINED
f56r	f56r.5	4	chochor cho chodaly daiin	gather the plant in spring; then take the following ingredient or plant part; the thin lower root; in the stated or usual measure	NOT_FORCED_BY_PHYSICAL_LINE	gather the plant in spring; then take the following ingredient or plant part; the thin lower root; in the stated or usual measure	LITERAL_SEQUENCE_RETAINED
