statement_id	page	record	events	surface_sequence	component_sequence	portable_templates	portable_occurrences	template_expansions_de	complete_reading_de	form_owner_boundary_status
H1-S001	f10r	H1	10	dchey cthoor char chty os chair otytchol oky daiin etyd	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y	PT1	1	Diesen Posten bis zum Maß ansetzen.	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten und aus der Quelle anwenden; Wasser entnehmen, danach den Posten weiterfuehren, nach Mass ansetzen und kurz anwenden.	UNCHANGED
H1-S002	f10r	H1	4	qokchy qotchol chol cthy	OK+Y | OT+CH+OL | OL | CTH+Y	NONE	0	NONE	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.	UNCHANGED
H2-S001	f10r	H2	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y	PT2,PT1	2	Den aktuellen Posten nach dem Maß beibehalten. | Diesen Posten bis zum Maß führen.	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Mass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.	UNCHANGED
H2-S002	f10r	H2	8	qotchor chor otol chol cholor chol daiin dar	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	PT1,PT4	2	Bis zum Maß weiterarbeiten. | Mit demselben Ansatz weiterarbeiten.	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren Fortsetzungsschritten nach Mass aus der Quelle weiterfuehren.	UNCHANGED
H2-S003	f10r	H2	7	oykchor shor chor chy kaiiin dy chodaiin	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	PT3	1	Diesen Ansatz als laufenden Posten führen.	Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Stufe weiter zugeben und anschliessend im Arbeitsgang nach Mass entnehmen.	UNCHANGED
H3-S001	f11r	H3	7	tshol schoal cfhy shfydaiin cphy shey tchody	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	NONE	0	NONE	Bei der dicht bluehenden Kronenpflanze: Den Ansatz am Ziel weiter halten; auswringen, bis zum Mass halten, in den Empfaenger fuellen, laenger halten, entnehmen und den Schritt schliessen.	UNCHANGED
H3-S002	f11r	H3	1	shoyty	SH+O+Y+T+Y	NONE	0	NONE	Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Arbeitsgang halten und anwenden.	UNCHANGED
H3-S003	f11r	H3	5	dchol chy kchy dy daiin	RESUME_CARD | Y | K+Y | Y | AIIN	PT1	1	Diesen Posten bis zum Maß führen.	Bei der dicht bluehenden Kronenpflanze: Den vorigen Vorgang wiederaufnehmen, den aktuellen Posten beibehalten, ihm zugeben und ihn bis zum Mass weiterfuehren.	UNCHANGED
H3-S004	f11r	H3	4	qotchy okchol cthy dy	OT+Y | OK+OL | CTH+Y | Y	NONE	0	NONE	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereitet halten; dann ihn beibehalten.	UNCHANGED
H4-S001	f55v	H4	5	qokaiin chaiin ykain ykan ody	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY	NONE	0	NONE	Bei der breitblaettrigen rispigen Pflanze: Nach Mass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen.	UNCHANGED
H4-S002	f55v	H4	3	daiin chedy talam	AIIN | CHD+Y | TALAM	NONE	0	NONE	Bei der breitblaettrigen rispigen Pflanze: Nach Mass den laufenden Posten umsetzen und anschliessend verwahren.	UNCHANGED
H4-S003	f55v	H4	4	ykaiin cheoar cheeky oldy	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	NONE	0	NONE	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Mass zugeben; dann kurz im Arbeitsgang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann fortsetzen; den Schritt schliessen.	UNCHANGED
H4-S004	f55v	H4	6	aiin okal oltchy or y orain	AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN	PT3	1	Diesen Ansatz als laufenden Posten führen.	Bei der breitblaettrigen rispigen Pflanze: Nach Mass am Ziel ansetzen, den laufenden Posten weiter anwenden, als Ansatz beibehalten und als Ansatzportion fuehren.	UNCHANGED
H5-S001	f56r	H5	9	chochor cho chodaly daiin sho kchol otchor choky dal	HO+CH+OR | HO | HO+AL+Y | AIIN | HO | K+OL | OT+CH+OR | OK+Y | AL	NONE	0	NONE	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz entnehmen, zum Ziel bringen und nach Mass weiter zugeben; danach vom Ansatz entnehmen und den Posten am Ziel ansetzen.	UNCHANGED
H5-S002	f56r	H5	4	schol choy choky cheeckhody	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY	NONE	0	NONE	Bei der mehrkoepfigen stacheligen Pflanze: Den vorigen Vorgang wiederaufnehmen, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Arbeitsgang durch den Durchlass entnehmen und schliessen.	UNCHANGED
