record	register	PT1_postfix_measure	PT2_prefix_measured_item	PT3_current_preparation	PT4_continue_preparation	portable_template_occurrences	teaching_status
H1	HERBAL_WHAT	1	0	0	0	1	USES_PORTABLE_MINIGRAMMAR
H2	HERBAL_WHAT	2	1	1	1	5	USES_PORTABLE_MINIGRAMMAR
H3	HERBAL_WHAT	1	0	0	0	1	USES_PORTABLE_MINIGRAMMAR
H4	HERBAL_WHAT	0	0	1	0	1	USES_PORTABLE_MINIGRAMMAR
H5	HERBAL_WHAT	0	0	0	0	0	WHOLE_CARD_ONLY_IN_THIS_SLICE
B1	BIOLOGICAL_HOW	0	0	0	1	1	USES_PORTABLE_MINIGRAMMAR
B2	BIOLOGICAL_HOW	0	1	0	0	1	USES_PORTABLE_MINIGRAMMAR
B3	BIOLOGICAL_HOW	3	1	0	0	4	USES_PORTABLE_MINIGRAMMAR
B4	BIOLOGICAL_HOW	0	0	1	0	1	USES_PORTABLE_MINIGRAMMAR
B5	BIOLOGICAL_HOW	0	0	0	0	0	WHOLE_CARD_ONLY_IN_THIS_SLICE
B6	BIOLOGICAL_HOW	1	0	0	0	1	USES_PORTABLE_MINIGRAMMAR
