practice_event_id	docket_id	owner_class	position	locus_start	previous_recipe	component_recipe	next_recipe	selection_rule	selected_variant	selected_card	selected_surface	surface_unique_to_card	backread_de	local_surface_tray_lookup
FD01-E01	FD01	PLANT	1	YES	NONE	OK+Y	AIIN	CR1	MARKED	PROC011	okchy	YES	ANSETZEN · DIES	NONE
FD01-E02	FD01	PLANT	2	YES	OK+Y	AIIN	NONE	UNIQUE_EXACT_CARD	UNIQUE	PROC009	aiin	YES	MASS	NONE
FD02-E01	FD02	PLANT	1	NO	NONE	HO	OK+Y	UNIQUE_EXACT_CARD	UNIQUE	PROC052	cho	YES	ZUTAT	NONE
FD02-E02	FD02	PLANT	2	NO	HO	OK+Y	K+HO+AR	CR1	MARKED	PROC011	okchy	YES	ANSETZEN · DIES	NONE
FD02-E03	FD02	PLANT	3	NO	OK+Y	K+HO+AR	NONE	UNIQUE_EXACT_CARD	UNIQUE	PROC063	kchoar	YES	ZUDOSIEREN · ZUTAT · QUELLE	NONE
FD03-E01	FD03	BASIN	1	NO	NONE	AIIN	OK+Y	UNIQUE_EXACT_CARD	UNIQUE	PROC009	aiin	YES	MASS	NONE
FD03-E02	FD03	BASIN	2	NO	AIIN	OK+Y	AL	CR1	PLAIN	PROC008	oky	YES	ANSETZEN · DIES	NONE
FD03-E03	FD03	BASIN	3	NO	OK+Y	AL	NONE	UNIQUE_EXACT_CARD	UNIQUE	PROC055	al	YES	ZIEL	NONE
FD04-E01	FD04	BASIN	1	YES	NONE	CHD+DY	CHD+Y	CR3	MARKED	PROC076	dchedy	YES	UMSETZEN · SCHLUSS	NONE
FD04-E02	FD04	BASIN	2	YES	CHD+DY	CHD+Y	OK+AL	CR2	MARKED	PROC133	chedchy	YES	UMSETZEN · DIES	NONE
FD04-E03	FD04	BASIN	3	YES	CHD+Y	OK+AL	NONE	UNIQUE_EXACT_CARD	UNIQUE	PROC048	okal	YES	ANSETZEN · ZIEL	NONE
FD05-E01	FD05	PLANT	1	NO	NONE	AIIN	CHD+Y	UNIQUE_EXACT_CARD	UNIQUE	PROC009	aiin	YES	MASS	NONE
FD05-E02	FD05	PLANT	2	NO	AIIN	CHD+Y	TALAM	CR2	PLAIN	PROC042	chdy	YES	UMSETZEN · DIES	NONE
FD05-E03	FD05	PLANT	3	NO	CHD+Y	TALAM	NONE	UNIQUE_EXACT_CARD	UNIQUE	PROC043	talam	YES	VERWAHREN	NONE
FD06-E01	FD06	BASIN	1	YES	NONE	CHD+DY	NONE	CR3	MARKED	PROC076	dchedy	YES	UMSETZEN · SCHLUSS	NONE
FD07-E01	FD07	APPARATUS	1	NO	NONE	CKH+Y	CHD+DY	UNIQUE_EXACT_CARD	UNIQUE	PROC075	chckhy	YES	DURCHLASS · DIES	NONE
FD07-E02	FD07	APPARATUS	2	NO	CKH+Y	CHD+DY	NONE	CR3	MARKED	PROC076	dchedy	YES	UMSETZEN · SCHLUSS	NONE
FD08-E01	FD08	PLANT	1	NO	NONE	AIIN	CHD+DY	UNIQUE_EXACT_CARD	UNIQUE	PROC009	aiin	YES	MASS	NONE
FD08-E02	FD08	PLANT	2	NO	AIIN	CHD+DY	OR	CR3	PLAIN	PROC094	dchdy	YES	UMSETZEN · SCHLUSS	NONE
FD08-E03	FD08	PLANT	3	NO	CHD+DY	OR	NONE	UNIQUE_EXACT_CARD	UNIQUE	PROC016	or	YES	ANSATZ	NONE
FD09-E01	FD09	BASIN	1	NO	NONE	T+E+Y	OK+CHD+DY	UNIQUE_EXACT_CARD	UNIQUE	PROC090	ytey	YES	EINTRAGEN · KURZ · DIES	NONE
FD09-E02	FD09	BASIN	2	NO	T+E+Y	OK+CHD+DY	NONE	CR4	MARKED	PROC091	okchedy	YES	ANSETZEN · UMSETZEN · SCHLUSS	NONE
FD10-E01	FD10	BASIN	1	NO	NONE	OK+CHD+DY	NONE	CR4	PLAIN	PROC082	qokchdy	YES	ANSETZEN · UMSETZEN · SCHLUSS	NONE
FD11-E01	FD11	APPARATUS	1	YES	NONE	OK+CHD+DY	NONE	CR4	PLAIN	PROC082	qokchdy	YES	ANSETZEN · UMSETZEN · SCHLUSS	NONE
FD12-E01	FD12	BASIN	1	YES	NONE	CHD+DY	CHD+Y	CR3	MARKED	PROC076	dchedy	YES	UMSETZEN · SCHLUSS	NONE
FD12-E02	FD12	BASIN	2	YES	CHD+DY	CHD+Y	AIIN	CR2	PLAIN	PROC042	chdy	YES	UMSETZEN · DIES	NONE
FD12-E03	FD12	BASIN	3	YES	CHD+Y	AIIN	NONE	UNIQUE_EXACT_CARD	UNIQUE	PROC009	aiin	YES	MASS	NONE
