exact_card_id	semantic_family	component_recipe	pass729_reading_de	pass730_reading_de	direction_root	registered_surfaces	events	direction_revision
PROC003	SEM003	AR	QUELLE	QUELLE	AR	char|dar|sar	5	NO
PROC006	SEM006	CH+AIR	ENTNEHMEN · WASSER	ENTNEHMEN · WASSER	AIR	chair	1	NO
PROC027	SEM026	SH+O+AL	HALTEN · ARBEITSGANG · ZIEL	HALTEN · ARBEITSGANG · ZIELSTELLE	AL	schoal	1	YES
PROC045	SEM044	CH+E+O+AR	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE	AR	cheoar	1	NO
PROC048	SEM047	OK+AL	ANSETZEN · ZIEL	ANSETZEN · ZIELSTELLE	AL	okal|qokal	6	YES
PROC053	SEM052	HO+AL+Y	ZUTAT · ZIEL · DIES	ZUTAT · ZIELSTELLE · DIES	AL	chodaly	1	YES
PROC055	SEM054	AL	ZIEL	ZIELSTELLE	AL	al|chal|cheal|dal|sal|tal	10	YES
PROC062	SEM061	K+AL	ZUGEBEN · ZIEL	ZUGEBEN · ZIELSTELLE	AL	kchal	1	YES
PROC063	SEM062	K+HO+AR	ZUGEBEN · ZUTAT · QUELLE	ZUGEBEN · ZUTAT · QUELLE	AR	kchoar	1	NO
PROC068	SEM066	K+AIR	ZUGEBEN · WASSER	ZUGEBEN · WASSER	AIR	kair	1	NO
PROC073	SEM071	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIEL	HALTEN · KURZ · DURCHLASS · ZIELSTELLE	AL	sheckhal	1	YES
PROC074	SEM072	OK+EE+AL	ANSETZEN · LANG · ZIEL	ANSETZEN · LANG · ZIELSTELLE	AL	qokeedal	1	YES
PROC081	SEM079	R+AL	KUEHLEN · ZIEL	KUEHLEN · ZIELSTELLE	AL	ral	1	YES
PROC088	SEM086	L+CHD+AL	WEITERLEITEN · UMSETZEN · ZIEL	WEITERLEITEN · UMSETZEN · ZIELSTELLE	AL	lchedal	1	YES
PROC089	SEM087	OT+AR	DANACH · QUELLE	DANACH · QUELLE	AR	otar	1	NO
PROC104	SEM100	OK+AL+Y	ANSETZEN · ZIEL · DIES	ANSETZEN · ZIELSTELLE · DIES	AL	qokaly	1	YES
PROC113	SEM108	OK+AR	ANSETZEN · QUELLE	ANSETZEN · QUELLE	AR	qokar	1	NO
PROC121	SEM115	L+AR	WEITERLEITEN · QUELLE	WEITERLEITEN · QUELLE	AR	lar	1	NO
PROC123	SEM117	L+CHD+AR	WEITERLEITEN · UMSETZEN · QUELLE	WEITERLEITEN · UMSETZEN · QUELLE	AR	lchedar	1	NO
PROC126	SEM120	R+SH+E+AL	KUEHLEN · HALTEN · KURZ · ZIEL	KUEHLEN · HALTEN · KURZ · ZIELSTELLE	AL	rsheal	1	YES
PROC127	SEM121	AL+DY	ZIEL · SCHLUSS	ZIELSTELLE · SCHLUSS	AL	daldy	1	YES
PROC131	SEM125	OT+AL	DANACH · ZIEL	DANACH · ZIELSTELLE	AL	otal|qotal	3	YES
PROC134	SEM127	P+CHD+AL	EINFUELLEN · UMSETZEN · ZIEL	EINFUELLEN · UMSETZEN · ZIELSTELLE	AL	pchedal	1	YES
PROC137	SEM130	AR+Y	QUELLE · DIES	QUELLE · DIES	AR	chary	1	NO
PROC138	SEM131	OK+AIR	ANSETZEN · WASSER	ANSETZEN · WASSER	AIR	okair	1	NO
PROC142	SEM135	SHED+AL	ABSETZEN · ZIEL	ABSETZEN · ZIELSTELLE	AL	shedal	2	YES
PROC144	SEM137	AL+CHD+DY	ZIEL · UMSETZEN · SCHLUSS	ZIELSTELLE · UMSETZEN · SCHLUSS	AL	dalchdy	1	YES
PROC146	SEM139	EE+AR	LANG · QUELLE	LANG · QUELLE	AR	cheedar	1	NO
PROC148	SEM141	AL+R+OR	ZIEL · KUEHLEN · ANSATZ	ZIELSTELLE · KUEHLEN · ANSATZ	AL	chealror	1	YES
PROC150	SEM143	CHD+AIR	UMSETZEN · WASSER	UMSETZEN · WASSER	AIR	schedair	1	NO
PROC153	SEM146	OL+AL+Y	FORTSETZEN · ZIEL · DIES	FORTSETZEN · ZIELSTELLE · DIES	AL	olsaly	1	YES
PROC162	SEM153	AIR+Y+DY	WASSER · DIES · SCHLUSS	WASSER · DIES · SCHLUSS	AIR	dairydy	1	NO
PROC163	SEM154	CH+CKH+AL	ENTNEHMEN · DURCHLASS · ZIEL	ENTNEHMEN · DURCHLASS · ZIELSTELLE	AL	chckhal	1	YES
PROC165	SEM156	K+AR	ZUGEBEN · QUELLE	ZUGEBEN · QUELLE	AR	skar	1	NO
PROC168	SEM158	CHD+AL	UMSETZEN · ZIEL	UMSETZEN · ZIELSTELLE	AL	chdal	1	YES
PROC172	SEM162	R+AL+Y	KUEHLEN · ZIEL · DIES	KUEHLEN · ZIELSTELLE · DIES	AL	raly	1	YES
PROC173	SEM163	L+AL+OR	WEITERLEITEN · ZIEL · ANSATZ	WEITERLEITEN · ZIELSTELLE · ANSATZ	AL	ldalor	1	YES
