event_id	root	page	record	statement_id	owner_de	card_no	surface	component_recipe	previous_recipe	next_recipe	pass730_atomic_reading_de	slot_expansion_de	full_statement_de
E003	AR	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC003	char	AR	CTH+O+OR	T+Y	QUELLE	aus/von der aktiven Quelle oder dem Vorrat	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten und aus der Quelle anwenden; Wasser entnehmen, danach den Posten weiterfuehren, nach Sollmass ansetzen und kurz anwenden.
E006	AIR	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC006	chair	CH+AIR	OS	OT+Y+T+CH+OL	ENTNEHMEN · WASSER	die konkrete laufende Arbeitsflüssigkeit Wasser	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten und aus der Quelle anwenden; Wasser entnehmen, danach den Posten weiterfuehren, nach Sollmass ansetzen und kurz anwenden.
E031	AR	f10r	H2	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC003	dar	AR	AIIN	END	QUELLE	aus/von der aktiven Quelle oder dem Vorrat	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren Fortsetzungsschritten nach Sollmass aus der Quelle weiterfuehren.
E040	AL	f11r	H3	H3-S001	abgebildete dicht blau blühende Kronenpflanze	PROC027	schoal	SH+O+AL	T+SH+OL	CFH+Y	HALTEN · ARBEITSGANG · ZIELSTELLE	an/zu der bezeichneten Arbeitsstelle	Bei der dicht bluehenden Kronenpflanze: Den Ansatz an der Zielstelle weiter halten; auswringen, bis zum Sollmass halten, in den Empfaenger fuellen, laenger halten, entnehmen und den Schritt schliessen.
E065	AR	f55v	H4	H4-S003	abgebildete breitblättrige rispige Pflanze	PROC045	cheoar	CH+E+O+AR	Y+K+AIIN	CHK+EE+Y	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE	aus/von der aktiven Quelle oder dem Vorrat	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Sollmass zugeben; dann kurz im Arbeitsgang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann fortsetzen; den Schritt schliessen.
E069	AL	f55v	H4	H4-S004	abgebildete breitblättrige rispige Pflanze	PROC048	okal	OK+AL	AIIN	OL+T+Y	ANSETZEN · ZIELSTELLE	an/zu der bezeichneten Arbeitsstelle	Bei der breitblaettrigen rispigen Pflanze: Nach Mass an der Zielstelle ansetzen, den laufenden Posten weiter anwenden, als Ansatz beibehalten und als Ansatzportion fuehren.
E076	AL	f56r	H5	H5-S001	abgebildete mehrköpfige stachelige Pflanze	PROC053	chodaly	HO+AL+Y	HO	AIIN	ZUTAT · ZIELSTELLE · DIES	an/zu der bezeichneten Arbeitsstelle	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz entnehmen, zur Zielstelle bringen und nach Sollmass weiter zugeben; danach vom Ansatz entnehmen und den Posten an der Zielstelle ansetzen.
E082	AL	f56r	H5	H5-S001	abgebildete mehrköpfige stachelige Pflanze	PROC055	dal	AL	OK+Y	END	ZIELSTELLE	an/zu der bezeichneten Arbeitsstelle	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz entnehmen, zur Zielstelle bringen und nach Sollmass weiter zugeben; danach vom Ansatz entnehmen und den Posten an der Zielstelle ansetzen.
E093	AL	f56r	H5	H5-S004	abgebildete mehrköpfige stachelige Pflanze	PROC062	kchal	K+AL	OK+CH+E+O	END	ZUGEBEN · ZIELSTELLE	an/zu der bezeichneten Arbeitsstelle	Bei der mehrkoepfigen stacheligen Pflanze: Den laufenden Posten ansetzen; dann kurz im Arbeitsgang ansetzen und entnehmen; dann zur Zielstelle zugeben.
E096	AR	f56r	H5	H5-S005	abgebildete mehrköpfige stachelige Pflanze	PROC063	kchoar	K+HO+AR	OK+Y	OT+O+AIN	ZUGEBEN · ZUTAT · QUELLE	aus/von der aktiven Quelle oder dem Vorrat	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat bereiten, den laufenden Posten ansetzen und die Zutat aus der Quelle zugeben; danach eine Portion in den Arbeitsgang nehmen.
