statement_id	page	record	event_count	source_surface	verb_skeleton	literal_card_reading_de	fluent_workshop_reading_de	process_summary	reading_quality	all_visible_events_retained	added_content_nouns
B1-S002	f81v	B1	19	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	SET>SET>SET>TRANSFER	ANSETZEN · SOLLMASS / ZUDOSIEREN · FLUESSIGKEITSLAUF / ANSETZEN · ZIELSTELLE / VORRAT / FORTSETZEN / ZUDOSIEREN · PORTION / FORTSETZEN · ZUDOSIEREN · PORTION / ZIELSTELLE / FORTSETZEN / KUEHLEN · FORTSETZEN / WEITERLEITEN / FORTSETZEN · ANSATZ / FORTSETZEN / HALTEN · KURZ · DURCHLASSKANAL · ZIELSTELLE / SOLLMASS / ANSETZEN · LANG · ZIELSTELLE / SOLLMASS / DURCHLASSKANAL · ARBEITSPOSTEN / UMSETZEN; SCHLUSS	Setze die vorgeschriebene Menge an. Gib die laufende Fluessigkeit hinzu und setze sie an der Zielstelle an. Nimm aus dem Vorrat, fahre fort, gib eine Portion und danach eine weitere Portion an die Zielstelle. Fahre kuehlend fort, leite den Ansatz weiter, halte ihn kurz am Durchlass der Zielstelle, richte erneut das Sollmass ein, halte ihn dort laenger, fuehre den bemessenen Posten durch den Kanal und setze ihn zum Abschluss um.	DOSIEREN_SETZEN_WEITERLEITEN_SCHLIESSEN	DENSE_BUT_COMPLETE	YES	NONE
B1-S007	f81v	B1	1	qokchdy	FUSED_SET_TRANSFER_CLOSE	ANSETZEN · UMSETZEN; SCHLUSS	Ansetzen, umsetzen und abschliessen.	FUSED_SET_TRANSFER_CLOSE	CLEAN	YES	NONE
B1-S015	f81v	B1	2	ytey okchedy	FUSED_SET_TRANSFER_CLOSE	EINTRAGEN · KURZ · ARBEITSPOSTEN / ANSETZEN · UMSETZEN; SCHLUSS	Den Posten kurz eintragen; ansetzen, umsetzen und abschliessen.	ENTER_THEN_FUSED_CLOSE	CLEAN	YES	NONE
B2-S004	f82r	B2	5	qokal lcheckhy lched qokeey lcheckhedy	SET>TRANSFER>SET	ANSETZEN · ZIELSTELLE / WEITERLEITEN · DURCHLASSKANAL · ARBEITSPOSTEN / WEITERLEITEN · UMSETZEN / ANSETZEN · LANG · ARBEITSPOSTEN / WEITERLEITEN · DURCHLASSKANAL · KURZ; SCHLUSS	An der Zielstelle ansetzen. Den Posten durch den Kanal weiterleiten, umsetzen und laenger ansetzen; danach kurz durch den Kanal weiterleiten und abschliessen.	TARGET_CHANNEL_TRANSFER_LONG_CLOSE	WORKABLE	YES	NONE
B2-S016	f82r	B2	8	cheal lchedar ches aiin oteey qokaiin okey pchedy	TRANSFER>SET>SET>TRANSFER	ZIELSTELLE / WEITERLEITEN · UMSETZEN · VORRAT / ABNEHMEN · KURZ · TEILEN / SOLLMASS / DANACH · LANG · ARBEITSPOSTEN / ANSETZEN · SOLLMASS / ANSETZEN · KURZ · ARBEITSPOSTEN / EINFUELLEN · UMSETZEN; SCHLUSS	Von der Zielstelle aus dem Vorrat weiterleiten und umsetzen. Einen Teil kurz abnehmen, das Sollmass setzen und danach den Posten laenger behandeln. Nach Sollmass kurz ansetzen, einfliessen lassen, umsetzen und abschliessen.	SOURCE_MEASURE_FILL_TRANSFER_CLOSE	WORKABLE	YES	NONE
B3-S006	f83r	B3	3	chedchy qokal olchedy	TRANSFER>SET>TRANSFER	UMSETZEN · ARBEITSPOSTEN / ANSETZEN · ZIELSTELLE / FORTSETZEN · UMSETZEN; SCHLUSS	Den laufenden Posten umsetzen, an der Zielstelle ansetzen, weiter umsetzen und abschliessen.	TRANSFER_SET_TARGET_TRANSFER_CLOSE	CLEAN	YES	NONE
B3-S007	f83r	B3	3	qokaiin chedy qokeedy	SET>TRANSFER>SET	ANSETZEN · SOLLMASS / UMSETZEN · ARBEITSPOSTEN / ANSETZEN · LANG; SCHLUSS	Nach Sollmass ansetzen, den laufenden Posten umsetzen, laenger ansetzen und abschliessen.	MEASURE_SET_TRANSFER_LONG_CLOSE	CLEAN	YES	NONE
B3-S011	f83r	B3	4	shecthedchy qoky chedy chary	TRANSFER>SET>TRANSFER	HALTEN · KURZ · BIS BEREIT; UMSETZEN · ARBEITSPOSTEN / ANSETZEN · ARBEITSPOSTEN / UMSETZEN · ARBEITSPOSTEN / VORRAT · ARBEITSPOSTEN	Kurz halten, bis der Posten bereit ist; ihn umsetzen, wieder ansetzen und nochmals umsetzen, dann beim Vorratsposten belassen.	HOLD_READY_TRANSFER_RECONFIGURE	WORKABLE	YES	NONE
B3-S016	f83r	B3	2	lo qokchedy	FUSED_SET_TRANSFER_CLOSE	WEITERLEITEN · ARBEITSGANG / ANSETZEN · UMSETZEN; SCHLUSS	Den Arbeitsgang weiterleiten; ansetzen, umsetzen und abschliessen.	FORWARD_THEN_FUSED_CLOSE	CLEAN	YES	NONE
B3-S021	f83r	B3	11	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	SET>TRANSFER	ANSETZEN · SOLLMASS / BEREIT · ARBEITSPOSTEN / ZIELSTELLE / ARBEITSPOSTEN / SOLLMASS / ABSETZEN · ZIELSTELLE / HALTEN · KURZ · BEREIT · ARBEITSPOSTEN / ARBEITSPOSTEN / ZIELSTELLE / BEREIT · ARBEITSPOSTEN / ZIELSTELLE · UMSETZEN; SCHLUSS	Nach Sollmass ansetzen. Den bereiten Posten fuer die Zielstelle nehmen, erneut bemessen und dort absetzen. Kurz halten, bis er bereit ist, und ihn schliesslich an der Zielstelle umsetzen.	MEASURE_TARGET_SETTLE_READY_TRANSFER_CLOSE	WORKABLE	YES	NONE
