component	selected_value_de	event_id	page	statement_id	owner_de	surface	component_recipe	function	full_statement_de
OS	DAZU	E005	f10r	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	os	OS	add linked material or clause without ordering claim	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten, aus der Quelle nehmen und bearbeiten; dazu Wasser entnehmen, danach den Posten bearbeiten, entnehmen und weiterfuehren, nach Sollmass ansetzen und kurz bearbeiten.
OL	WEITER	E007	f10r	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	otytchol	OT+Y+T+CH+OL	continue same operation or relation	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten, aus der Quelle nehmen und bearbeiten; dazu Wasser entnehmen, danach den Posten bearbeiten, entnehmen und weiterfuehren, nach Sollmass ansetzen und kurz bearbeiten.
OT	DANACH	E007	f10r	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	otytchol	OT+Y+T+CH+OL	advance to next operation or item	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten, aus der Quelle nehmen und bearbeiten; dazu Wasser entnehmen, danach den Posten bearbeiten, entnehmen und weiterfuehren, nach Sollmass ansetzen und kurz bearbeiten.
OL	WEITER	E012	f10r	H1-S002	abgebildete breit gezähnte radialblütige Pflanze	qotchol	OT+CH+OL	continue same operation or relation	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.
OT	DANACH	E012	f10r	H1-S002	abgebildete breit gezähnte radialblütige Pflanze	qotchol	OT+CH+OL	advance to next operation or item	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.
OL	WEITER	E013	f10r	H1-S002	abgebildete breit gezähnte radialblütige Pflanze	chol	OL	continue same operation or relation	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.
OL	WEITER	E019	f10r	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	qoctholy	O+CTH+OL+Y	continue same operation or relation	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Sollmass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.
OT	DANACH	E024	f10r	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	qotchor	OT+CH+OR	advance to next operation or item	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren weiteren Arbeitsschritten nach Sollmass aus der Quelle weiterfuehren.
OL	WEITER	E026	f10r	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	otol	OT+OL	continue same operation or relation	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren weiteren Arbeitsschritten nach Sollmass aus der Quelle weiterfuehren.
OT	DANACH	E026	f10r	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	otol	OT+OL	advance to next operation or item	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren weiteren Arbeitsschritten nach Sollmass aus der Quelle weiterfuehren.
