deck_order	master_card_id	master_form	registered_surfaces	semantic_atoms	short_default_de	records	event_count	portability_breadth	herbal_event_count	biological_event_count
1	MC019	oldy	oldy	OL+CLOSE	weiter+Schluss	B4|H4	2	NARROW_CROSS_SECTION_EXEMPLAR	1	1
2	MC026	choky	choky|oky|qoky	OK+Y	ansetzen+Posten	B1|B2|B3|B4|H1|H5	10	BROAD_CROSS_SECTION	3	7
3	MC032	cheeky	cheeky	CHK+EE+Y	wärmen+länger+Posten	B4|H4	2	NARROW_CROSS_SECTION_EXEMPLAR	1	1
4	MC039	aiin	aiin|chaiin|daiin|saiin|taiin	AIIN	Sollmaß	B1|B2|B3|B4|B5|B6|H1|H2|H3|H4|H5	20	UNIVERSAL_ALL_PROSE_RECORDS	9	11
5	MC040	okal	okal|qokal	OK+AL	ansetzen+Ziel	B1|B2|B3|H4	6	BROAD_CROSS_SECTION	1	5
6	MC055	char	char|dar|sar	AR	Quelle	B1|B2|B3|H1|H2	5	BROAD_CROSS_SECTION	2	3
7	MC074	chdy	chdy|chedy	CHD+Y	umsetzen+Posten	B1|B3|B4|B5|H4	11	BROAD_CROSS_SECTION	1	10
8	MC080	chor	chor|or|shor|sor	OR	Ansatz	B3|B4|H2|H4	7	BROAD_CROSS_SECTION	5	2
9	MC086	chety	chety|chty	PARTITION+TY	teilen+Teil	B3|H1	2	NARROW_CROSS_SECTION_EXEMPLAR	1	1
10	MC119	cheey	cheey|shey	CHEEY	Ergebnis	B2|B4|H3	4	NARROW_CROSS_SECTION_EXEMPLAR	1	3
11	MC120	okaiin	okaiin|qokaiin	OK+AIIN	ansetzen+Sollmaß	B1|B2|B3|H4	9	BROAD_CROSS_SECTION	1	8
12	MC123	chey	chey|chy|dy|shy|sy|y	Y	Posten	B1|B2|B3|B4|B6|H2|H3|H4	18	BROAD_CROSS_SECTION	9	9
13	MC153	cheol	cheol|chol|ol|qol|sol|tol	OL	weiter	B1|B3|B4|B5|B6|H1|H2	19	BROAD_CROSS_SECTION	3	16
14	MC154	al	al|chal|cheal|dal|sal|tal	AL	Ziel	B1|B2|B3|B4|B5|H5	10	BROAD_CROSS_SECTION	1	9
15	MC157	cholor	cholor|olor	OL+OR	weiter+Ansatz	B1|H2	2	NARROW_CROSS_SECTION_EXEMPLAR	1	1
16	MC161	checthy	checthy|cthy|shcthy	CTH+Y	bereit+Posten	B3|H1|H2|H3	7	BROAD_CROSS_SECTION	3	4
17	MC171	otchey	otchey	OT+Y	danach+Posten	B4|H5	2	NARROW_CROSS_SECTION_EXEMPLAR	1	1
