master_card_id	master_form	registered_surfaces	semantic_atoms	short_default_de	records	event_count	core_card_status	herbal_surfaces	biological_surfaces	teaching_instruction
MC002	okeey	okeey|qokeey	OK+EE+Y	ansetzen+länger+Posten	B1|B2|B3|B4	7	BIO_CORE_ATOM_CARD	NONE	okeey|qokeey	teach core atoms globally but practice this exact card only in its section
MC007	okey	okey|qokey	OK+E+Y	ansetzen+kurz+Posten	B1|B2	2	BIO_CORE_ATOM_CARD	NONE	okey|qokey	teach core atoms globally but practice this exact card only in its section
MC009	chary	chary	AR+Y	Quelle+Posten	B3	1	BIO_CORE_ATOM_CARD	NONE	chary	teach core atoms globally but practice this exact card only in its section
MC013	otchor	otchor|qotchor	OT+OR	danach+Ansatz	H2|H5	2	HERBAL_CORE_ATOM_CARD	otchor|qotchor	NONE	teach core atoms globally but practice this exact card only in its section
MC015	qokokchy	qokokchy	OK+OK+Y	ansetzen+ansetzen+Posten	H5	1	HERBAL_CORE_ATOM_CARD	qokokchy	NONE	teach core atoms globally but practice this exact card only in its section
MC016	rol	rol	OL	weiter	B1	1	BIO_CORE_ATOM_CARD	NONE	rol	teach core atoms globally but practice this exact card only in its section
MC018	qotedaiin	qotedaiin	OT+E+AIIN	danach+kurz+Sollmaß	B3	1	BIO_CORE_ATOM_CARD	NONE	qotedaiin	teach core atoms globally but practice this exact card only in its section
MC019	oldy	oldy	OL+CLOSE	weiter+Schluss	B4|H4	2	PORTABLE_EXACT_CORE_CARD	oldy	oldy	teach exact card in both sections
MC021	oltchy	oltchy	OL+CTH+Y	weiter+bereit+Posten	H4	1	HERBAL_CORE_ATOM_CARD	oltchy	NONE	teach core atoms globally but practice this exact card only in its section
MC024	qokol	qokol	OK+OL	ansetzen+weiter	B4	1	BIO_CORE_ATOM_CARD	NONE	qokol	teach core atoms globally but practice this exact card only in its section
MC026	choky	choky|oky|qoky	OK+Y	ansetzen+Posten	B1|B2|B3|B4|H1|H5	10	PORTABLE_EXACT_CORE_CARD	choky|oky	qoky	teach exact card in both sections
MC027	oykchor	oykchor	Y+KCH+OR	Posten+bearbeiten+Ansatz	H2	1	HERBAL_CORE_ATOM_CARD	oykchor	NONE	teach core atoms globally but practice this exact card only in its section
MC039	aiin	aiin|chaiin|daiin|saiin|taiin	AIIN	Sollmaß	B1|B2|B3|B4|B5|B6|H1|H2|H3|H4|H5	20	PORTABLE_EXACT_CORE_CARD	aiin|chaiin|daiin|taiin	aiin|daiin|saiin	teach exact card in both sections
MC040	okal	okal|qokal	OK+AL	ansetzen+Ziel	B1|B2|B3|H4	6	PORTABLE_EXACT_CORE_CARD	okal	okal|qokal	teach exact card in both sections
MC041	okchol	okchol	OK+OL	ansetzen+weiter	H3	1	HERBAL_CORE_ATOM_CARD	okchol	NONE	teach core atoms globally but practice this exact card only in its section
MC044	qokar	qokar	OK+AR	ansetzen+Quelle	B2	1	BIO_CORE_ATOM_CARD	NONE	qokar	teach core atoms globally but practice this exact card only in its section
MC046	raly	raly	AL+Y	Ziel+Posten	B6	1	BIO_CORE_ATOM_CARD	NONE	raly	teach core atoms globally but practice this exact card only in its section
MC052	qekey	qekey	KCH+E+Y	bearbeiten+kurz+Posten	B6	1	BIO_CORE_ATOM_CARD	NONE	qekey	teach core atoms globally but practice this exact card only in its section
