position	microcycle	exercise_owner	master_free_dictation_de	controlled_phrase	family_id	fixed_formula	selected_joint_tuple_id	selected_surface	registered_surface_palette	board_address	pair_placard	selection_route	backread_atomic_value_de	backread_slot_code	backread_exact
1	C1	B3_MAIN_ARCH_LINKED_PAIR	Nimm den laufenden Ansatz	BEZUG[Ansatz]	B03	B03::BEZUG[Ansatz]	7a4bb8136330ee4e6e56	sor	chor|or|shor|sor	M2_PREPARATION__S1_BEZUG_FOLGE	NONE	FAMILY_AND_CONTRAST_TABLET	Ansatz	S1_BEZUG_FOLGE	YES
2	C1	B3_MAIN_ARCH_LINKED_PAIR	teile eine Portion ab	MASS[Portion]	M02	M02::MASS[Portion]	9da1b6ac2c929daea697	kain	chkain|kain	M4_MEASURED_PORTION__S2_MATERIAL_MASS	NONE	FAMILY_AND_CONTRAST_TABLET	Portion	S2_MATERIAL_MASS	YES
3	C1	B3_MAIN_ARCH_LINKED_PAIR	richte sie nach dem Sollmaß	MASS[Sollmaß]	M01	M01::MASS[Sollmaß]	2f1c5e56e8f0ff459065	daiin	aiin|chaiin|daiin|saiin|taiin	M4_MEASURED_PORTION__S2_MATERIAL_MASS	NONE	FAMILY_AND_CONTRAST_TABLET	Sollmaß	S2_MATERIAL_MASS	YES
4	C1	B3_MAIN_ARCH_LINKED_PAIR	leite sie durch den vorhandenen Gang	TRANSFER[durchleiten]	T04	T04::TRANSFER[durchleiten]	2cc8bb3c2af19607888f	shckhy	chckhy|shckhy	M4_MEASURED_PORTION__S3_PROZESS_TRANSFER	NONE	FAMILY_AND_CONTRAST_TABLET	durchleiten	S3_PROZESS_TRANSFER	YES
5	C1	B3_MAIN_ARCH_LINKED_PAIR	erwärme sie kurz	ZUSTAND[Kurzwärme]	D04	D04::ZUSTAND[Kurzwärme]	d904bf7b044dd3922781	cheky	cheky	M4_MEASURED_PORTION__S4_DAUER_ZUSTAND	NONE	FAMILY_AND_CONTRAST_TABLET	Kurzwärme	S4_DAUER_ZUSTAND	YES
6	C1	B3_MAIN_ARCH_LINKED_PAIR	bis zur bezeichneten Stelle	ZIEL[Stelle]	Z01	Z01::ZIEL[Stelle]	dd0ecaf5e27d81befffc	al	al|chal|cheal|dal|sal|tal	M4_MEASURED_PORTION__S5_ZIEL_ANWENDUNG	NONE	FAMILY_AND_CONTRAST_TABLET	Stelle	S5_ZIEL_ANWENDUNG	YES
7	C2	B3_MAIN_ARCH_LINKED_PAIR	ziehe den klaren Anteil ab	TRANSFER[Klarabzug]	T07	T07::TRANSFER[Klarabzug]	5fca8fc3dee57e1d8c1f	lcheey	lcheey	M3_CLEAR_EXTRACT__S3_PROZESS_TRANSFER	NONE	FAMILY_AND_CONTRAST_TABLET	Klarabzug	S3_PROZESS_TRANSFER	YES
8	C2	B3_MAIN_ARCH_LINKED_PAIR	seihe ihn noch einmal	TRANSFER[Nachseihen]	T07	T07::TRANSFER[Nachseihen]	deb377381ceaf55ea310	cphy	cphy	M1_RAW_PART__S3_PROZESS_TRANSFER	NONE	FAMILY_AND_CONTRAST_TABLET	Nachseihen	S3_PROZESS_TRANSFER	YES
9	C2	B3_MAIN_ARCH_LINKED_PAIR	halte ihn länger	ZUSTAND[Langhalt]	D02	D02::ZUSTAND[Langhalt]	92e43836d82f98bf02d3	sheey	sheey	M4_MEASURED_PORTION__S4_DAUER_ZUSTAND	NONE	FAMILY_AND_CONTRAST_TABLET	Langhalt	S4_DAUER_ZUSTAND	YES
10	C2	B3_MAIN_ARCH_LINKED_PAIR	und verwahre ihn	SCHLUSS[Verwahren]	A03	A03::SCHLUSS[Verwahren]	e026af581c99322fbd46	talam	talam	M4_MEASURED_PORTION__S6_BEREIT_ABSCHLUSS	NONE	FAMILY_AND_CONTRAST_TABLET	Verwahren	S6_BEREIT_ABSCHLUSS	YES
