action_head	action_value_de	grade_slot	grade_value_de	argument_slot	argument_value_de	endpoint_slot	predicted_skeleton_reading_de	status	blocked_reasons	exact_recipe_type_count	event_count	register_count	registers	page_count	exact_recipes	surfaces
OK	SETZEN	NONE	NONE	NONE	NONE	OPEN	SETZEN	ATTESTED_MULTI_REGISTER	NONE	15	139	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	23	D_ADDR+OK+AN|OK|OK+AIR|OK+AL|OK+AL+AL|OK+AL+AR|OK+AM_ADDR|OK+AN|OK+AR|OK+AR+AR|OK+A_ADDR+LOCAL_CHAR_I+IIN|OK+O|OK+O+D_ADDR|OK+O+IIN|OK+OL	chok|chokal|chokar|chokchol|chokol|chykald|dokan|ok|okaiiin|okair|okal|okalal|okalar|okam|okan|okar|okarar|okchol|okedal|okoiin|okol|qokair|qokal|qokam|qokan|qokar|qokchol|qoko|qokod|qokoiin|qokol
OK	SETZEN	NONE	NONE	NONE	NONE	CLOSE	SETZEN · SCHLUSS	ATTESTED_MULTI_REGISTER	NONE	5	6	3	HERBAL|BIOLOGICAL|PHARMA	4	OK+AL+DY|OK+AL+O+DY|OK+AR+DY|OK+O+DY|OK+OL+DY	okaldy|okalody|okoldy|qokardy|qokody
OK	SETZEN	NONE	NONE	Y	POSTEN	OPEN	SETZEN · POSTEN	ATTESTED_MULTI_REGISTER	NONE	5	67	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	19	OK+AL+Y|OK+A_ADDR+Y|OK+O+Y|OK+Y|OL+OK+Y	chokaly|choky|okady|okaly|okcheeg|okchey|okchy|okochey|okshy|oky|oloky|qokaldy|qokaly|qokchy|qoky
OK	SETZEN	NONE	NONE	Y	POSTEN	CLOSE	SETZEN · POSTEN · SCHLUSS	ATTESTED_LOCAL	NONE	1	1	1	BIOLOGICAL	1	OK+Y+L+D_ADDR+DY	qokylddy
OK	SETZEN	NONE	NONE	AIIN	WERT	OPEN	SETZEN · WERT	ATTESTED_MULTI_REGISTER	NONE	3	66	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	16	OK+AIIN|OK+O+AIIN|OK+O+D_ADDR+AIIN	chokaiin|okaiin|okalaiin|okodaiin|qokaiin|qokoaiin
OK	SETZEN	NONE	NONE	AIIN	WERT	CLOSE	SETZEN · WERT · SCHLUSS	OPEN_COMBINATION_GAP	NONE	0	0	0	NONE	0	NONE	NONE
OK	SETZEN	NONE	NONE	AIN	ANTEIL	OPEN	SETZEN · ANTEIL	ATTESTED_MULTI_REGISTER	NONE	2	64	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	12	O+OK+AIN|OK+AIN	okain|oqokain|qokain
OK	SETZEN	NONE	NONE	AIN	ANTEIL	CLOSE	SETZEN · ANTEIL · SCHLUSS	OPEN_COMBINATION_GAP	NONE	0	0	0	NONE	0	NONE	NONE
OK	SETZEN	NONE	NONE	OR	EINHEIT	OPEN	SETZEN · EINHEIT	ATTESTED_MULTI_REGISTER	NONE	2	10	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	7	OK+AL+OR+O|OK+OR	cheokeor|chokor|chokshor|okor|qokaloro|qokor
OK	SETZEN	NONE	NONE	OR	EINHEIT	CLOSE	SETZEN · EINHEIT · SCHLUSS	OPEN_COMBINATION_GAP	NONE	0	0	0	NONE	0	NONE	NONE
OK	SETZEN	E	GRAD I	NONE	NONE	OPEN	SETZEN · GRAD I	ATTESTED_MULTI_REGISTER	NONE	9	33	3	BIOLOGICAL|CELESTIAL|PHARMA	12	OK+E+AL|OK+E+AR|OK+E+D_ADDR|OK+E+D_ADDR+AR|OK+E+D_ADDR+OL|OK+E+O|OK+E+O+AL|OK+E+O+AM_ADDR|OK+E+OL	chokeol|okeo|okeol|okeolor|okeom|qokeal|qokear|qoked|qokedar|qokedol|qokeo|qokeodal|qokeol|qokeom
OK	SETZEN	E	GRAD I	NONE	NONE	CLOSE	SETZEN · GRAD I · SCHLUSS	ATTESTED_MULTI_REGISTER	NONE	1	67	3	HERBAL|BIOLOGICAL|PHARMA	9	OK+E+DY	okedy|qokedy
OK	SETZEN	E	GRAD I	Y	POSTEN	OPEN	SETZEN · GRAD I · POSTEN	ATTESTED_MULTI_REGISTER	NONE	4	43	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	13	OK+E+O+D_ADDR+AL+Y|OK+E+O+D_ADDR+Y|OK+E+O+Y|OK+E+Y	okeodaly|okeody|okeoy|okey|qokechy|qokeody|qokeoefy|qokeoy|qokey
OK	SETZEN	E	GRAD I	Y	POSTEN	CLOSE	SETZEN · GRAD I · POSTEN · SCHLUSS	OPEN_COMBINATION_GAP	NONE	0	0	0	NONE	0	NONE	NONE
OK	SETZEN	E	GRAD I	AIIN	WERT	OPEN	SETZEN · GRAD I · WERT	ATTESTED_LOCAL	NONE	1	1	1	CELESTIAL	1	OK+E+OL+AIIN	okeolaiin
OK	SETZEN	E	GRAD I	AIIN	WERT	CLOSE	SETZEN · GRAD I · WERT · SCHLUSS	OPEN_COMBINATION_GAP	NONE	0	0	0	NONE	0	NONE	NONE
OK	SETZEN	E	GRAD I	AIN	ANTEIL	OPEN	SETZEN · GRAD I · ANTEIL	OPEN_COMBINATION_GAP	NONE	0	0	0	NONE	0	NONE	NONE
OK	SETZEN	E	GRAD I	AIN	ANTEIL	CLOSE	SETZEN · GRAD I · ANTEIL · SCHLUSS	OPEN_COMBINATION_GAP	NONE	0	0	0	NONE	0	NONE	NONE
OK	SETZEN	E	GRAD I	OR	EINHEIT	OPEN	SETZEN · GRAD I · EINHEIT	ATTESTED_MULTI_REGISTER	NONE	4	10	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	6	OK+E+D_ADDR+AL+OR|OK+E+D_ADDR+OR|OK+E+OR|OK+O+E+OR	cheokor|okedalor|okedor|okeor|okoeor|qokeor
OK	SETZEN	E	GRAD I	OR	EINHEIT	CLOSE	SETZEN · GRAD I · EINHEIT · SCHLUSS	OPEN_COMBINATION_GAP	NONE	0	0	0	NONE	0	NONE	NONE
