component_recipe	action_head	action_value_de	grade_atoms	argument_atoms	dy_count	relation_atoms	canonical_slot_skeleton	clean_single_slot_recipe	event_count	register_count	registers	page_count	surfaces	portable_reading_de
AL+CHD	CHD	BEARBEITEN	NONE	NONE	0	AL	CHD|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	alched	ZIELORT · BEARBEITEN
AL+CHD+DY	CHD	BEARBEITEN	NONE	NONE	1	AL	CHD|NONE|NONE|CLOSE	YES	5	3	BIOLOGICAL|CELESTIAL|PHARMA	5	alchdy|dalchdy|dalchedy|dalchom	ZIELORT · BEARBEITEN · SCHLUSS
AL+K+AIN	K	GEBEN	NONE	AIN	0	AL	K|NONE|AIN|OPEN	YES	1	1	HERBAL	1	alkain	ZIELORT · GEBEN · ANTEIL
AL+LOCAL_CHAR_F+SH+E+D_ADDR	SH	HALTEN	E	NONE	0	AL	SH|E|NONE|OPEN	YES	1	1	HERBAL	1	alfshed	ZIELORT · HIER · HALTEN · GRAD I · HIER
AL+R+OR	R	MARKIEREN	NONE	OR	0	AL	R|NONE|OR|OPEN	YES	1	1	BIOLOGICAL	1	chealror	ZIELORT · MARKIEREN · EINHEIT
AL+S	S	WÄHLEN	NONE	NONE	0	AL	S|NONE|NONE|OPEN	YES	1	1	PHARMA	1	dals	ZIELORT · WÄHLEN
AL+S+Y	S	WÄHLEN	NONE	Y	0	AL	S|NONE|Y|OPEN	YES	1	1	PHARMA	1	alsy	ZIELORT · WÄHLEN · POSTEN
AL+SH+E+DY	SH	HALTEN	E	NONE	1	AL	SH|E|NONE|CLOSE	YES	2	1	BIOLOGICAL	1	dalshedy	ZIELORT · HALTEN · GRAD I · SCHLUSS
AL+SH+Y	SH	HALTEN	NONE	Y	0	AL	SH|NONE|Y|OPEN	YES	1	1	BIOLOGICAL	1	alshy	ZIELORT · HALTEN · POSTEN
AL+T+E+D_ADDR+Y	T	EINSTELLEN	E	Y	0	AL	T|E|Y|OPEN	YES	1	1	BIOLOGICAL	1	altedy	ZIELORT · EINSTELLEN · GRAD I · HIER · POSTEN
AR+CH+EE+Y	CH	NEHMEN	EE	Y	0	AR	CH|EE|Y|OPEN	YES	2	2	BIOLOGICAL|PHARMA	2	archeey|darchey	AUSGANG · NEHMEN · GRAD II · POSTEN
AR+S+A_ADDR	S	WÄHLEN	NONE	NONE	0	AR	S|NONE|NONE|OPEN	YES	1	1	HERBAL	1	arsa	AUSGANG · WÄHLEN · HIER
A_ADDR+S	S	WÄHLEN	NONE	NONE	0	NONE	S|NONE|NONE|OPEN	YES	4	2	BIOLOGICAL|PHARMA	3	as	HIER · WÄHLEN
A_ADDR+S+E	S	WÄHLEN	E	NONE	0	NONE	S|E|NONE|OPEN	YES	1	1	SOURCE_SECTION_T	1	ase	HIER · WÄHLEN · GRAD I
A_ADDR+T+AIIN	T	EINSTELLEN	NONE	AIIN	0	NONE	T|NONE|AIIN|OPEN	YES	1	1	SOURCE_SECTION_T	1	ataiin	HIER · EINSTELLEN · WERT
A_ADDR+T+EE+Y	T	EINSTELLEN	EE	Y	0	NONE	T|EE|Y|OPEN	YES	1	1	CELESTIAL	1	ateey	HIER · EINSTELLEN · GRAD II · POSTEN
CARRIER_Q+E+K+AIIN	K	GEBEN	E	AIIN	0	NONE	K|E|AIIN|OPEN	YES	1	1	BIOLOGICAL	1	qekaiin	BEGINNMARKER · GRAD I · GEBEN · WERT
CARRIER_Q+E+K+EE+Y	K	GEBEN	E|EE	Y	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	BIOLOGICAL	1	qekeey	BEGINNMARKER · GRAD I · GEBEN · GRAD II · POSTEN
CARRIER_Q+E+T+AL	T	EINSTELLEN	E	NONE	0	AL	T|E|NONE|OPEN	YES	1	1	BIOLOGICAL	1	qetal	BEGINNMARKER · GRAD I · EINSTELLEN · ZIELORT
CARRIER_Q+E+T+IIN	T	EINSTELLEN	E	NONE	0	NONE	T|E|NONE|OPEN	YES	1	1	BIOLOGICAL	1	qeteiiin	BEGINNMARKER · GRAD I · EINSTELLEN · STUFE
CARRIER_Q+E+Y+K+EE+Y	K	GEBEN	E|EE	Y|Y	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	CELESTIAL	1	qeykeey	BEGINNMARKER · GRAD I · POSTEN · GEBEN · GRAD II · POSTEN
