population	ending	arity	eligible	value_single	value_multiple	multiple_pages	identical_multiple	mixed_multiple
ALL	OL	0	7	7	0	0	0	0
ALL	OL	1	30	29	1	1	1	0
ALL	OL	2	5	5	0	0	0	0
ALL	OR	0	1	1	0	0	0	0
ALL	OR	1	9	9	0	0	0	0
ALL	OR	2	4	4	0	0	0	0
EXCLUDE_DISCOVERY_LOCUS	OL	0	7	7	0	0	0	0
EXCLUDE_DISCOVERY_LOCUS	OL	1	30	29	1	1	1	0
EXCLUDE_DISCOVERY_LOCUS	OL	2	5	5	0	0	0	0
EXCLUDE_DISCOVERY_LOCUS	OR	0	1	1	0	0	0	0
EXCLUDE_DISCOVERY_LOCUS	OR	1	9	9	0	0	0	0
EXCLUDE_DISCOVERY_LOCUS	OR	2	4	4	0	0	0	0
EXCLUDE_DISCOVERY_PAGE	OL	0	7	7	0	0	0	0
EXCLUDE_DISCOVERY_PAGE	OL	1	30	29	1	1	1	0
EXCLUDE_DISCOVERY_PAGE	OL	2	5	5	0	0	0	0
EXCLUDE_DISCOVERY_PAGE	OR	0	1	1	0	0	0	0
EXCLUDE_DISCOVERY_PAGE	OR	1	8	8	0	0	0	0
EXCLUDE_DISCOVERY_PAGE	OR	2	4	4	0	0	0	0
