replay_id	source_probe_id	source_surface	synthetic_unseen_surface	content_class	insertion_index	expected_function_mask	observed_function_mask	source_cold_route	observed_route	source_channel_signature	observed_channel_signature	shell_shape	source_ordered_recipe_trace	observed_ordered_recipe_trace	source_recipe_support_tier	observed_recipe_support_tier	source_recipe_support_rank	observed_recipe_support_rank	source_bounded_shell_id	observed_bounded_shell_id	bounded_shell_match	running_event_count	running_page_count	address_full_formula_count	address_hybrid_shell_count	observed_reading_de	signature_stable	recipe_stable	tier_and_rank_stable	shell_id_stable	reading_stable	replay_pass
G470-U001	G466-U001	oteeeon	otexeeon	PICTURED_PLANT	3	11000000	11000000	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	G466-C11	G466-C11	PREFIX	OT	OT	OUTSIDE_BOUNDED_SHELL_ATLAS	OUTSIDE_BOUNDED_SHELL_ATLAS	0	0	NONE	NONE	NO	0	0	0	0	DANACH · [PFLANZENNAME:exeeon]	YES	YES	YES	YES	YES	YES
G470-U002	G466-U002	oiil	oxiil	PICTURED_PLANT	1	00000	00000	WHOLE_LEARNED_OWNER_NAME	WHOLE_LEARNED_OWNER_NAME	NONE	NONE	NONE	NONE	NONE	OUTSIDE_BOUNDED_SHELL_ATLAS	OUTSIDE_BOUNDED_SHELL_ATLAS	0	0	NONE	NONE	NO	0	0	0	0	[PFLANZENNAME:oxiil]	YES	YES	YES	YES	YES	YES
G470-U003	G466-U003	arom	aroxm	STAR_BEARING_RING_POSITION	3	11000	11000	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	G466-C06	G466-C06	PREFIX	AR	AR	OUTSIDE_BOUNDED_SHELL_ATLAS	OUTSIDE_BOUNDED_SHELL_ATLAS	0	0	NONE	NONE	NO	0	0	0	0	AUSGANG · [STERNSTELLENNAME:oxm]	YES	YES	YES	YES	YES	YES
G470-U004	G466-U004	chfaly	cxhfaly	STAR_BEARING_RING_POSITION	1	0000111	0000111	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	G466-C23	G466-C23	SUFFIX	AL+Y	AL+Y	RUNNING_EXACT_RECIPE	RUNNING_EXACT_RECIPE	19	19	NONE	NONE	NO	9	7	0	3	[STERNSTELLENNAME:cxhf] · ZIELORT · POSTEN	YES	YES	YES	YES	YES	YES
G470-U005	G466-U005	otchody	otcxhody	STAR_BEARING_RING_POSITION	3	11000000	11000000	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	G466-C11	G466-C11	PREFIX	OT	OT	OUTSIDE_BOUNDED_SHELL_ATLAS	OUTSIDE_BOUNDED_SHELL_ATLAS	0	0	NONE	NONE	NO	0	0	0	0	DANACH · [STERNSTELLENNAME:cxhody]	YES	YES	YES	YES	YES	YES
G470-U006	G466-U006	opalar	oxpalar	STAR_BEARING_RING_POSITION	1	0001111	0001111	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	G466-C39+G466-C33	G466-C39+G466-C33	INTERNAL+SUFFIX	AL+AR	AL+AR	ADDRESS_HYBRID_SHELL_ONLY	ADDRESS_HYBRID_SHELL_ONLY	97	97	NONE	NONE	NO	0	0	0	1	[STERNSTELLENNAME:oxp] · ZIELORT · AUSGANG	YES	YES	YES	YES	YES	YES
G470-U007	G466-U007	opalor	oxpalor	STAR_BEARING_RING_POSITION	1	0001111	0001111	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	G466-C17	G466-C17	SUFFIX	AL+OR	AL+OR	RUNNING_EXACT_RECIPE	RUNNING_EXACT_RECIPE	31	31	NONE	NONE	NO	3	3	0	1	[STERNSTELLENNAME:oxp] · ZIELORT · EINHEIT	YES	YES	YES	YES	YES	YES
G470-U008	G466-U008	ofaom	ofaxom	STAR_BEARING_RING_POSITION	3	110000	110000	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	G466-C07	G466-C07	PREFIX	O+LOCAL_CHAR_F	O+LOCAL_CHAR_F	OUTSIDE_BOUNDED_SHELL_ATLAS	OUTSIDE_BOUNDED_SHELL_ATLAS	0	0	NONE	NONE	NO	0	0	0	0	AUSFÜHRUNG · HIER · [STERNSTELLENNAME:axom]	YES	YES	YES	YES	YES	YES
G470-U009	G466-U009	otalody	otaloxdy	STAR_BEARING_RING_POSITION	5	11110000	11110000	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	G466-C01	G466-C01	PREFIX	OT+AL	OT+AL	RUNNING_EXACT_RECIPE	RUNNING_EXACT_RECIPE	16	16	NONE	NONE	NO	16	8	0	3	DANACH · ZIELORT · [STERNSTELLENNAME:oxdy]	YES	YES	YES	YES	YES	YES
G470-U010	G466-U010	sholshdy	sholshdxy	STAR_BEARING_RING_POSITION	7	111111000	111111000	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	G466-C12+G466-C42+G466-C44	G466-C12+G466-C42+G466-C44	PREFIX+INTERNAL+INTERNAL	SH+OL+SH	SH+OL+SH	OUTSIDE_BOUNDED_SHELL_ATLAS	OUTSIDE_BOUNDED_SHELL_ATLAS	0	0	NONE	NONE	NO	0	0	0	0	HALTEN · FORTSETZEN · HALTEN · [STERNSTELLENNAME:dxy]	YES	YES	YES	YES	YES	YES
