shell_shape	probe_count	content_class_count	content_class_distribution	running_exact_recipe_count	address_full_formula_only_count	address_hybrid_shell_only_count	composition_only_count	outside_bounded_shell_atlas_count	old_carrier_backed_count	bounded_shell_match_count	all_five_invariants_stable_count	replay_pass_count
INTERNAL	5	3	BATH_OR_OUTLET_STATION:1|DRUG_OR_INGREDIENT_OBJECT:1|STAR_BEARING_RING_POSITION:3	0	0	0	0	5	0	0	5	5
INTERNAL+INTERNAL	4	2	DRUG_OR_INGREDIENT_OBJECT:2|STAR_BEARING_RING_POSITION:2	0	0	1	0	3	1	0	4	4
INTERNAL+INTERNAL+SUFFIX	2	2	DRUG_OR_INGREDIENT_OBJECT:1|STAR_BEARING_RING_POSITION:1	0	0	2	0	0	2	0	2	2
INTERNAL+SUFFIX	8	3	BATH_OR_OUTLET_STATION:1|DRUG_OR_INGREDIENT_OBJECT:2|STAR_BEARING_RING_POSITION:5	3	0	4	0	1	7	0	8	8
NONE	2	2	DRUG_OR_INGREDIENT_OBJECT:1|PICTURED_PLANT:1	0	0	0	0	2	0	0	2	2
PREFIX	17	4	BATH_OR_OUTLET_STATION:2|DRUG_OR_INGREDIENT_OBJECT:5|PICTURED_PLANT:1|STAR_BEARING_RING_POSITION:9	4	0	0	0	13	4	0	17	17
PREFIX+INTERNAL	8	2	DRUG_OR_INGREDIENT_OBJECT:3|STAR_BEARING_RING_POSITION:5	2	0	2	0	4	4	0	8	8
PREFIX+INTERNAL+INTERNAL	2	1	STAR_BEARING_RING_POSITION:2	0	0	1	0	1	1	0	2	2
PREFIX+INTERNAL+SUFFIX	7	2	DRUG_OR_INGREDIENT_OBJECT:1|STAR_BEARING_RING_POSITION:6	1	1	5	0	0	7	7	7	7
PREFIX+SUFFIX	10	2	DRUG_OR_INGREDIENT_OBJECT:4|STAR_BEARING_RING_POSITION:6	9	0	1	0	0	10	10	10	10
SUFFIX	24	3	BATH_OR_OUTLET_STATION:1|DRUG_OR_INGREDIENT_OBJECT:10|STAR_BEARING_RING_POSITION:13	6	0	0	0	18	6	0	24	24
