unit_id	record_id	page	surface_sequence	minimal_dictionary_reading	owner_augmented_reading	neutral_source_formular	medical_master_expansion	nonmedical_master_expansion	card_or_owner_changed_between_master_expansions
H3-S001	H3	f11r	tshol schoal cfhy shfydaiin cphy shey tchody	Zutat entnehmen; Zutat an die Arbeitsstelle geben; auswringen + dies; halten + Sollwert; nachseihen + dies; klarer Auszug; Eingangsposten beiseitestellen; Schluss	Bei der ganzen dicht blau bekrönten Bildpflanze: Zutat entnehmen; Zutat an die Arbeitsstelle geben; auswringen + dies; halten + Sollwert; nachseihen + dies; klarer Auszug; Eingangsposten beiseitestellen; Schluss.	Setze die gelernte Fachkarte: Zutat entnehmen. Setze die gelernte Fachkarte: Zutat an die Arbeitsstelle geben. Führe es mit diesem laufenden Posten aus: aktuellen Posten auswringen. Führe es in der angegebenen Portion oder Stufe aus: Standmaß. Führe es mit diesem laufenden Posten aus: aktuellen Posten nachseihen. Setze die gelernte Fachkarte: klarer Auszug. Setze die gelernte Fachkarte: Eingangsposten beiseitestellen; Schluss.	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze. Koche sie in reinem Wein. Wring den Ansatz durch ein feines Tuch. Lass den Auszug stehen. Seihe ihn nochmals durch ein Tuch. Warte, bis der örtlich verlangte klare Zustand erreicht ist. Lass ihn abkühlen; damit endet der erste Posten.	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze. Koche sie in reinem Wein. Wring den Ansatz durch ein feines Tuch. Lass den Auszug stehen. Seihe ihn nochmals durch ein Tuch. Warte, bis der örtlich verlangte klare Zustand erreicht ist. Lass ihn abkühlen; damit endet der erste Posten.	NO
H3-S002	H3	f11r	shoyty	Zutatenteil	Bei der ganzen dicht blau bekrönten Bildpflanze: Zutatenteil.	Setze die gelernte Fachkarte: Zutatenteil.	Behalte einen Teil der frischen Blüten für eine zweite Arznei zurück.	Behalte einen Teil der frischen Blüten für eine zweite Werkstoffansatz zurück.	NO
H3-S003	H3	f11r	dchol chy kchy dy daiin	vorher + weiter; dies; bearbeiten + dies; dies; Sollwert	Bei der ganzen dicht blau bekrönten Bildpflanze: vorher + weiter; dies; bearbeiten + dies; dies; Sollwert.	Danach oder in demselben Gang: vorigen Posten fortsetzen. Nimm diesen Posten wieder auf: dieser Posten. Führe es mit diesem laufenden Posten aus: diesen Posten bearbeiten. Nimm diesen Posten wieder auf: dieser Posten. Setze Maß, Portion oder Stufe: Sollmaß.	Nimm den ersten Auszug wieder auf. Nimm davon einen Anteil. Gib ihn als Trank. Gebrauche ihn bei bedrücktem Gemüt und beschwerter Brust. Gib ein kleines örtliches Maß.	Nimm den ersten Auszug wieder auf. Nimm davon einen Anteil. Gib ihn als Auszugsportion. Gebrauche ihn bei Farb-, Duft- oder Materialgebrauch. Gib ein kleines örtliches Maß.	NO
H3-S004	H3	f11r	qotchy okchol cthy dy	danach + dies; ansetzen + weiter; bereit + dies; dies	Bei der ganzen dicht blau bekrönten Bildpflanze: danach + dies; ansetzen + weiter; bereit + dies; dies.	Danach oder in demselben Gang: anschließender Arbeitsposten. Danach oder in demselben Gang: weiterlaufenden Posten aufnehmen. Führe es mit diesem laufenden Posten aus: bereit. Nimm diesen Posten wieder auf: dieser Posten.	Nimm die zurückbehaltenen Blüten. Erwärme sie in Olivenöl. Warte, bis der örtliche Bereitschaftszustand erreicht ist. Streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren.	Nimm die zurückbehaltenen Blüten. Erwärme sie in Bindemittel. Warte, bis der örtliche Bereitschaftszustand erreicht ist. Streiche das Öl am Werkstück am bezeichneten Rand des Werkstücks.	NO
B2-S001	B2	f82r	dchedy	umsetzen + Ende	Bei den oberen Paarbecken mit Zylinder: umsetzen + Ende.	Führe die Handlung aus; schließe nur bei Endkarte: Posten überführen; Schluss.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	NO
B2-S002	B2	f82r	qolchedy	weiter + umsetzen + Ende	Bei den oberen Paarbecken mit Zylinder: weiter + umsetzen + Ende.	Danach oder in demselben Gang: weiterüberführen; Schluss.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt.	NO
B2-S003	B2	f82r	qokain dy qokeedy	ansetzen + Anteil; dies; ansetzen + länger + Ende	Bei den oberen Paarbecken mit Zylinder: ansetzen + Anteil; dies; ansetzen + länger + Ende.	Führe es in der angegebenen Portion oder Stufe aus: eine Portion zugeben. Nimm diesen Posten wieder auf: dieser Posten. Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Gib einen abgemessenen Anteil in das Gefäß. Diese aktive Portion. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Gib einen abgemessenen Anteil in das Gefäß. Diese aktive Portion. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	NO
B2-S004	B2	f82r	qokal lcheckhy lched qokeey lcheckhedy	ansetzen + Ziel; Ausgangsdurchlass; abführen; ansetzen + länger + dies; abseihen; Schluss	Bei den oberen Paarbecken mit Zylinder: ansetzen + Ziel; Ausgangsdurchlass; abführen; ansetzen + länger + dies; abseihen; Schluss.	Führe es an der bezeichneten Stelle aus: dort ansetzen. Setze die gelernte Fachkarte: Ausgangsdurchlass. Setze die gelernte Fachkarte: abführen. Führe aus und beachte Dauer oder Endpunkt: länger ansetzen. Setze die gelernte Fachkarte: abseihen; Schluss.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die zweite Öffnung. Und gehe zum nächsten Becken weiter. Die Charge für den vorgesehenen Gebrauch temperieren. Seihe es klar und beende den Schritt.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die zweite Öffnung. Und gehe zum nächsten Becken weiter. Die Charge für den vorgesehenen Gebrauch temperieren. Seihe es klar und beende den Schritt.	NO
B2-S005	B2	f82r	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	ansetzen + Ziel + dies; sammeln + Sollwert; Durchlass + dies; ansetzen + Sollwert; ansetzen + Sollwert; bereit + weiter; wärmen + länger + dies; abziehen; Ende	Bei den oberen Paarbecken mit Zylinder: ansetzen + Ziel + dies; sammeln + Sollwert; Durchlass + dies; ansetzen + Sollwert; ansetzen + Sollwert; bereit + weiter; wärmen + länger + dies; abziehen; Ende.	Führe es an der bezeichneten Stelle aus: dies dort ansetzen. Führe es in der angegebenen Portion oder Stufe aus: bis Sollmass sammeln. Führe es mit diesem laufenden Posten aus: durchleiten. Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen. Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen. Danach oder in demselben Gang: bereitgestellten Gang fortsetzen. Führe aus und beachte Dauer oder Endpunkt: diesen Posten länger warm halten. Setze die gelernte Fachkarte: abziehen; Ende.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Fahre am zweiten Lauf fort. Durch ein Tuch. Durch die verbundenen Läufe. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Unter derselben Einstellung. Das breite Gefäß. Ziehe es ab und beende den Schritt.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Fahre am zweiten Lauf fort. Durch ein Tuch. Durch die verbundenen Läufe. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Unter derselben Einstellung. Das breite Gefäß. Ziehe es ab und beende den Schritt.	NO
B2-S006	B2	f82r	oteey qokal sheckhy qoky	danach + länger + dies; ansetzen + Ziel; Durchlass + kurz + dies; ansetzen + dies	Bei den oberen Paarbecken mit Zylinder: danach + länger + dies; ansetzen + Ziel; Durchlass + kurz + dies; ansetzen + dies.	Danach oder in demselben Gang: langer Folgeposten. Führe es an der bezeichneten Stelle aus: dort ansetzen. Führe aus und beachte Dauer oder Endpunkt: kurz durchleiten. Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Der vorbereitete Bade- oder Waschzusatz. Den aktiven Posten an der örtlich bezeichneten Station führen. Über der örtlich bezeichneten Stelle. Die Badeflüssigkeit am bezeichneten Körper- oder Teilbadbereich gebrauchen.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Der vorbereitete Wasch- oder Färbezusatz. Den aktiven Posten an der örtlich bezeichneten Station führen. Über der örtlich bezeichneten Stelle. Die Arbeitsflüssigkeit am bezeichneten Wasch- oder Teilbadbereich gebrauchen.	NO
