formula_card_id	lesson	variant_rank	is_primary_training_form	surface	component_recipe	spoken_value_de	events	renderer_or_context	apprentice_prompt_de
F001	7	1	YES	chedy	CHD+Y	DIESEN POSTEN UMSETZEN	43	PRIMARY_FORM	Erkenne chedy als F001; sprich: DIESEN POSTEN UMSETZEN.
F001	7	2	NO	chdy	CHD+Y	DIESEN POSTEN UMSETZEN	8	POSITION_OR_HAND_VARIANT	Erkenne chdy als F001; sprich: DIESEN POSTEN UMSETZEN.
F001	7	3	NO	chedchy	CHD+Y	DIESEN POSTEN UMSETZEN	1	POSITION_OR_HAND_VARIANT	Erkenne chedchy als F001; sprich: DIESEN POSTEN UMSETZEN.
F002	7	1	YES	shedy	SHED+DY	ABSETZEN; ENDE	46	PRIMARY_FORM	Erkenne shedy als F002; sprich: ABSETZEN; ENDE.
F003	7	1	YES	qokedy	OK+E+DY	KURZ ANSETZEN; ENDE	38	PRIMARY_FORM	Erkenne qokedy als F003; sprich: KURZ ANSETZEN; ENDE.
F003	7	2	NO	okedy	OK+E+DY	KURZ ANSETZEN; ENDE	7	POSITION_OR_HAND_VARIANT	Erkenne okedy als F003; sprich: KURZ ANSETZEN; ENDE.
F004	7	1	YES	qokeedy	OK+EE+DY	LAENGER ANSETZEN; ENDE	38	PRIMARY_FORM	Erkenne qokeedy als F004; sprich: LAENGER ANSETZEN; ENDE.
F004	7	2	NO	okeedy	OK+EE+DY	LAENGER ANSETZEN; ENDE	7	POSITION_OR_HAND_VARIANT	Erkenne okeedy als F004; sprich: LAENGER ANSETZEN; ENDE.
F005	7	1	YES	qoky	OK+Y	DIESEN POSTEN ANSETZEN	21	PRIMARY_FORM	Erkenne qoky als F005; sprich: DIESEN POSTEN ANSETZEN.
F005	7	2	NO	oky	OK+Y	DIESEN POSTEN ANSETZEN	9	POSITION_OR_HAND_VARIANT	Erkenne oky als F005; sprich: DIESEN POSTEN ANSETZEN.
F005	7	3	NO	qokchy	OK+Y	DIESEN POSTEN ANSETZEN	4	POSITION_OR_HAND_VARIANT	Erkenne qokchy als F005; sprich: DIESEN POSTEN ANSETZEN.
F005	7	4	NO	choky	OK+Y	DIESEN POSTEN ANSETZEN	3	POSITION_OR_HAND_VARIANT	Erkenne choky als F005; sprich: DIESEN POSTEN ANSETZEN.
F005	7	5	NO	okchy	OK+Y	DIESEN POSTEN ANSETZEN	3	POSITION_OR_HAND_VARIANT	Erkenne okchy als F005; sprich: DIESEN POSTEN ANSETZEN.
F005	7	6	NO	okchey	OK+Y	DIESEN POSTEN ANSETZEN	1	POSITION_OR_HAND_VARIANT	Erkenne okchey als F005; sprich: DIESEN POSTEN ANSETZEN.
F006	7	1	YES	qokain	OK+AIN	EINE PORTION ANSETZEN	30	PRIMARY_FORM	Erkenne qokain als F006; sprich: EINE PORTION ANSETZEN.
F006	7	2	NO	okain	OK+AIN	EINE PORTION ANSETZEN	6	POSITION_OR_HAND_VARIANT	Erkenne okain als F006; sprich: EINE PORTION ANSETZEN.
