lesson	title_de	entries	entry_ids	instruction_de	exercise_de	pass_condition_de
1	Bildbesitzer und Adresse	11	R001|R011|R027|R030|R031|R035|R048|R049|R051|R052|R056	Zeige erst Pflanze, Becken, Figur, Ring oder Sternort; dann setze DIES, TEIL, ORT, INNEN oder AUSSEN.	Meister zeigt drei Besitzer; Lehrling setzt je zwei neue Stammkombinationen und liest sie rückwärts.	Fünf fehlerfreie Hin- und Rücklesungen nacheinander.
2	Reihe, Auswahl und Fortsetzung	12	R006|R008|R016|R022|R029|R039|R043|R045|R046|R050|R054|R055	Lies AUSWÄHLEN, MARKIEREN, FORTSETZEN, DANACH und die kleinen lokalen Klassenzeichen.	Meister zeigt drei Besitzer; Lehrling setzt je zwei neue Stammkombinationen und liest sie rückwärts.	Fünf fehlerfreie Hin- und Rücklesungen nacheinander.
3	Menge, Quelle und Ziel	5	R009|R013|R015|R021|R034	Binde SOLLMASS, PORTION, STUFE, QUELLE und ZIEL an den aktiven Posten.	Meister zeigt drei Besitzer; Lehrling setzt je zwei neue Stammkombinationen und liest sie rückwärts.	Fünf fehlerfreie Hin- und Rücklesungen nacheinander.
4	Werkstatthandlungen	11	R002|R005|R010|R012|R014|R017|R020|R023|R024|R025|R033	Übe ANSETZEN, AUSFÜHREN, ENTNEHMEN, UMSETZEN, ZUGEBEN, HALTEN, BEHANDELN und ABSETZEN.	Meister zeigt drei Besitzer; Lehrling setzt je zwei neue Stammkombinationen und liest sie rückwärts.	Fünf fehlerfreie Hin- und Rücklesungen nacheinander.
5	Grad und Abschluss	4	R003|R004|R007|R037	KURZ, LÄNGER und VOLL verändern den Arbeitsgang; nur die lizenzierte Endkarte SCHLIESSEN beendet ihn.	Meister zeigt drei Besitzer; Lehrling setzt je zwei neue Stammkombinationen und liest sie rückwärts.	Fünf fehlerfreie Hin- und Rücklesungen nacheinander.
6	Stoff- und Wegkarten	13	R018|R019|R026|R028|R032|R036|R038|R040|R041|R042|R044|R047|R053	Leite Ansatz und Auszug über Lauf, Durchlass und Ziel; spüle, trenne, fange auf oder befestige.	Meister zeigt drei Besitzer; Lehrling setzt je zwei neue Stammkombinationen und liest sie rückwärts.	Fünf fehlerfreie Hin- und Rücklesungen nacheinander.
7	Häufige Ganzkarten F001–F017	17	F001|F002|F003|F004|F005|F006|F007|F008|F009|F010|F011|F012|F013|F014|F015|F016|F017	Lerne die häufigsten Karten als feste Wendungen; zerlege sie nur als Gedächtnishilfe.	Meister zeigt fünf Rendererformen; Lehrling nennt Karten-ID und kurze Wendung ohne Buchstabieren.	Fünf fehlerfreie Hin- und Rücklesungen nacheinander.
8	Ganzkarten F018–F034	17	F018|F019|F020|F021|F022|F023|F024|F025|F026|F027|F028|F029|F030|F031|F032|F033|F034	Lerne Fortsetzungs-, Quellen-, Ziel- und Zustandskarten samt ihrer Rendererformen.	Meister zeigt fünf Rendererformen; Lehrling nennt Karten-ID und kurze Wendung ohne Buchstabieren.	Fünf fehlerfreie Hin- und Rücklesungen nacheinander.
9	Ganzkarten F035–F050	16	F035|F036|F037|F038|F039|F040|F041|F042|F043|F044|F045|F046|F047|F048|F049|F050	Lerne die mittleren Transfer-, Halte-, Spül- und Auffangkarten.	Meister zeigt fünf Rendererformen; Lehrling nennt Karten-ID und kurze Wendung ohne Buchstabieren.	Fünf fehlerfreie Hin- und Rücklesungen nacheinander.
10	Ganzkarten F051–F066 und lokale Karten	16	F051|F052|F053|F054|F055|F056|F057|F058|F059|F060|F061|F062|F063|F064|F065|F066	Lerne die langen Karten; kopiere Bildnamen und Sonderadressen aus dem Meisterexemplar.	Meister zeigt fünf Rendererformen; Lehrling nennt Karten-ID und kurze Wendung ohne Buchstabieren.	Fünf fehlerfreie Hin- und Rücklesungen nacheinander.
