root	current_short_value_de	herbal_group_occurrences	bio_group_occurrences	herbal_units	bio_units	register_bias	semantic_cue_class	most_common_source_slots	body_or_patient_specific	medical_vs_nonmedical_discriminator
AIIN	sollwert	14	25	12	18	SHARED	GENERAL_CONTROL_OR_PARAMETER	QUANTITY_OR_STAGE:20 | ACTION>QUANTITY_OR_STAGE:13 | ORDER>QUANTITY_OR_STAGE:3 | LEARNED_OR_LOCAL_BODY>QUANTITY_OR_STAGE:1	NO	NONE__COMPATIBLE_WITH_BOTH
AIN	portion	3	13	2	10	BIO_BIASED	GENERAL_CONTROL_OR_PARAMETER	ACTION>QUANTITY_OR_STAGE:8 | QUANTITY_OR_STAGE:3 | QUANTITY_OR_STAGE>REFERENT:2 | ORDER>QUANTITY_OR_STAGE:2	NO	NONE__COMPATIBLE_WITH_BOTH
IIN	stufe	1	3	1	3	BIO_BIASED	GENERAL_CONTROL_OR_PARAMETER	QUANTITY_OR_STAGE:4	NO	NONE__COMPATIBLE_WITH_BOTH
AL	ziel	6	34	5	24	BIO_BIASED	GENERAL_CONTROL_OR_PARAMETER	TARGET:12 | ACTION>TARGET:11 | ACTION>TARGET>GRADE:3 | ORDER>TARGET:3	NO	NONE__COMPATIBLE_WITH_BOTH
AR	quelle	4	10	4	10	BIO_BIASED	GENERAL_CONTROL_OR_PARAMETER	SOURCE_OR_PREPARATION:7 | ACTION>SOURCE_OR_PREPARATION:3 | ORDER>SOURCE_OR_PREPARATION:1 | LEARNED_OR_LOCAL_BODY>SOURCE_OR_PREPARATION:1	NO	NONE__COMPATIBLE_WITH_BOTH
AIR	Lauf/Bahn	1	4	1	4	BIO_BIASED	PROCESS_OR_STATION	SOURCE_OR_PREPARATION:3 | ACTION>SOURCE_OR_PREPARATION:1 | SOURCE_OR_PREPARATION>REFERENT>CLOSE:1	NO	NONE__COMPATIBLE_WITH_BOTH
OK	ansetzen	12	69	10	50	BIO_BIASED	GENERAL_CONTROL_OR_PARAMETER	ACTION>GRADE>CLOSE:19 | ACTION>QUANTITY_OR_STAGE:16 | ACTION>REFERENT:15 | ACTION>GRADE>REFERENT:10	NO	NONE__COMPATIBLE_WITH_BOTH
OL	fortsetzen	15	33	11	22	SHARED	GENERAL_CONTROL_OR_PARAMETER	ORDER:25 | ORDER>ACTION:4 | ORDER>ACTION>CLOSE:4 | ORDER>QUANTITY_OR_STAGE:3	NO	NONE__COMPATIBLE_WITH_BOTH
OT	folgend	8	18	7	15	SHARED	GENERAL_CONTROL_OR_PARAMETER	ORDER>QUANTITY_OR_STAGE:4 | ORDER>GRADE>CLOSE:4 | ORDER>SOURCE_OR_PREPARATION:3 | ORDER>REFERENT:3	NO	NONE__COMPATIBLE_WITH_BOTH
OR	Ansatz	13	4	6	4	HERBAL_BIASED	MATERIAL_OR_PREPARATION	SOURCE_OR_PREPARATION:7 | ORDER>SOURCE_OR_PREPARATION:4 | ACTION>SOURCE_OR_PREPARATION:1 | SOURCE_OR_PREPARATION>REFERENT:1	NO	NONE__COMPATIBLE_WITH_BOTH
Y	dieser Posten	38	73	18	40	SHARED	GENERAL_CONTROL_OR_PARAMETER	ACTION>REFERENT:41 | ACTION>GRADE>REFERENT:25 | REFERENT:18 | LEARNED_OR_LOCAL_BODY>REFERENT:4	NO	NONE__COMPATIBLE_WITH_BOTH
E	kurz	3	42	3	38	BIO_BIASED	GENERAL_CONTROL_OR_PARAMETER	ACTION>GRADE>CLOSE:21 | ACTION>GRADE>REFERENT:13 | ORDER>GRADE:2 | ACTION>TARGET>GRADE:2	NO	NONE__COMPATIBLE_WITH_BOTH
EE	laenger	2	32	2	31	BIO_BIASED	GENERAL_CONTROL_OR_PARAMETER	ACTION>GRADE>CLOSE:15 | ACTION>GRADE>REFERENT:12 | ORDER>GRADE>REFERENT:2 | ORDER>GRADE>CLOSE:2	NO	NONE__COMPATIBLE_WITH_BOTH
EEE	voll	0	2	0	2	BIO_ONLY	GENERAL_CONTROL_OR_PARAMETER	ACTION>GRADE>CLOSE:1 | QUANTITY_OR_STAGE>GRADE:1	NO	NONE__COMPATIBLE_WITH_BOTH
CLOSE	schluss	3	84	3	84	BIO_BIASED	GENERAL_CONTROL_OR_PARAMETER	ACTION>GRADE>CLOSE:37 | ACTION>CLOSE:18 | LEARNED_OR_LOCAL_BODY>ACTION>CLOSE:11 | ORDER>ACTION>CLOSE:7	NO	NONE__COMPATIBLE_WITH_BOTH
CHD	umsetzen	1	47	1	40	BIO_BIASED	PROCESS_OR_STATION	ACTION>REFERENT:13 | ACTION>CLOSE:11 | LEARNED_OR_LOCAL_BODY>ACTION>CLOSE:10 | ORDER>ACTION>CLOSE:6	NO	NONE__COMPATIBLE_WITH_BOTH
CTH	bereit	7	9	5	7	SHARED	GENERAL_CONTROL_OR_PARAMETER	ACTION>REFERENT:8 | ACTION>GRADE>REFERENT:3 | ORDER>ACTION>REFERENT:2 | ACTION>SOURCE_OR_PREPARATION:1	NO	NONE__COMPATIBLE_WITH_BOTH
CKH	durchlauf	1	9	1	8	BIO_BIASED	PROCESS_OR_STATION	ACTION>REFERENT:4 | ACTION>GRADE>REFERENT:2 | LEARNED_OR_LOCAL_BODY>ACTION>GRADE>CLOSE:1 | ACTION>TARGET>GRADE:1	NO	NONE__COMPATIBLE_WITH_BOTH
CKHE	trennen	0	4	0	4	BIO_ONLY	PROCESS_OR_STATION	ACTION>CLOSE:3 | LEARNED_OR_LOCAL_BODY>ACTION>CLOSE:1	NO	NONE__COMPATIBLE_WITH_BOTH
CHK	waermen	1	6	1	6	BIO_BIASED	PROCESS_OR_STATION	ACTION>GRADE>REFERENT:6 | ACTION>GRADE>CLOSE:1	NO	NONE__COMPATIBLE_WITH_BOTH
SHED	absetzen	0	19	0	19	BIO_ONLY	PROCESS_OR_STATION	ACTION>GRADE>CLOSE:14 | ACTION>TARGET:2 | ORDER>ACTION>CLOSE:1 | ACTION>CLOSE:1	NO	NONE__COMPATIBLE_WITH_BOTH
SOLK	sammeln	0	6	0	6	BIO_ONLY	PROCESS_OR_STATION	ACTION>GRADE>CLOSE:3 | ACTION>GRADE>REFERENT:2 | ACTION>QUANTITY_OR_STAGE:1	NO	NONE__COMPATIBLE_WITH_BOTH
HO	eingangsposten	13	0	7	0	HERBAL_ONLY	MATERIAL_OR_PREPARATION	LEARNED_OR_LOCAL_BODY:5 | LEARNED_OR_LOCAL_BODY>QUANTITY_OR_STAGE:1 | LEARNED_OR_LOCAL_BODY>TARGET:1 | LEARNED_OR_LOCAL_BODY>CLOSE:1	NO	NONE__COMPATIBLE_WITH_BOTH
CHEO	Auszug	4	0	4	0	HERBAL_ONLY	MATERIAL_OR_PREPARATION	SOURCE_OR_PREPARATION:2 | SOURCE_OR_PREPARATION>REFERENT:1 | ACTION>SOURCE_OR_PREPARATION:1	NO	NONE__COMPATIBLE_WITH_BOTH
KCH	bearbeiten	5	2	5	2	HERBAL_BIASED	MATERIAL_OR_PREPARATION	ACTION>GRADE>REFERENT:2 | ACTION>SOURCE_OR_PREPARATION>REFERENT:1 | ACTION>REFERENT:1 | ORDER>ACTION:1	NO	NONE__COMPATIBLE_WITH_BOTH
TY	teil	4	3	2	3	SHARED	MATERIAL_OR_PREPARATION	ACTION>QUANTITY_OR_STAGE:2 | QUANTITY_OR_STAGE>GRADE:2 | ORDER>QUANTITY_OR_STAGE:1 | LEARNED_OR_LOCAL_BODY>QUANTITY_OR_STAGE>REFERENT:1	NO	NONE__COMPATIBLE_WITH_BOTH
SH	halten	2	4	2	4	SHARED	GENERAL_CONTROL_OR_PARAMETER	ACTION>QUANTITY_OR_STAGE:1 | ACTION:1 | ACTION>CLOSE:1 | ORDER>ACTION>GRADE:1	NO	NONE__COMPATIBLE_WITH_BOTH
CHEEY	sichtbares Ergebnis	1	5	1	4	BIO_BIASED	PROCESS_OR_STATION	LEARNED_OR_LOCAL_BODY:6	NO	NONE__COMPATIBLE_WITH_BOTH
