source_group_id	unit_id	page	visible_surface	atom_sequence	card_reading_de	semantic_cue_classes	explicit_body_or_patient_noun	domain_decision_from_card_alone	owner_or_master_required
E001	H1-S001	f10r	dchey	DCHE+Y	Wurzel als aktueller Posten	GENERAL_CONTROL_OR_PARAMETER	NO	NONE	YES
E002	H1-S001	f10r	cthoor	CTH+OR	Ansatz bereit	MATERIAL_OR_PREPARATION	NO	NONE	YES
E003	H1-S001	f10r	char	AR	aus dem Ansatz	GENERAL_CONTROL_OR_PARAMETER	NO	NONE	YES
E004	H1-S001	f10r	chty	PARTITION+TY	Teil abtrennen	MATERIAL_OR_PREPARATION	NO	NONE	YES
E005	H1-S001	f10r	os	OS	Mischgefäß	GENERAL_CONTROL_OR_PARAMETER	NO	NONE	YES
E006	H1-S001	f10r	chair	AIR	Wasserzulauf	PROCESS_OR_STATION	NO	NONE	YES
E007	H1-S001	f10r	otytchol	OT+TY+OL	naechsten Teilposten weiterfuehren	MATERIAL_OR_PREPARATION	NO	NONE	YES
E008	H1-S001	f10r	oky	OK+Y	aktuellen Posten ansetzen	GENERAL_CONTROL_OR_PARAMETER	NO	NONE	YES
E009	H1-S001	f10r	daiin	AIIN	Sollmaß	GENERAL_CONTROL_OR_PARAMETER	NO	NONE	YES
E010	H1-S001	f10r	etyd	E+TY	kleiner Restteil	MATERIAL_OR_PREPARATION	NO	NONE	YES
E011	H1-S002	f10r	qokchy	OK+Y	Posten zur Weiterbearbeitung ansetzen	GENERAL_CONTROL_OR_PARAMETER	NO	NONE	YES
E012	H1-S002	f10r	qotchol	OT+OL	danach weiterfuehren	GENERAL_CONTROL_OR_PARAMETER	NO	NONE	YES
E013	H1-S002	f10r	chol	OL	fortsetzen	GENERAL_CONTROL_OR_PARAMETER	NO	NONE	YES
E014	H1-S002	f10r	cthy	CTH+Y	bereit	GENERAL_CONTROL_OR_PARAMETER	NO	NONE	YES
E015	H2-S001	f10r	ycheor	Y+CHEO+OR	Auszugsansatz	MATERIAL_OR_PREPARATION	NO	NONE	YES
E016	H2-S001	f10r	cthy	CTH+Y	bereit	GENERAL_CONTROL_OR_PARAMETER	NO	NONE	YES
E017	H2-S001	f10r	chor	OR	Ansatz	MATERIAL_OR_PREPARATION	NO	NONE	YES
E018	H2-S001	f10r	cthaiin	CTH+AIIN	Fertigmaß	GENERAL_CONTROL_OR_PARAMETER	NO	NONE	YES
E019	H2-S001	f10r	qoctholy	CTH+OL+Y	bereiten Posten weiterfuehren	GENERAL_CONTROL_OR_PARAMETER	NO	NONE	YES
E020	H2-S001	f10r	dy	Y	dieser Posten	GENERAL_CONTROL_OR_PARAMETER	NO	NONE	YES
E021	H2-S001	f10r	chy	Y	dieser Posten	GENERAL_CONTROL_OR_PARAMETER	NO	NONE	YES
E022	H2-S001	f10r	taiin	AIIN	Sollmaß	GENERAL_CONTROL_OR_PARAMETER	NO	NONE	YES
