source_group_id	unit_id	page	visible_surface	learned_body	short_card_reading_de	cue_class	explicit_body_or_patient_noun	medical_vs_nonmedical_discriminator
E001	H1-S001	f10r	dchey	DCHE	Wurzel als aktueller Posten	PLANT_MATERIAL	NO	NONE
E005	H1-S001	f10r	os	OS	Mischgefäß	APPARATUS_OR_PROCESS	NO	NONE
E038	H2-S003	f10r	chodaiin	HO	Zutatenmaß	PLANT_MATERIAL	NO	NONE
E039	H3-S001	f11r	tshol	HO+L	Zutat entnehmen	PLANT_MATERIAL	NO	NONE
E040	H3-S001	f11r	schoal	HO	Zutat an die Arbeitsstelle geben	PLANT_MATERIAL	NO	NONE
E044	H3-S001	f11r	shey	CHEEY	klarer Auszug	APPARATUS_OR_PROCESS	NO	NONE
E045	H3-S001	f11r	tchody	HO	Eingangsposten beiseitestellen; Schluss	GENERAL_WORKSHOP_VALUE	NO	NONE
E046	H3-S002	f11r	shoyty	HO	Zutatenteil	PLANT_MATERIAL	NO	NONE
E060	H4-S001	f55v	ody	ODY	kühlen	GENERAL_WORKSHOP_VALUE	NO	NONE
E063	H4-S002	f55v	talam	AM	am Ziel verwahren	GENERAL_WORKSHOP_VALUE	NO	NONE
E074	H5-S001	f56r	chochor	HO	Zutatenansatz	PLANT_MATERIAL	NO	NONE
E075	H5-S001	f56r	cho	HO	Eingangsposten oder Zutat	PLANT_MATERIAL	NO	NONE
E076	H5-S001	f56r	chodaly	HO	diese Zutat zur Stelle bringen	PLANT_MATERIAL	NO	NONE
E078	H5-S001	f56r	sho	HO	Zutat	PLANT_MATERIAL	NO	NONE
E084	H5-S002	f56r	choy	HO	diese Zutat	PLANT_MATERIAL	NO	NONE
E086	H5-S002	f56r	cheeckhody	HO	länger auftragen; Schluss	CONTACT_APPLICATION_AMBIGUOUS	NO	NONE
E088	H5-S003	f56r	cho	HO	Eingangsposten oder Zutat	PLANT_MATERIAL	NO	NONE
E094	H5-S005	f56r	sho	HO	Zutat	PLANT_MATERIAL	NO	NONE
E112	B1-S002	f81v	dl	LOCAL_WHOLE	Zusatz	APPARATUS_OR_PROCESS	NO	NONE
E129	B1-S006	f81v	dl	LOCAL_WHOLE	Zusatz	APPARATUS_OR_PROCESS	NO	NONE
E141	B1-S012	f81v	lsho	START	Waschgang beginnen	GENERAL_WORKSHOP_VALUE	NO	NONE
E147	B1-S014	f81v	lchedal	L	zur Ablaufstelle führen	GENERAL_WORKSHOP_VALUE	NO	NONE
E159	B1-S018	f81v	ly	L	aktuellen Posten abführen	APPARATUS_OR_PROCESS	NO	NONE
E173	B2-S004	f82r	lcheckhy	L	Ausgangsdurchlass	APPARATUS_OR_PROCESS	NO	NONE
E174	B2-S004	f82r	lched	L	abführen	APPARATUS_OR_PROCESS	NO	NONE
E176	B2-S004	f82r	lcheckhedy	L	abseihen; Schluss	APPARATUS_OR_PROCESS	NO	NONE
E184	B2-S005	f82r	ldy	L	abziehen; Ende	APPARATUS_OR_PROCESS	NO	NONE
E196	B2-S010	f82r	ls	L	Durchlassöffnung	APPARATUS_OR_PROCESS	NO	NONE
E197	B2-S010	f82r	cheey	CHEEY	klarer Auszug	APPARATUS_OR_PROCESS	NO	NONE
E202	B2-S012	f82r	lchy	L	abziehen	APPARATUS_OR_PROCESS	NO	NONE
E203	B2-S012	f82r	cheey	CHEEY	klarer Auszug	APPARATUS_OR_PROCESS	NO	NONE
E206	B2-S012	f82r	lcheey	L+CHEEY	Klarlauf abfuehren	APPARATUS_OR_PROCESS	NO	NONE
E210	B2-S013	f82r	lchedy	L	abführen; Schluss	APPARATUS_OR_PROCESS	NO	NONE
E211	B2-S014	f82r	lar	L	von dort abfuehren	GENERAL_WORKSHOP_VALUE	NO	NONE
E212	B2-S015	f82r	tshey	CHEEY	Klarlauf zugeben	APPARATUS_OR_PROCESS	NO	NONE
E215	B2-S016	f82r	lchedar	L	von dort abführen	APPARATUS_OR_PROCESS	NO	NONE
E221	B2-S016	f82r	pchedy	P	einführen; Schluss	GENERAL_WORKSHOP_VALUE	NO	NONE
E228	B2-S022	f82r	lochedy	L	Rest abfuehren; Schluss	GENERAL_WORKSHOP_VALUE	NO	NONE
E235	B3-S003	f83r	lchedy	L	abführen; Schluss	APPARATUS_OR_PROCESS	NO	NONE
E246	B3-S008	f83r	lchedy	L	abführen; Schluss	APPARATUS_OR_PROCESS	NO	NONE
E248	B3-S010	f83r	pchedal	P	Einlass	APPARATUS_OR_PROCESS	NO	NONE
E262	B3-S015	f83r	lchedy	L	abführen; Schluss	APPARATUS_OR_PROCESS	NO	NONE
E263	B3-S016	f83r	lo	L	abfuehren	GENERAL_WORKSHOP_VALUE	NO	NONE
E269	B3-S020	f83r	lchedy	L	abführen; Schluss	APPARATUS_OR_PROCESS	NO	NONE
E282	B3-S023	f83r	lchedy	L	abführen; Schluss	APPARATUS_OR_PROCESS	NO	NONE
E308	B3-S033	f83r	ldy	L	abziehen; Ende	APPARATUS_OR_PROCESS	NO	NONE
E326	B4-S004	f83r	qokylddy	LDDY	aktuellen Posten befestigen; Schluss	CONTACT_APPLICATION_AMBIGUOUS	NO	NONE
E327	B4-S005	f83r	dain	DAIN	Tuch	APPARATUS_OR_PROCESS	NO	NONE
E344	B4-S011	f83r	lkedy	L	kurz abführen; Schluss	APPARATUS_OR_PROCESS	NO	NONE
E345	B4-S012	f83r	lchedy	L	abführen; Schluss	APPARATUS_OR_PROCESS	NO	NONE
E353	B4-S015	f83r	shey	CHEEY	klarer Auszug	APPARATUS_OR_PROCESS	NO	NONE
E357	B4-S015	f83r	lchedy	L	abführen; Schluss	APPARATUS_OR_PROCESS	NO	NONE
E367	B5-S003	f83r	lol	L	von dort weiterfuehren	GENERAL_WORKSHOP_VALUE	NO	NONE
E379	B6-S001	f83r	dain	DAIN	Tuch	APPARATUS_OR_PROCESS	NO	NONE
