unit_id	page	register	group_count	explicit_body_or_patient_card_groups	visual_content_cue	current_content_decision	medical_fit_before	nonmedical_fit_before	textual_domain_resolution
H1	f10r	HERBAL_ARTICLE	14	0	VISIBLE_PLANT__NO_BODY	PLANT_MATERIAL_ARTICLE_SUPPORTED__MEDICAL_PURPOSE_UNRESOLVED	4	3	NONE__NO_BODY_SPECIFIC_CARD_VALUE
H2	f10r	HERBAL_ARTICLE	24	0	VISIBLE_PLANT__NO_BODY	PLANT_MATERIAL_ARTICLE_SUPPORTED__MEDICAL_PURPOSE_UNRESOLVED	4	3	NONE__NO_BODY_SPECIFIC_CARD_VALUE
H3	f11r	HERBAL_ARTICLE	17	0	VISIBLE_PLANT__NO_BODY	PLANT_MATERIAL_ARTICLE_SUPPORTED__MEDICAL_PURPOSE_UNRESOLVED	4	4	NONE__NO_BODY_SPECIFIC_CARD_VALUE
H4	f55v	HERBAL_ARTICLE	18	0	VISIBLE_PLANT__NO_BODY	PLANT_MATERIAL_ARTICLE_SUPPORTED__MEDICAL_PURPOSE_UNRESOLVED	3	4	NONE__NO_BODY_SPECIFIC_CARD_VALUE
H5	f56r	HERBAL_ARTICLE	27	0	VISIBLE_PLANT__NO_BODY	PLANT_MATERIAL_ARTICLE_SUPPORTED__MEDICAL_PURPOSE_UNRESOLVED	3	4	NONE__NO_BODY_SPECIFIC_CARD_VALUE
B1	f81v	BIO_STATION_RECORD	66	0	VISIBLE_HUMAN_FIGURES_IN_SHARED_POOL	BATH_OR_APPLICATION_SCENE_SUPPORTED_BY_IMAGE__MEDICAL_PURPOSE_UNRESOLVED	5	4	NONE__NO_BODY_SPECIFIC_CARD_VALUE
B2	f82r	BIO_STATION_RECORD	62	0	VISIBLE_HUMAN_FIGURES_AND_LOCAL_BASINS	BATH_OR_APPLICATION_SCENE_SUPPORTED_BY_IMAGE__MEDICAL_PURPOSE_UNRESOLVED	5	4	NONE__NO_BODY_SPECIFIC_CARD_VALUE
B3	f83r	BIO_STATION_RECORD	86	0	VISIBLE_HUMAN_FIGURES_VESSELS_AND_LINKED_PAIR	BATH_OR_APPLICATION_SCENE_SUPPORTED_BY_IMAGE__MEDICAL_PURPOSE_UNRESOLVED	4	4	NONE__NO_BODY_SPECIFIC_CARD_VALUE
B4	f83r	BIO_STATION_RECORD	47	0	VISIBLE_HUMAN_FIGURES_AND_LINKED_PAIR	BATH_OR_APPLICATION_SCENE_SUPPORTED_BY_IMAGE__MEDICAL_PURPOSE_UNRESOLVED	5	4	NONE__NO_BODY_SPECIFIC_CARD_VALUE
B5	f83r	BIO_STATION_RECORD	11	0	LOCAL_LEFT_STATION__BODY_OWNER_WEAK	TECHNICAL_STATION_READING_CURRENTLY_STRONGER	2	4	NONE__NO_BODY_SPECIFIC_CARD_VALUE
B6	f83r	BIO_STATION_RECORD	9	0	LOCAL_RIGHT_MULTIPORT_STATION__BODY_OWNER_WEAK	TECHNICAL_STATION_READING_CURRENTLY_STRONGER	2	5	NONE__NO_BODY_SPECIFIC_CARD_VALUE
A1	f67r2	ASTRO_INSTRUMENT	190	0	VISIBLE_CELESTIAL_WHEELS	CELESTIAL_OR_CALENDAR_LOOKUP_SUPPORTED__APPLICATION_UNRESOLVED	4	4	NONE__NO_BODY_SPECIFIC_CARD_VALUE
A2	f68r1	ASTRO_INSTRUMENT	65	0	VISIBLE_STAR_PANELS	CELESTIAL_OR_CALENDAR_LOOKUP_SUPPORTED__APPLICATION_UNRESOLVED	4	4	NONE__NO_BODY_SPECIFIC_CARD_VALUE
A3	f69v	ASTRO_INSTRUMENT	140	0	VISIBLE_CELESTIAL_ROSETTES	CELESTIAL_OR_CALENDAR_LOOKUP_SUPPORTED__APPLICATION_UNRESOLVED	4	4	NONE__NO_BODY_SPECIFIC_CARD_VALUE
