drawer_id	component_recipe	atomic_workshop_reading_de	natural_apprentice_reading_de	events	surfaces	pages	page_count	support_kind	example_event_ids	attested_context_readings_de
D2-001	CH+OR	NEHMEN · ANSATZ	vom Arbeitsansatz nehmen	9	chor	f10r|f13r|f56r|f88r	4	MEHRSEITIG	P912-E0046|P912-E0064|P912-E0073|P912-E0178|P912-E0360|P912-E0361	ENTNEHMEN · ANSATZ
D2-002	S+AIN	AUSWÄHLEN · PORTION	eine Portion auswählen	9	sain	f67r2|f75r|f82r|f83r	4	MEHRSEITIG	P912-E0557|P912-E0568|P912-E0649|P912-E0653|P912-E0818|P912-E1386	AUSWÄHLEN · PORTION || AUSWÄHLEN · INDEX
D2-003	OK+CHD+DY	SETZEN · UMSETZEN · SCHLUSS	setzen und umsetzen; Schluss	7	okchdy|okchedy|qokchdy	f75r|f81v|f83r	3	MEHRSEITIG_UND_MEHRFÖRMIG	P912-E0509|P912-E0576|P912-E1019|P912-E1074|P912-E1480|P912-E1547	AN STATION SETZEN · UMSETZEN · SCHLUSS
D2-004	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLUSS	fortsetzen und umsetzen; Schluss	7	olchedy|qolchedy	f75r|f81v|f82r|f83r	4	MEHRSEITIG_UND_MEHRFÖRMIG	P912-E0516|P912-E1014|P912-E1122|P912-E1203|P912-E1218|P912-E1454	FORTSETZEN · UMSETZEN · SCHLUSS
D2-005	SH+EE+DY	HALTEN · LÄNGER · SCHLUSS	länger halten; Schluss	7	sheedy	f75r|f81v|f82r|f83r	4	MEHRSEITIG	P912-E0580|P912-E0597|P912-E0688|P912-E0932|P912-E1170|P912-E1316	HALTEN · LÄNGER · SCHLUSS
D2-006	CHK+E+Y	BEHANDELN · KURZ · POSTEN	den Posten kurz behandeln	6	cheky	f55v|f75r|f81v|f83r	4	MEHRSEITIG	P912-E0270|P912-E0328|P912-E0708|P912-E1022|P912-E1108|P912-E1675	BEHANDELN · KURZ · POSTEN
D2-007	LSH+E+DY	SPÜLEN · KURZ · SCHLUSS	kurz spülen; Schluss	6	lshedy	f75r|f81v|f82r|f83r	4	MEHRSEITIG	P912-E0507|P912-E1006|P912-E1049|P912-E1050|P912-E1365|P912-E1683	SPÜLEN · KURZ · SCHLUSS
D2-008	SH+OL	HALTEN · FORTSETZEN	halten und fortsetzen	6	shol	f13r|f56r|f81v|f83r	4	MEHRSEITIG	P912-E0154|P912-E0157|P912-E0388|P912-E1064|P912-E1085|P912-E1414	HALTEN · FORTSETZEN
D2-009	CHEO+R	AUSZUG · MERKEN	den Auszug markieren	5	cheor	f68r1|f82r|f88r	3	MEHRSEITIG	P912-E1286|P912-E1390|P912-E1943|P912-E2457|P912-E2500	AUSZUG · MERKEN
D2-010	CHK+EE+Y	BEHANDELN · LÄNGER · POSTEN	den Posten länger behandeln	5	cheeky|chkeey	f55v|f75r|f81v|f82r|f83r	5	MEHRSEITIG_UND_MEHRFÖRMIG	P912-E0318|P912-E0705|P912-E0892|P912-E1137|P912-E1641	BEHANDELN · LÄNGER · POSTEN
