clause_id	physical_page	locus_span	visible_owner_or_namespace_de	event_count	surface_sequence	complete_working_translation_de	reading_source	end_reason	event_ids
P915-C018	f75r	f75r.1	großes Bad-/Stationsblatt mit dreieckiger Insel	7	kchedykary okeey qokar shyk chedy qotar shedy	Auf dem großen Bad- und Stationsblatt über den sichtbaren Weg zur nächsten Station führen, absetzen lassen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0440|P912-E0441|P912-E0442|P912-E0443|P912-E0444|P912-E0445|P912-E0446
P915-C019	f75r	f75r.2	großes Bad-/Stationsblatt mit dreieckiger Insel	5	dain shey ly ssheol qoldy	Auf dem großen Bad- und Stationsblatt den bezeichneten Stationsposten wählen, die vorgesehene Füllung einstellen, kurz halten und behandeln, über den sichtbaren Weg zur nächsten Station führen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0447|P912-E0448|P912-E0449|P912-E0450|P912-E0451
P915-C020	f75r	f75r.2	großes Bad-/Stationsblatt mit dreieckiger Insel	2	chedykar chekeedy	Auf dem großen Bad- und Stationsblatt länger halten und behandeln, über den sichtbaren Weg zur nächsten Station führen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0452|P912-E0453
P915-C021	f75r	f75r.2|f75r.3|f75r.4	großes Bad-/Stationsblatt mit dreieckiger Insel	20	ror qokain chal orchey qey kain sheeky ltain olkar or dackhy lkamo ykeey lshey kal dy shey ok shey qokeedy	Am großen Stationsblatt eine Portion aus der markierten Quelle nehmen, in das Zielbecken geben, die Stufe einstellen, den Posten länger halten und über die angeschlossene Strecke weiterleiten; danach kurz ansetzen und länger einwirken lassen.	MANUAL_LONG_CLAUSE_REWRITE	LICENSED_DY_CLOSE	P912-E0454|P912-E0455|P912-E0456|P912-E0457|P912-E0458|P912-E0459|P912-E0460|P912-E0461|P912-E0462|P912-E0463|P912-E0464|P912-E0465|P912-E0466|P912-E0467|P912-E0468|P912-E0469|P912-E0470|P912-E0471|P912-E0472|P912-E0473
P915-C022	f75r	f75r.5	großes Bad-/Stationsblatt mit dreieckiger Insel	8	shey kar chey ckhey r ain ol olsheedy	Auf dem großen Bad- und Stationsblatt die vorgesehene Füllung einstellen, länger halten und behandeln, durch den angeschlossenen Durchlass geben und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0474|P912-E0475|P912-E0476|P912-E0477|P912-E0478|P912-E0479|P912-E0480|P912-E0481
P915-C023	f75r	f75r.5|f75r.6	großes Bad-/Stationsblatt mit dreieckiger Insel	9	qokeey qoky pcheykeeor olky dar okey qokain chcthy qokeedy	Auf dem großen Bad- und Stationsblatt die vorgesehene Füllung einstellen, in die Arbeitsstation geben, im Empfangsbecken auffangen, bis zur Gebrauchsbereitschaft führen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0482|P912-E0483|P912-E0484|P912-E0485|P912-E0486|P912-E0487|P912-E0488|P912-E0489|P912-E0490
P915-C024	f75r	f75r.6|f75r.7	großes Bad-/Stationsblatt mit dreieckiger Insel	2	qoky pchedy	Auf dem großen Bad- und Stationsblatt in die Arbeitsstation geben, über den sichtbaren Weg zur nächsten Station führen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0491|P912-E0492
P915-C025	f75r	f75r.7	großes Bad-/Stationsblatt mit dreieckiger Insel	1	qokshdy	Auf dem großen Bad- und Stationsblatt halten und behandeln und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0493
P915-C026	f75r	f75r.7|f75r.8	großes Bad-/Stationsblatt mit dreieckiger Insel	10	ytain chedy qokar chy lol chedy qoky sor chey qokardy	Auf dem großen Bad- und Stationsblatt den bezeichneten Stationsposten wählen, die vorgesehene Füllung einstellen, über den sichtbaren Weg zur nächsten Station führen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0494|P912-E0495|P912-E0496|P912-E0497|P912-E0498|P912-E0499|P912-E0500|P912-E0501|P912-E0502|P912-E0503
P915-C027	f75r	f75r.8	großes Bad-/Stationsblatt mit dreieckiger Insel	4	dsheckhy qokain chckhy lshedy	Auf dem großen Bad- und Stationsblatt die vorgesehene Füllung einstellen, kurz halten und behandeln, durch den angeschlossenen Durchlass geben, die Station spülen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0504|P912-E0505|P912-E0506|P912-E0507
