event_id	clause_id	physical_page	locus	position_in_clause	surface	component_recipe	reconciled_card_reading_de	natural_event_phrase_de
P912-E0440	P915-C018	f75r	f75r.1	1	kchedykary	K+CHD+Y+K+AR+Y	IN STATION GEBEN · UMSETZEN · POSTEN · IN STATION GEBEN · QUELLSTATION · POSTEN	den Posten umsetzen
P912-E0441	P915-C018	f75r	f75r.1	2	okeey	OK+EE+Y	AN STATION SETZEN · LÄNGER · POSTEN	länger den aktuellen Posten beibehalten
P912-E0442	P915-C018	f75r	f75r.1	3	qokar	OK+AR	AN STATION SETZEN · QUELLSTATION	die bezeichnete Einstellung übernehmen
P912-E0443	P915-C018	f75r	f75r.1	4	shyk	Y+K	POSTEN · IN STATION GEBEN	den aktuellen Posten beibehalten
P912-E0444	P915-C018	f75r	f75r.1	5	chedy	CHD+Y	UMSETZEN · POSTEN	den Posten umsetzen
P912-E0445	P915-C018	f75r	f75r.1	6	qotar	OT+AR	DANACH · QUELLSTATION	zum nächsten Teilgang gehen
P912-E0446	P915-C018	f75r	f75r.1	7	shedy	SHED+DY	ABSETZEN · SCHLUSS	den Posten absetzen lassen, dann den Teilgang abschließen
P912-E0447	P915-C019	f75r	f75r.2	1	dain	AIN	PORTION	eine Portion verwenden
P912-E0448	P915-C019	f75r	f75r.2	2	shey	SH+E+Y	HALTEN · KURZ · POSTEN	kurz den Posten halten
P912-E0449	P915-C019	f75r	f75r.2	3	ly	L+Y	LEITEN · POSTEN	den Posten weiterleiten
P912-E0450	P915-C019	f75r	f75r.2	4	ssheol	S+SH+E+OL	AUSWÄHLEN · HALTEN · KURZ · FORTSETZEN	kurz die bezeichnete Station auswählen, dann den Posten halten, dann den Teilgang fortsetzen
P912-E0451	P915-C019	f75r	f75r.2	5	qoldy	OL+DY	FORTSETZEN · SCHLUSS	den Teilgang fortsetzen, dann den Teilgang abschließen
P912-E0452	P915-C020	f75r	f75r.2	1	chedykar	CHD+Y+K+AR	UMSETZEN · POSTEN · IN STATION GEBEN · QUELLSTATION	den Posten umsetzen
P912-E0453	P915-C020	f75r	f75r.2	2	chekeedy	CHK+EE+DY	BEHANDELN · LÄNGER · SCHLUSS	länger den Posten behandeln, dann den Teilgang abschließen
P912-E0454	P915-C021	f75r	f75r.2	1	ror	R+OR	MERKEN · ANSATZ	den Zustand markieren
P912-E0455	P915-C021	f75r	f75r.3	2	qokain	OK+AIN	AN STATION SETZEN · PORTION	die bezeichnete Einstellung übernehmen mit dem Teilposten
P912-E0456	P915-C021	f75r	f75r.3	3	chal	CH+AL	AUS STATION NEHMEN · ZIELSTATION	die bezeichnete Einstellung übernehmen
P912-E0457	P915-C021	f75r	f75r.3	4	orchey	OR+Y	ANSATZ · POSTEN	den aktuellen Posten beibehalten
P912-E0458	P915-C021	f75r	f75r.3	5	qey	E+Y	KURZ · POSTEN	kurz den aktuellen Posten beibehalten
P912-E0459	P915-C021	f75r	f75r.3	6	kain	K+AIN	IN STATION GEBEN · PORTION	die bezeichnete Einstellung übernehmen mit dem Teilposten
P912-E0460	P915-C021	f75r	f75r.3	7	sheeky	SH+EE+K+Y	HALTEN · LÄNGER · IN STATION GEBEN · POSTEN	länger den Posten halten
P912-E0461	P915-C021	f75r	f75r.3	8	ltain	L+T+AIN	LEITEN · STELLEN · PORTION	den Posten weiterleiten mit dem Teilposten, dann die Stufe einstellen
P912-E0462	P915-C021	f75r	f75r.3	9	olkar	SOLK+AR	AUFFANGEN · QUELLSTATION	den Posten auffangen
P912-E0463	P915-C021	f75r	f75r.3	10	or	OR	ANSATZ	den laufenden Ansatz verwenden
P912-E0464	P915-C021	f75r	f75r.4	11	dackhy	DA+CKH+Y	ZWEIT · DURCHLASS · POSTEN	den Posten durch den sichtbaren Durchlass führen
P912-E0465	P915-C021	f75r	f75r.4	12	lkamo	L+K+AM_ADDR+O	LEITEN · IN STATION GEBEN · INNEN · AUSFÜHREN	den Posten weiterleiten im inneren Becken, dann den Stationsgang ausführen
P912-E0466	P915-C021	f75r	f75r.4	13	ykeey	Y+K+EE+Y	POSTEN · IN STATION GEBEN · LÄNGER · POSTEN	länger den aktuellen Posten beibehalten
P912-E0467	P915-C021	f75r	f75r.4	14	lshey	L+SH+E+Y	LEITEN · HALTEN · KURZ · POSTEN	kurz den Posten weiterleiten, dann den Posten halten
P912-E0468	P915-C021	f75r	f75r.4	15	kal	K+AL	IN STATION GEBEN · ZIELSTATION	die bezeichnete Einstellung übernehmen
P912-E0469	P915-C021	f75r	f75r.4	16	dy	Y	POSTEN	POSTEN verwenden
P912-E0470	P915-C021	f75r	f75r.4	17	shey	SH+E+Y	HALTEN · KURZ · POSTEN	kurz den Posten halten
P912-E0471	P915-C021	f75r	f75r.4	18	ok	OK	AN STATION SETZEN	AN STATION SETZEN verwenden
P912-E0472	P915-C021	f75r	f75r.4	19	shey	SH+E+Y	HALTEN · KURZ · POSTEN	kurz den Posten halten
P912-E0473	P915-C021	f75r	f75r.4	20	qokeedy	OK+EE+DY	AN STATION SETZEN · LÄNGER · SCHLUSS	länger den Teilgang abschließen
P912-E0474	P915-C022	f75r	f75r.5	1	shey	SH+E+Y	HALTEN · KURZ · POSTEN	kurz den Posten halten
P912-E0475	P915-C022	f75r	f75r.5	2	kar	K+AR	IN STATION GEBEN · QUELLSTATION	die bezeichnete Einstellung übernehmen
P912-E0476	P915-C022	f75r	f75r.5	3	chey	Y	POSTEN	POSTEN verwenden
P912-E0477	P915-C022	f75r	f75r.5	4	ckhey	CKH+E+Y	DURCHLASS · KURZ · POSTEN	kurz den Posten durch den sichtbaren Durchlass führen
P912-E0478	P915-C022	f75r	f75r.5	5	r	R	MERKEN	den Zustand merken
P912-E0479	P915-C022	f75r	f75r.5	6	ain	AIN	PORTION	eine Portion verwenden
P912-E0480	P915-C022	f75r	f75r.5	7	ol	OL	FORTSETZEN	FORTSETZEN verwenden
