drawer_id	component_recipe	natural_apprentice_reading_de	events	surfaces	pages	attested_context_readings_de
D2-001	CH+OR	vom Arbeitsansatz nehmen	9	chor	f10r|f13r|f56r|f88r	ENTNEHMEN · ANSATZ
D2-002	S+AIN	eine Portion auswählen	9	sain	f67r2|f75r|f82r|f83r	AUSWÄHLEN · PORTION || AUSWÄHLEN · INDEX
D2-003	OK+CHD+DY	setzen und umsetzen; Schluss	7	okchdy|okchedy|qokchdy	f75r|f81v|f83r	AN STATION SETZEN · UMSETZEN · SCHLUSS
D2-004	OL+CHD+DY	fortsetzen und umsetzen; Schluss	7	olchedy|qolchedy	f75r|f81v|f82r|f83r	FORTSETZEN · UMSETZEN · SCHLUSS
D2-005	SH+EE+DY	länger halten; Schluss	7	sheedy	f75r|f81v|f82r|f83r	HALTEN · LÄNGER · SCHLUSS
D2-006	CHK+E+Y	den Posten kurz behandeln	6	cheky	f55v|f75r|f81v|f83r	BEHANDELN · KURZ · POSTEN
D2-007	LSH+E+DY	kurz spülen; Schluss	6	lshedy	f75r|f81v|f82r|f83r	SPÜLEN · KURZ · SCHLUSS
D2-008	SH+OL	halten und fortsetzen	6	shol	f13r|f56r|f81v|f83r	HALTEN · FORTSETZEN
D2-009	CHEO+R	den Auszug markieren	5	cheor	f68r1|f82r|f88r	AUSZUG · MERKEN
D2-010	CHK+EE+Y	den Posten länger behandeln	5	cheeky|chkeey	f55v|f75r|f81v|f82r|f83r	BEHANDELN · LÄNGER · POSTEN
D2-011	D_ADDR+OL	mit dem Teil fortsetzen	5	dchol|dol	f13r|f81v|f82r|f88r	TEIL · FORTSETZEN
D2-012	D_ADDR+OR	einen Teilansatz bilden	5	dor	f11r|f13r|f75r|f83r	TEIL · ANSATZ || TEIL · ANSATZ
D2-013	K+EE+DY	länger zugeben; Schluss	5	keedy	f75r|f81v	IN STATION GEBEN · LÄNGER · SCHLUSS
D2-014	L+DY	weiterleiten; Schluss	5	ldy	f75r|f82r|f83r	LEITEN · SCHLUSS
D2-015	O+IIN	auf der bezeichneten Stufe ausführen	5	oiiin|oiin	f13r|f67r2|f81v	AUSFÜHREN · STUFE
D2-016	OK+SH+E+DY	setzen, kurz halten; Schluss	5	okshedy|qokshedy	f75r|f81v|f83r	AN STATION SETZEN · HALTEN · KURZ · SCHLUSS
D2-017	S+OR	einen Arbeitsansatz auswählen	5	sor	f10r|f67r2|f75r|f83r	AUSWÄHLEN · ANSATZ || AUSWÄHLEN · ANSATZ || AUSWÄHLEN · EINTRAGSGRUPPE
D2-018	SH+E+OL	kurz halten und fortsetzen	5	dsheol|sheol	f75r|f82r|f83r|f88r	HALTEN · KURZ · FORTSETZEN
D2-019	SOLK+EE+DY	länger auffangen; Schluss	5	olkeedy	f75r|f81v|f83r	AUFFANGEN · LÄNGER · SCHLUSS
D2-020	SOLK+EE+Y	den Posten länger auffangen	5	olkeey|solkeey	f75r|f81v|f83r|f88r	AUFFANGEN · LÄNGER · POSTEN
