semantic_family	component_recipe	working_reading_de	exact_card_subfamilies	exact_card_ids	events
SEM001	CH+E+Y	ABNEHMEN · KURZ · DIES	1	PROC001	1
SEM002	CTH+O+OR	BEREIT · GANG · ANSATZ	1	PROC002	1
SEM003	AR	QUELLE	1	PROC003	5
SEM004	T+Y	EINTRAGEN · DIES	1	PROC004	2
SEM005	OS	FACH	1	PROC005	1
SEM006	CH+AIR	ABNEHMEN · LAUF	1	PROC006	1
SEM007	OT+Y+T+CH+OL	DANACH · DIES · EINTRAGEN · ABNEHMEN · FORTSETZEN	1	PROC007	1
SEM008	OK+Y	ANSETZEN · DIES	2	PROC008|PROC011	13
SEM009	AIIN	MASS	1	PROC009	20
SEM010	E+T+Y	KURZ · EINTRAGEN · DIES	1	PROC010	1
SEM011	OT+CH+OL	DANACH · ABNEHMEN · FORTSETZEN	1	PROC012	1
SEM012	OL	FORTSETZEN	2	PROC013|PROC115	20
SEM013	CTH+Y	BEREIT · DIES	1	PROC014	7
SEM014	Y+CH+E+OR	DIES · ABNEHMEN · KURZ · ANSATZ	1	PROC015	1
SEM015	OR	ANSATZ	1	PROC016	7
SEM016	CTH+AIIN	BEREIT · MASS	1	PROC017	1
SEM017	O+CTH+OL+Y	GANG · BEREIT · FORTSETZEN · DIES	1	PROC018	1
SEM018	Y	DIES	1	PROC019	18
SEM019	OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	1	PROC020	2
SEM020	OT+OL	DANACH · FORTSETZEN	1	PROC021	1
SEM021	OL+OR	FORTSETZEN · ANSATZ	1	PROC022	2
SEM022	O+Y+K+OR	GANG · DIES · ZUDOSIEREN · ANSATZ	1	PROC023	1
SEM023	K+IIN	ZUDOSIEREN · STUFE	1	PROC024	1
SEM024	CH+O+AIIN	ABNEHMEN · GANG · MASS	1	PROC025	1
SEM025	T+SH+OL	EINTRAGEN · HALTEN · FORTSETZEN	1	PROC026	1
SEM026	SH+O+AL	HALTEN · GANG · ZIEL	1	PROC027	1
SEM027	CFH+Y	AUSWRINGEN · DIES	1	PROC028	1
SEM028	SH+Y+AIIN	HALTEN · DIES · MASS	1	PROC029	1
SEM029	P+Y	EINFUELLEN · DIES	1	PROC030	1
SEM030	SH+EE+Y	HALTEN · LANG · DIES	2	PROC031|PROC157	5
SEM031	T+CH+O+DY	EINTRAGEN · ABNEHMEN · GANG · SCHLUSS	1	PROC032	1
SEM032	SH+O+Y+T+Y	HALTEN · GANG · DIES · EINTRAGEN · DIES	1	PROC033	1
SEM033	RESUME_CARD	WIEDERAUFNEHMEN	1	PROC034	2
SEM034	K+Y	ZUDOSIEREN · DIES	1	PROC035	1
SEM035	OT+Y	DANACH · DIES	2	PROC036|PROC065	3
SEM036	OK+OL	ANSETZEN · FORTSETZEN	2	PROC037|PROC160	2
SEM037	OK+AIIN	ANSETZEN · MASS	1	PROC038	9
SEM038	Y+K+AIN	DIES · ZUDOSIEREN · PORTION	1	PROC039	1
SEM039	Y+K+AN	DIES · ZUDOSIEREN · NACHGABE	1	PROC040	1
SEM040	O+DY	GANG · SCHLUSS	1	PROC041	1
SEM041	CHD+Y	UMSETZEN · DIES	2	PROC042|PROC133	12
SEM042	TALAM	VERWAHREN	1	PROC043	1
SEM043	Y+K+AIIN	DIES · ZUDOSIEREN · MASS	1	PROC044	1
SEM044	CH+E+O+AR	ABNEHMEN · KURZ · GANG · QUELLE	1	PROC045	1
SEM045	CHK+EE+Y	WAERMEN · LANG · DIES	2	PROC046|PROC107	3
SEM046	OL+DY	FORTSETZEN · SCHLUSS	1	PROC047	2
SEM047	OK+AL	ANSETZEN · ZIEL	1	PROC048	6
SEM048	OL+T+Y	FORTSETZEN · EINTRAGEN · DIES	1	PROC049	1
SEM049	OR+AIN	ANSATZ · PORTION	1	PROC050	1
SEM050	HO+CH+OR	ZUTAT · ABNEHMEN · ANSATZ	1	PROC051	1
SEM051	HO	ZUTAT	1	PROC052	4
SEM052	HO+AL+Y	ZUTAT · ZIEL · DIES	1	PROC053	1
SEM053	K+OL	ZUDOSIEREN · FORTSETZEN	1	PROC054	1
SEM054	AL	ZIEL	1	PROC055	10
SEM055	HO+Y	ZUTAT · DIES	1	PROC056	1
SEM056	CH+EE+CKH+O+DY	ABNEHMEN · LANG · DURCHLASS · GANG · SCHLUSS	1	PROC057	1
SEM057	SH	HALTEN	1	PROC058	1
SEM058	K+E+Y	ZUDOSIEREN · KURZ · DIES	1	PROC059	1
SEM059	OK+OK+Y	ANSETZEN · ANSETZEN · DIES	1	PROC060	1
SEM060	OK+CH+E+O	ANSETZEN · ABNEHMEN · KURZ · GANG	1	PROC061	1
SEM061	K+AL	ZUDOSIEREN · ZIEL	1	PROC062	1
SEM062	K+HO+AR	ZUDOSIEREN · ZUTAT · QUELLE	1	PROC063	1
SEM063	OT+O+AIN	DANACH · GANG · PORTION	1	PROC064	1
SEM064	K+E+OL	ZUDOSIEREN · KURZ · FORTSETZEN	1	PROC066	1
SEM065	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	1	PROC067	8
SEM066	K+AIR	ZUDOSIEREN · LAUF	1	PROC068	1
SEM067	K+AIN	ZUDOSIEREN · PORTION	1	PROC069	3
SEM068	OL+K+AIN	FORTSETZEN · ZUDOSIEREN · PORTION	1	PROC070	2
SEM069	R+OL	KUEHLEN · FORTSETZEN	1	PROC071	1
SEM070	L	WEITERLEITEN	1	PROC072	2
SEM071	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIEL	1	PROC073	1
SEM072	OK+EE+AL	ANSETZEN · LANG · ZIEL	1	PROC074	1
SEM073	CKH+Y	DURCHLASS · DIES	1	PROC075	4
SEM074	CHD+DY	UMSETZEN · SCHLUSS	2	PROC076|PROC094	5
SEM075	SH+K+CHD+DY	HALTEN · ZUDOSIEREN · UMSETZEN · SCHLUSS	1	PROC077	1
SEM076	SHED+DY	ABSETZEN · SCHLUSS	1	PROC078	12
SEM077	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLUSS	1	PROC079	3
SEM078	OK+AIN	ANSETZEN · PORTION	1	PROC080	7
SEM079	R+AL	KUEHLEN · ZIEL	1	PROC081	1
SEM080	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	2	PROC082|PROC091	5
SEM081	CHK+E+Y	WAERMEN · KURZ · DIES	1	PROC083	3
SEM082	LSH+O	WASCHEN · GANG	1	PROC084	1
SEM083	OK+E+Y	ANSETZEN · KURZ · DIES	1	PROC085	2
SEM084	LSH+E+DY	WASCHEN · KURZ · SCHLUSS	1	PROC086	2
SEM085	SOLK+Y	AUFFANGEN · DIES	1	PROC087	1
SEM086	L+CHD+AL	WEITERLEITEN · UMSETZEN · ZIEL	1	PROC088	1
SEM087	OT+AR	DANACH · QUELLE	1	PROC089	1
