exact_card_id	semantic_family	component_recipe	working_reading_de	registered_surfaces	events
PROC001	SEM001	CH+E+Y	ABNEHMEN · KURZ · DIES	dchey	1
PROC002	SEM002	CTH+O+OR	BEREIT · GANG · ANSATZ	cthoor	1
PROC003	SEM003	AR	QUELLE	char|dar|sar	5
PROC004	SEM004	T+Y	EINTRAGEN · DIES	chety|chty	2
PROC005	SEM005	OS	FACH	os	1
PROC006	SEM006	CH+AIR	ABNEHMEN · LAUF	chair	1
PROC007	SEM007	OT+Y+T+CH+OL	DANACH · DIES · EINTRAGEN · ABNEHMEN · FORTSETZEN	otytchol	1
PROC008	SEM008	OK+Y	ANSETZEN · DIES	choky|oky|qoky	10
PROC011	SEM008	OK+Y	ANSETZEN · DIES	chokchy|okchy|qokchy	3
PROC009	SEM009	AIIN	MASS	aiin|chaiin|daiin|saiin|taiin	20
PROC010	SEM010	E+T+Y	KURZ · EINTRAGEN · DIES	etyd	1
PROC012	SEM011	OT+CH+OL	DANACH · ABNEHMEN · FORTSETZEN	qotchol	1
PROC013	SEM012	OL	FORTSETZEN	cheol|chol|ol|qol|sol|tol	19
PROC115	SEM012	OL	FORTSETZEN	ls	1
PROC014	SEM013	CTH+Y	BEREIT · DIES	checthy|cthy|shcthy	7
PROC015	SEM014	Y+CH+E+OR	DIES · ABNEHMEN · KURZ · ANSATZ	ycheor	1
PROC016	SEM015	OR	ANSATZ	chor|or|shor|sor	7
PROC017	SEM016	CTH+AIIN	BEREIT · MASS	cthaiin	1
PROC018	SEM017	O+CTH+OL+Y	GANG · BEREIT · FORTSETZEN · DIES	qoctholy	1
PROC019	SEM018	Y	DIES	chey|chy|dy|shy|sy|y	18
PROC020	SEM019	OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	otchor|qotchor	2
PROC021	SEM020	OT+OL	DANACH · FORTSETZEN	otol	1
PROC022	SEM021	OL+OR	FORTSETZEN · ANSATZ	cholor|olor	2
PROC023	SEM022	O+Y+K+OR	GANG · DIES · ZUDOSIEREN · ANSATZ	oykchor	1
PROC024	SEM023	K+IIN	ZUDOSIEREN · STUFE	kaiiin	1
PROC025	SEM024	CH+O+AIIN	ABNEHMEN · GANG · MASS	chodaiin	1
PROC026	SEM025	T+SH+OL	EINTRAGEN · HALTEN · FORTSETZEN	tshol	1
PROC027	SEM026	SH+O+AL	HALTEN · GANG · ZIEL	schoal	1
PROC028	SEM027	CFH+Y	AUSWRINGEN · DIES	cfhy	1
PROC029	SEM028	SH+Y+AIIN	HALTEN · DIES · MASS	shfydaiin	1
PROC030	SEM029	P+Y	EINFUELLEN · DIES	cphy	1
PROC031	SEM030	SH+EE+Y	HALTEN · LANG · DIES	cheey|shey	4
PROC157	SEM030	SH+EE+Y	HALTEN · LANG · DIES	sheey	1
PROC032	SEM031	T+CH+O+DY	EINTRAGEN · ABNEHMEN · GANG · SCHLUSS	tchody	1
PROC033	SEM032	SH+O+Y+T+Y	HALTEN · GANG · DIES · EINTRAGEN · DIES	shoyty	1
PROC034	SEM033	RESUME_CARD	WIEDERAUFNEHMEN	dchol|schol	2
PROC035	SEM034	K+Y	ZUDOSIEREN · DIES	kchy	1
PROC036	SEM035	OT+Y	DANACH · DIES	qotchy	1
PROC065	SEM035	OT+Y	DANACH · DIES	otchey	2
PROC037	SEM036	OK+OL	ANSETZEN · FORTSETZEN	okchol	1
PROC160	SEM036	OK+OL	ANSETZEN · FORTSETZEN	qokol	1
PROC038	SEM037	OK+AIIN	ANSETZEN · MASS	okaiin|qokaiin	9
PROC039	SEM038	Y+K+AIN	DIES · ZUDOSIEREN · PORTION	ykain	1
PROC040	SEM039	Y+K+AN	DIES · ZUDOSIEREN · NACHGABE	ykan	1
PROC041	SEM040	O+DY	GANG · SCHLUSS	ody	1
PROC042	SEM041	CHD+Y	UMSETZEN · DIES	chdy|chedy	11
PROC133	SEM041	CHD+Y	UMSETZEN · DIES	chedchy	1
PROC043	SEM042	TALAM	VERWAHREN	talam	1
PROC044	SEM043	Y+K+AIIN	DIES · ZUDOSIEREN · MASS	ykaiin	1
PROC045	SEM044	CH+E+O+AR	ABNEHMEN · KURZ · GANG · QUELLE	cheoar	1
PROC046	SEM045	CHK+EE+Y	WAERMEN · LANG · DIES	cheeky	2
PROC107	SEM045	CHK+EE+Y	WAERMEN · LANG · DIES	chkeey	1
PROC047	SEM046	OL+DY	FORTSETZEN · SCHLUSS	oldy	2
PROC048	SEM047	OK+AL	ANSETZEN · ZIEL	okal|qokal	6
PROC049	SEM048	OL+T+Y	FORTSETZEN · EINTRAGEN · DIES	oltchy	1
PROC050	SEM049	OR+AIN	ANSATZ · PORTION	orain	1
PROC051	SEM050	HO+CH+OR	ZUTAT · ABNEHMEN · ANSATZ	chochor	1
PROC052	SEM051	HO	ZUTAT	cho|sho	4
PROC053	SEM052	HO+AL+Y	ZUTAT · ZIEL · DIES	chodaly	1
PROC054	SEM053	K+OL	ZUDOSIEREN · FORTSETZEN	kchol	1
PROC055	SEM054	AL	ZIEL	al|chal|cheal|dal|sal|tal	10
PROC056	SEM055	HO+Y	ZUTAT · DIES	choy	1
PROC057	SEM056	CH+EE+CKH+O+DY	ABNEHMEN · LANG · DURCHLASS · GANG · SCHLUSS	cheeckhody	1
PROC058	SEM057	SH	HALTEN	sh	1
PROC059	SEM058	K+E+Y	ZUDOSIEREN · KURZ · DIES	kchey	1
PROC060	SEM059	OK+OK+Y	ANSETZEN · ANSETZEN · DIES	qokokchy	1
PROC061	SEM060	OK+CH+E+O	ANSETZEN · ABNEHMEN · KURZ · GANG	chokcheo	1
PROC062	SEM061	K+AL	ZUDOSIEREN · ZIEL	kchal	1
PROC063	SEM062	K+HO+AR	ZUDOSIEREN · ZUTAT · QUELLE	kchoar	1
PROC064	SEM063	OT+O+AIN	DANACH · GANG · PORTION	sotodan	1
