master_event_id	docket_id	owner	line_no	line_column	forward_recipe	forward_card	forward_surface	backward_card	backward_semantic_family	backward_recipe	card_roundtrip	recipe_roundtrip	owner_roundtrip	line_roundtrip	statement_roundtrip
MP001	FD01	PLANT	1	1	OK+Y	PROC011	okchy	PROC011	SEM008	OK+Y	YES	YES	YES	YES	YES
MP002	FD01	PLANT	1	2	AIIN	PROC009	aiin	PROC009	SEM009	AIIN	YES	YES	YES	YES	YES
MP003	FD02	PLANT	1	3	HO	PROC052	cho	PROC052	SEM051	HO	YES	YES	YES	YES	YES
MP004	FD02	PLANT	1	4	OK+Y	PROC011	okchy	PROC011	SEM008	OK+Y	YES	YES	YES	YES	YES
MP005	FD02	PLANT	2	1	K+HO+AR	PROC063	kchoar	PROC063	SEM062	K+HO+AR	YES	YES	YES	YES	YES
MP006	FD05	PLANT	2	2	AIIN	PROC009	aiin	PROC009	SEM009	AIIN	YES	YES	YES	YES	YES
MP007	FD05	PLANT	2	3	CHD+Y	PROC042	chdy	PROC042	SEM041	CHD+Y	YES	YES	YES	YES	YES
MP008	FD05	PLANT	2	4	TALAM	PROC043	talam	PROC043	SEM042	TALAM	YES	YES	YES	YES	YES
MP009	FD08	PLANT	2	5	AIIN	PROC009	aiin	PROC009	SEM009	AIIN	YES	YES	YES	YES	YES
MP010	FD08	PLANT	2	6	CHD+DY	PROC094	dchdy	PROC094	SEM074	CHD+DY	YES	YES	YES	YES	YES
MP011	FD08	PLANT	3	1	OR	PROC016	or	PROC016	SEM015	OR	YES	YES	YES	YES	YES
MP012	FD03	BASIN	3	2	AIIN	PROC009	aiin	PROC009	SEM009	AIIN	YES	YES	YES	YES	YES
MP013	FD03	BASIN	3	3	OK+Y	PROC008	oky	PROC008	SEM008	OK+Y	YES	YES	YES	YES	YES
MP014	FD03	BASIN	3	4	AL	PROC055	al	PROC055	SEM054	AL	YES	YES	YES	YES	YES
MP015	FD04	BASIN	3	5	CHD+DY	PROC076	dchedy	PROC076	SEM074	CHD+DY	YES	YES	YES	YES	YES
MP016	FD04	BASIN	4	1	CHD+Y	PROC133	chedchy	PROC133	SEM041	CHD+Y	YES	YES	YES	YES	YES
MP017	FD04	BASIN	4	2	OK+AL	PROC048	okal	PROC048	SEM047	OK+AL	YES	YES	YES	YES	YES
MP018	FD06	BASIN	4	3	CHD+DY	PROC076	dchedy	PROC076	SEM074	CHD+DY	YES	YES	YES	YES	YES
MP019	FD09	BASIN	4	4	T+E+Y	PROC090	ytey	PROC090	SEM088	T+E+Y	YES	YES	YES	YES	YES
MP020	FD09	BASIN	4	5	OK+CHD+DY	PROC091	okchedy	PROC091	SEM080	OK+CHD+DY	YES	YES	YES	YES	YES
MP021	FD10	BASIN	4	6	OK+CHD+DY	PROC082	qokchdy	PROC082	SEM080	OK+CHD+DY	YES	YES	YES	YES	YES
MP022	FD12	BASIN	4	7	CHD+DY	PROC076	dchedy	PROC076	SEM074	CHD+DY	YES	YES	YES	YES	YES
MP023	FD12	BASIN	5	1	CHD+Y	PROC042	chdy	PROC042	SEM041	CHD+Y	YES	YES	YES	YES	YES
MP024	FD12	BASIN	5	2	AIIN	PROC009	aiin	PROC009	SEM009	AIIN	YES	YES	YES	YES	YES
MP025	FD07	APPARATUS	5	3	CKH+Y	PROC075	chckhy	PROC075	SEM073	CKH+Y	YES	YES	YES	YES	YES
MP026	FD07	APPARATUS	5	4	CHD+DY	PROC076	dchedy	PROC076	SEM074	CHD+DY	YES	YES	YES	YES	YES
MP027	FD11	APPARATUS	5	5	OK+CHD+DY	PROC082	qokchdy	PROC082	SEM080	OK+CHD+DY	YES	YES	YES	YES	YES
