edition_event_ordinal	event_id	statement_id	card_ordinal_in_statement	physical_page	register	owner_id	surface	final_context_recipe	state_status	state_marker_sequence	gdt570_modifier_voice_clause_de	outer_voice_working_clause_de	owner_bound_control_clause_de	outer_voice_changed	state_atom_alignment	guard
1	G407-E0001	G407-S001	1	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	NONSTATE_CARD	NOT_APPLICABLE	Entnimm den laufenden Eintrag und wähle den laufenden Eintrag; an der bezeichneten Stelle und an der bezeichneten Stelle.	Entnimm den laufenden Eintrag und wähle den laufenden Eintrag; an der bezeichneten Stelle und an der bezeichneten Stelle.	Entnimm den laufenden Eintrag und wähle den laufenden Eintrag; an der bezeichneten Stelle und an der bezeichneten Stelle.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
2	G407-E0002	G407-S001	2	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ykal	Y+K+AL	NONSTATE_CARD	NOT_APPLICABLE	Ordne den laufenden Eintrag zu; zur Zielspalte.	Ordne den laufenden Eintrag zu; zur Zielspalte.	Ordne den laufenden Eintrag zu; zur Zielspalte.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
3	G407-E0003	G407-S001	3	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ar	AR	NONSTATE_CARD	NOT_APPLICABLE	Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
4	G407-E0004	G407-S001	4	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ataiin	A_ADDR+T+AIIN	NONSTATE_CARD	NOT_APPLICABLE	Lege den Kennwert fest; an der bezeichneten Stelle.	Lege den Kennwert fest; an der bezeichneten Stelle.	Lege den Kennwert fest; an der bezeichneten Stelle.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
5	G407-E0005	G407-S001	5	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shol	SH+OL	STATE_CARD	OL	Weiter: halte denselben Kennwert fest.	Weiter: halte denselben Kennwert fest.	Weiter halte den Kennwert [wie zuvor] fest.	NO	1:SH=halten | 2:OL=weiter	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
6	G407-E0006	G407-S001	6	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shory	SH+OR+Y	NONSTATE_CARD	NOT_APPLICABLE	Halte die Eintragseinheit und den laufenden Eintrag fest.	Halte die Eintragseinheit und den laufenden Eintrag fest.	Halte die Eintragseinheit und den laufenden Eintrag fest.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
7	G407-E0007	G407-S001	7	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthres	CH+T+R+E+S	NONSTATE_CARD	NOT_APPLICABLE	Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest, kennzeichne den laufenden Eintrag [wie zuvor] und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest, kennzeichne den laufenden Eintrag [wie zuvor] und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest, kennzeichne den laufenden Eintrag [wie zuvor] und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
8	G407-E0008	G407-S001	8	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	y	Y	NONSTATE_CARD	NOT_APPLICABLE	Im laufenden Gang wähle den laufenden Eintrag.	Im laufenden Gang wähle den laufenden Eintrag.	Im laufenden Gang wähle den laufenden Eintrag.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
9	G407-E0009	G407-S001	9	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	kor	K+OR	NONSTATE_CARD	NOT_APPLICABLE	Ordne die Eintragseinheit zu.	Ordne die Eintragseinheit zu.	Ordne die Eintragseinheit zu.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
10	G407-E0010	G407-S001	10	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sholdy	SH+OL+D_ADDR+Y	STATE_CARD	OL	Weiter: halte den laufenden Eintrag fest; an der bezeichneten Stelle.	Weiter: halte den laufenden Eintrag fest; an der bezeichneten Stelle.	Weiter halte den laufenden Eintrag fest; an der bezeichneten Stelle.	NO	1:SH=halten | 2:OL=weiter | 3:D_ADDR=hier | 4:Y=den Posten	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
11	G407-E0011	G407-S001	11	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sory	S+OR+Y	NONSTATE_CARD	NOT_APPLICABLE	Wähle die Eintragseinheit und den laufenden Eintrag.	Wähle die Eintragseinheit und den laufenden Eintrag.	Wähle die Eintragseinheit und den laufenden Eintrag.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
12	G407-E0012	G407-S001	12	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ckhar	CH+K+AR	NONSTATE_CARD	NOT_APPLICABLE	Entnimm den laufenden Eintrag [wie zuvor] und ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	Entnimm den laufenden Eintrag [wie zuvor] und ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	Entnimm den laufenden Eintrag [wie zuvor] und ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
13	G407-E0013	G407-S001	13	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	or	OR	NONSTATE_CARD	NOT_APPLICABLE	Im laufenden Gang ordne die Eintragseinheit zu.	Im laufenden Gang ordne die Eintragseinheit zu.	Im laufenden Gang ordne die Eintragseinheit zu.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
14	G407-E0014	G407-S001	14	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	y	Y	NONSTATE_CARD	NOT_APPLICABLE	Im laufenden Gang ordne den laufenden Eintrag zu.	Im laufenden Gang ordne den laufenden Eintrag zu.	Im laufenden Gang ordne den laufenden Eintrag zu.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
15	G407-E0015	G407-S001	15	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	kair	K+AIR	NONSTATE_CARD	NOT_APPLICABLE	Ordne den laufenden Eintrag [wie zuvor] zu; entlang der Lesebahn.	Ordne den laufenden Eintrag [wie zuvor] zu; entlang der Lesebahn.	Ordne den laufenden Eintrag [wie zuvor] zu; entlang der Lesebahn.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
16	G407-E0016	G407-S001	16	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	chtaiin	CH+T+AIIN	NONSTATE_CARD	NOT_APPLICABLE	Entnimm den Kennwert und lege den Kennwert fest.	Entnimm den Kennwert und lege den Kennwert fest.	Entnimm den Kennwert und lege den Kennwert fest.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
17	G407-E0017	G407-S001	17	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shar	SH+AR	NONSTATE_CARD	NOT_APPLICABLE	Halte den Kennwert [wie zuvor] fest; von der Ausgangszeile.	Halte den Kennwert [wie zuvor] fest; von der Ausgangszeile.	Halte den Kennwert [wie zuvor] fest; von der Ausgangszeile.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
18	G407-E0018	G407-S001	18	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ase	A_ADDR+S+E	NONSTATE_CARD	NOT_APPLICABLE	Wähle den Kennwert [wie zuvor]; auf Grad I; an der bezeichneten Stelle.	Wähle den Kennwert [wie zuvor]; auf Grad I; an der bezeichneten Stelle.	Wähle den Kennwert [wie zuvor]; auf Grad I; an der bezeichneten Stelle.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
19	G407-E0019	G407-S001	19	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthar	CH+T+AR	NONSTATE_CARD	NOT_APPLICABLE	Entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest; von der Ausgangszeile.	Entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest; von der Ausgangszeile.	Entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest; von der Ausgangszeile.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
20	G407-E0020	G407-S001	20	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthar	CH+T+AR	NONSTATE_CARD	NOT_APPLICABLE	Entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest; von der Ausgangszeile.	Entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest; von der Ausgangszeile.	Entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest; von der Ausgangszeile.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
21	G407-E0021	G407-S001	21	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	dan	AIN	NONSTATE_CARD	NOT_APPLICABLE	Im laufenden Gang lege den Teilwert fest.	Im laufenden Gang lege den Teilwert fest.	Im laufenden Gang lege den Teilwert fest.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
22	G407-E0022	G407-S001	22	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	syaiir	S+Y+IIN+R	NONSTATE_CARD	NOT_APPLICABLE	Wähle den laufenden Eintrag und kennzeichne den laufenden Eintrag; auf der bezeichneten Stufe.	Wähle den laufenden Eintrag und kennzeichne den laufenden Eintrag; auf der bezeichneten Stufe.	Wähle den laufenden Eintrag und kennzeichne den laufenden Eintrag; auf der bezeichneten Stufe.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
23	G407-E0023	G407-S001	23	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sheky	SH+E+K+Y	NONSTATE_CARD	NOT_APPLICABLE	Halte den laufenden Eintrag fest und ordne den laufenden Eintrag zu; auf Grad I.	Halte den laufenden Eintrag fest und ordne den laufenden Eintrag zu; auf Grad I.	Halte den laufenden Eintrag fest und ordne den laufenden Eintrag zu; auf Grad I.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
24	G407-E0024	G407-S001	24	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	or	OR	NONSTATE_CARD	NOT_APPLICABLE	Im laufenden Gang ordne die Eintragseinheit zu.	Im laufenden Gang ordne die Eintragseinheit zu.	Im laufenden Gang ordne die Eintragseinheit zu.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
25	G407-E0025	G407-S001	25	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ykaiin	Y+K+AIIN	NONSTATE_CARD	NOT_APPLICABLE	Ordne den laufenden Eintrag und den Kennwert zu.	Ordne den laufenden Eintrag und den Kennwert zu.	Ordne den laufenden Eintrag und den Kennwert zu.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
