page_ordinal	physical_page	registers	event_count	statement_count	state_event_count	state_marker_occurrence_count	observed_state_sequences	changed_outer_state_event_count	changed_outer_statement_count	page_status	guard
1	f1r	SOURCE_SECTION_T	214	7	36	40	OL|DY|OT|OT+OL|OL+OT	4	3	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
2	f10r	HERBAL	92	2	23	26	OL|DY|OT|OT+OL	3	2	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
3	f11r	HERBAL	59	2	11	12	OL|DY|OT|OT+OL	1	1	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
4	f13r	HERBAL	77	5	18	23	OL|DY|OT|OL+DY|OT+OL	2	2	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
5	f17r	HERBAL	78	8	19	21	OL|DY|OT|OT+OL	2	2	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
6	f18r	HERBAL	84	5	21	24	OL|DY|OT|OL+DY|OT+OL	1	1	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
7	f24v	HERBAL	86	3	14	17	OL|DY|OT|OT+OL	3	2	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
8	f55v	HERBAL	106	5	17	19	OL|DY|OT|OL+DY|OT+OL	1	1	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
9	f56r	HERBAL	105	3	26	27	OL|DY|OT|OT+OL	1	1	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
10	f67r2	CELESTIAL	126	11	15	18	OL|DY|OT|OL+DY|OT+OL|OL+OL	2	2	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
11	f68r1	CELESTIAL	31	3	8	8	OL|DY|OT	0	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
12	f69v	CELESTIAL	0	0	0	0	NONE	0	0	ZERO_RUNNING_EVENT_PAGE_RETAINED	ADMITTED_PAGE_ORDER_UNCHANGED
13	f70v	CELESTIAL	0	0	0	0	NONE	0	0	ZERO_RUNNING_EVENT_PAGE_RETAINED	ADMITTED_PAGE_ORDER_UNCHANGED
14	f71v	CELESTIAL	78	5	24	24	OL|DY|OT	0	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
15	f72r	CELESTIAL	288	22	105	115	OL|DY|OT|OT+DY|OL+DY|OT+OL|OL+OL	4	2	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
16	f75r	BIOLOGICAL	408	111	172	197	OL|DY|OT|OT+DY|OL+DY|OT+OL|OL+OL|DY+OL	3	3	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
17	f76r	BIOLOGICAL	560	118	187	208	OL|DY|OT|OT+DY|OL+DY|OL+OL	2	2	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
18	f77r	BIOLOGICAL	321	82	141	169	OL|DY|OT|OT+DY|OL+DY|OT+OL	1	1	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
19	f81r	BIOLOGICAL	210	48	114	130	OL|DY|OT|OT+DY|OL+DY|OT+OL|OL+OL	2	2	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
20	f81v	BIOLOGICAL	253	54	102	112	OL|DY|OT|OT+DY|OL+DY|OL+OL	1	1	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
21	f82r	BIOLOGICAL	278	62	101	113	OL|DY|OT|OT+DY|OL+DY|OT+OL|OL+OL	3	3	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
22	f83r	BIOLOGICAL	341	91	139	157	OL|DY|OT|OT+DY|OL+DY	0	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
23	f88r	PHARMA	134	5	41	44	OL|OT|OL+DY|OT+OL	1	1	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
24	f88v	PHARMA	131	13	30	39	OL|DY|OT|OT+DY|OL+DY|OT+OL	3	2	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
25	f89r	PHARMA	338	20	74	85	OL|DY|OT|OL+DY|OT+OL|OL+OL	6	3	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
26	f95v	HERBAL	178	30	56	62	OL|DY|OT|OT+DY|OL+DY	0	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
27	f31r	HERBAL	103	19	25	28	OL|DY|OT|OT+DY|OL+OL	1	1	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
