change_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	state_marker_sequence	entry_operator	follower_operator_sequence	before_clause_de	after_clause_de	change_reason	guard
1	G407-E0034	G407-S001	f1r	SOURCE_SECTION_T	roloty	R+OL+OT+Y	OL+OT	OL	OT	Weiter: kennzeichne den laufenden Eintrag; danach nächsten Gang eröffnen.	Weiter: kennzeichne den laufenden Eintrag; eröffne danach den nächsten Gang.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
2	G407-E0058	G407-S003	f1r	SOURCE_SECTION_T	otchol	OT+CH+OL	OT+OL	OT	OL	Danach: entnimm denselben laufenden Eintrag; weiterführen.	Danach: entnimm denselben laufenden Eintrag; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
3	G407-E0083	G407-S005	f1r	SOURCE_SECTION_T	oteol	OT+E+OL	OT+OL	OT	OL	Danach im laufenden Gang: halte denselben laufenden Eintrag fest; auf Grad I; weiterführen.	Danach im laufenden Gang: halte denselben laufenden Eintrag fest; auf Grad I; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
4	G407-E0158	G407-S005	f1r	SOURCE_SECTION_T	otol	OT+OL	OT+OL	OT	OL	Danach im laufenden Gang: ordne denselben laufenden Eintrag zu; weiterführen.	Danach im laufenden Gang: ordne denselben laufenden Eintrag zu; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
5	G407-E0229	G407-S008	f10r	HERBAL	otytchol	OT+Y+T+CH+OL	OT+OL	OT	OL	Danach: stelle den Pflanzenposten ein und nimm den Pflanzenposten; weiterführen.	Danach: stelle den Pflanzenposten ein und nimm den Pflanzenposten; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
6	G407-E0255	G407-S009	f10r	HERBAL	qotchol	OT+CH+OL	OT+OL	OT	OL	Danach: nimm denselben Pflanzenposten; weiterführen.	Danach: nimm denselben Pflanzenposten; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
7	G407-E0279	G407-S009	f10r	HERBAL	otol	OT+OL	OT+OL	OT	OL	Danach im laufenden Gang: nimm dieselbe Arbeitseinheit; weiterführen.	Danach im laufenden Gang: nimm dieselbe Arbeitseinheit; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
8	G407-E0354	G407-S011	f11r	HERBAL	otol	OT+OL	OT+OL	OT	OL	Danach im laufenden Gang: wähle denselben Pflanzenposten; weiterführen.	Danach im laufenden Gang: wähle denselben Pflanzenposten; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
9	G407-E0406	G407-S012	f13r	HERBAL	otchol	OT+CH+OL	OT+OL	OT	OL	Danach: nimm denselben Pflanzenposten; weiterführen.	Danach: nimm denselben Pflanzenposten; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
10	G407-E0411	G407-S013	f13r	HERBAL	qotchol	OT+CH+OL	OT+OL	OT	OL	Danach: nimm denselben Arbeitswert; weiterführen.	Danach: nimm denselben Arbeitswert; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
