assignment_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	state_marker_sequence	marker_ordinal_in_sequence	recipe_atom_position	operator	working_value	outer_slot	position_realization_de	finite_voice_changed	guard
1	G407-E0005	G407-S001	f1r	SOURCE_SECTION_T	shol	SH+OL	OL	1	2	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
2	G407-E0010	G407-S001	f1r	SOURCE_SECTION_T	sholdy	SH+OL+D_ADDR+Y	OL	1	2	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
3	G407-E0032	G407-S001	f1r	SOURCE_SECTION_T	oteey	OT+EE+Y	OT	1	1	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
4	G407-E0033	G407-S001	f1r	SOURCE_SECTION_T	oteos	OT+E+O+S_ADDR	OT	1	1	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
5	G407-E0034	G407-S001	f1r	SOURCE_SECTION_T	roloty	R+OL+OT+Y	OL+OT	1	2	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
6	G407-E0034	G407-S001	f1r	SOURCE_SECTION_T	roloty	R+OL+OT+Y	OL+OT	2	3	OT	DANACH	FOLLOWER_SUFFIX	eröffne danach den nächsten Gang	YES	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
7	G407-E0048	G407-S002	f1r	SOURCE_SECTION_T	shol	SH+OL	OL	1	2	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
8	G407-E0056	G407-S002	f1r	SOURCE_SECTION_T	shody	SH+O+DY	DY	1	3	DY	ABSCHLIESSEN	FOLLOWER_SUFFIX	schließe den Schritt	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
9	G407-E0058	G407-S003	f1r	SOURCE_SECTION_T	otchol	OT+CH+OL	OT+OL	1	1	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
10	G407-E0058	G407-S003	f1r	SOURCE_SECTION_T	otchol	OT+CH+OL	OT+OL	2	3	OL	FORTSETZEN	FOLLOWER_SUFFIX	führe den Gang weiter	YES	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
11	G407-E0067	G407-S003	f1r	SOURCE_SECTION_T	cfhol	CH+LOCAL_CHAR_F+OL	OL	1	3	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
12	G407-E0068	G407-S003	f1r	SOURCE_SECTION_T	shody	SH+O+DY	DY	1	3	DY	ABSCHLIESSEN	FOLLOWER_SUFFIX	schließe den Schritt	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
13	G407-E0071	G407-S004	f1r	SOURCE_SECTION_T	teody	T+E+O+DY	DY	1	4	DY	ABSCHLIESSEN	FOLLOWER_SUFFIX	schließe den Schritt	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
14	G407-E0074	G407-S005	f1r	SOURCE_SECTION_T	ols	OL+S	OL	1	1	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
15	G407-E0082	G407-S005	f1r	SOURCE_SECTION_T	otairin	OT+AIR+IIN	OT	1	1	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
16	G407-E0083	G407-S005	f1r	SOURCE_SECTION_T	oteol	OT+E+OL	OT+OL	1	1	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
17	G407-E0083	G407-S005	f1r	SOURCE_SECTION_T	oteol	OT+E+OL	OT+OL	2	3	OL	FORTSETZEN	FOLLOWER_SUFFIX	führe den Gang weiter	YES	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
18	G407-E0095	G407-S005	f1r	SOURCE_SECTION_T	oldain	OL+AIN	OL	1	1	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
