master_card_id	short_value_de	registered_surfaces	wrapper_to_surface	fixed_page_wrapper_counts	fixed_page_modal_wrapper	bio_events	bio_surface_counts	distinct_bio_surfaces	bio_line_first_events	bio_prev_dy_events	powered_events	palette_renderer_hits	record_position_hits	writer_rule_de	fixed_page_events
MC002	länger einwirken lassen	okeey|qokeey	NONE->okeey | q->qokeey	NONE:1|q:6	q	7	okeey:1|qokeey:6	2	1	2	7	6	7	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	7
MC005	vorigen Posten überführen	okchedy|qokchedy	NONE->okchedy | q->qokchedy	NONE:1|q:1	NONE	2	okchedy:1|qokchedy:1	2	1	0	2	1	2	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	2
MC007	kurz einwirken lassen	okey|qokey	NONE->okey | q->qokey	NONE:1|q:1	NONE	2	okey:1|qokey:1	2	0	0	2	1	2	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	2
MC017	Anteil zugeben	okain|qokain	NONE->okain | q->qokain	NONE:3|q:4	q	7	okain:3|qokain:4	2	2	2	7	4	6	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	7
MC025	überführen	dchedy|schedy|tchedy	d->dchedy | s->schedy | t->tchedy	d:1|s:2|t:1	s	4	dchedy:1|schedy:2|tchedy:1	3	3	0	4	1	3	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	4
MC026	einsetzen	choky|oky|qoky	NONE->oky | ch->choky | q->qoky	NONE:1|ch:2|q:7	q	7	qoky:7	1	0	2	7	7	7	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	10
MC028	weiterführen	olchedy|qolchedy	NONE->olchedy | q->qolchedy	NONE:1|q:2	q	3	olchedy:1|qolchedy:2	2	0	2	3	3	3	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	3
MC033	Arbeitsstufe	oiiin|soiiin	NONE->oiiin | s->soiiin	NONE:1|s:1	NONE	2	oiiin:1|soiiin:1	2	1	0	0	1	2	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	2
MC035	durchleiten	chckhy|shckhy	ch->chckhy | sh->shckhy	ch:3|sh:1	ch	4	chckhy:3|shckhy:1	2	0	1	4	3	3	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	4
MC039	Sollmaß	aiin|chaiin|daiin|saiin|taiin	NONE->aiin | ch->chaiin | d->daiin | s->saiin | t->taiin	NONE:3|ch:1|d:11|s:4|t:1	d	11	aiin:2|daiin:5|saiin:4	3	4	0	11	5	10	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	20
MC040	dorthin einsetzen	okal|qokal	NONE->okal | q->qokal	NONE:2|q:4	q	5	okal:1|qokal:4	2	0	2	5	4	5	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	6
