event_id	record_unit_id	statement_id	field_id	master_card_id	short_value_de	observed_surface	record_position_surface	wrapper_palette	owner_status	instruction_de
E128	B1	B1-S006	F028	MC035	durchleiten	shckhy	chckhy	ch|sh	INHERITED_VISIBLE	Diese lokale Schreibform aus dem Masterexemplar kopieren; Bedeutung unverändert.
E148	B1	B1-S014	F036	MC153	weiter	qol	ol	NONE|ch|che|q|s|t	INHERITED_VISIBLE	Diese lokale Schreibform aus dem Masterexemplar kopieren; Bedeutung unverändert.
E154	B1	B1-S016	F038	MC153	weiter	qol	ol	NONE|ch|che|q|s|t	INHERITED_VISIBLE	Diese lokale Schreibform aus dem Masterexemplar kopieren; Bedeutung unverändert.
E155	B1	B1-S016	F038	MC128	kurz absetzen	cheedy	shedy	che|sh|t	INHERITED_VISIBLE	Diese lokale Schreibform aus dem Masterexemplar kopieren; Bedeutung unverändert.
E169	B2	B2-S003	F047	MC017	Anteil zugeben	qokain	okain	NONE|q	INHERITED_VISIBLE	Diese lokale Schreibform aus dem Masterexemplar kopieren; Bedeutung unverändert.
E170	B2	B2-S003	F047	MC123	dies	dy	chey	NONE|ch|che|d|s|sh	INHERITED_VISIBLE	Diese lokale Schreibform aus dem Masterexemplar kopieren; Bedeutung unverändert.
E207	B2	B2-S012	F059	MC039	Sollmaß	daiin	aiin	NONE|ch|d|s|t	DIRECT_VISIBLE	Diese lokale Schreibform aus dem Masterexemplar kopieren; Bedeutung unverändert.
E271	B3	B3-S021	F092	MC161	bereit	shcthy	checthy	NONE|che|sh	UNRESOLVED	Diese lokale Schreibform aus dem Masterexemplar kopieren; Bedeutung unverändert.
E278	B3	B3-S021	F093	MC154	dorthin	tal	dal	NONE|ch|che|d|s|t	UNRESOLVED	Diese lokale Schreibform aus dem Masterexemplar kopieren; Bedeutung unverändert.
E279	B3	B3-S021	F093	MC161	bereit	shcthy	checthy	NONE|che|sh	UNRESOLVED	Diese lokale Schreibform aus dem Masterexemplar kopieren; Bedeutung unverändert.
E283	B3	B3-S024	F096	MC025	überführen	tchedy	schedy	d|s|t	UNRESOLVED	Diese lokale Schreibform aus dem Masterexemplar kopieren; Bedeutung unverändert.
E291	B3	B3-S026	F099	MC045	lange sammeln	solkeedy	olkeedy	NONE|s	DIRECT_VISIBLE	Diese lokale Schreibform aus dem Masterexemplar kopieren; Bedeutung unverändert.
