hazard_ordinal	gdt584_upstream_clause_de	affected_action_count	distinct_final_clause_count	completion_layer_profile	example_governor_keys	final_clauses_de	required_join_key
1	Halte im Bad auf Grad I	104	10	GDT596_SH_OBJECT_PHRASEBOOK:104	ACTION:G407-E1431@1:SH|ACTION:G407-E1520@1:SH|ACTION:G407-E1523@2:SH|ACTION:G407-E1560@1:SH|ACTION:G407-E1563@1:SH	Halte den Körper im Bad auf Grad I || Halte den Stationsansatz im Bad auf Grad I || Halte denselben Körper im Bad auf Grad I || Halte denselben Stationsansatz im Bad auf Grad I || Halte denselben Strom im Badbetrieb auf Grad I || Halte die Anwendungsportion im Bad auf Grad I || Halte dieselbe Anwendungsportion im Bad auf Grad I || Halte dieselbe Badeinheit im Bad auf Grad I || Halte dieselbe Becken- oder Körpereinheit im Bad auf Grad I || Halte dieselbe Stationseinheit im Bad auf Grad I	EXACT_ACTION_SLOT_ID__CLAUSE_STRING_REPLACEMENT_IS_UNSAFE
2	Behandle den Ansatz	42	5	GDT597_NONSH_OBJECT_PHRASEBOOK:42	ACTION:G407-E1477@2:CHD|ACTION:G407-E1494@2:CHD|ACTION:G407-E1501@2:CHD|ACTION:G407-E1534@2:CHD|ACTION:G407-E1561@2:CHD	Behandle den Stationsansatz || Behandle denselben Körper || Behandle denselben Stationsansatz || Behandle dieselbe Anwendungsportion || Behandle dieselbe Becken- oder Körpereinheit	EXACT_ACTION_SLOT_ID__CLAUSE_STRING_REPLACEMENT_IS_UNSAFE
3	Behandle den Ansatz über den Stationskontakt oder die Leitung	28	3	GDT597_NONSH_OBJECT_PHRASEBOOK:28	ACTION:G407-E1512@2:CHD|ACTION:G407-E1644@2:CHD|ACTION:G407-E1675@3:CHD|ACTION:G407-E2455@2:CHD|ACTION:G407-E2512@2:CHD	Behandle den Stationsansatz über den Stationskontakt oder die Leitung || Behandle denselben Körper über den Stationskontakt oder die Leitung || Behandle denselben Stationsansatz über den Stationskontakt oder die Leitung	EXACT_ACTION_SLOT_ID__CLAUSE_STRING_REPLACEMENT_IS_UNSAFE
4	Wähle die Einheit aus	22	8	GDT597_NONSH_OBJECT_PHRASEBOOK:22	ACTION:G407-E1435@1:S|ACTION:G407-E1523@1:S|ACTION:G407-E1628@1:S|ACTION:G407-E1716@2:S|ACTION:G407-E1731@1:S	Wähle dasselbe Stations- oder Badmaß aus || Wähle dasselbe Stationsmaß aus || Wähle den Körper aus || Wähle den Stationsansatz aus || Wähle denselben Stationsansatz aus || Wähle die Stationseinheit aus || Wähle dieselbe Anwendungsportion aus || Wähle dieselbe Becken- oder Körpereinheit aus	EXACT_ACTION_SLOT_ID__CLAUSE_STRING_REPLACEMENT_IS_UNSAFE
5	Halte im Bad auf Grad II	20	4	GDT596_SH_OBJECT_PHRASEBOOK:20	ACTION:G407-E1445@1:SH|ACTION:G407-E1565@1:SH|ACTION:G407-E1582@1:SH|ACTION:G407-E1673@1:SH|ACTION:G407-E1742@1:SH	Halte den Körper im Bad auf Grad II || Halte denselben Stationsansatz im Bad auf Grad II || Halte die Badeinheit im Bad auf Grad II || Halte dieselbe Anwendungsportion im Bad auf Grad II	EXACT_ACTION_SLOT_ID__CLAUSE_STRING_REPLACEMENT_IS_UNSAFE
6	Temperiere auf Grad I	6	3	GDT597_NONSH_OBJECT_PHRASEBOOK:6	ACTION:G407-E1511@1:T|ACTION:G407-E1728@3:T|ACTION:G407-E2433@1:T|ACTION:G407-E2786@1:T|ACTION:G407-E3173@1:T	Temperiere den Stationsansatz auf Grad I || Temperiere denselben Stationsansatz auf Grad I || Temperiere dieselbe Anwendungsportion auf Grad I	EXACT_ACTION_SLOT_ID__CLAUSE_STRING_REPLACEMENT_IS_UNSAFE
7	Behandle den Ansatz von der Ausgangsstation oder aus dem Ausgangsbecken	5	2	GDT597_NONSH_OBJECT_PHRASEBOOK:5	ACTION:G407-E1572@2:CHD|ACTION:G407-E2402@3:CHD|ACTION:G407-E3269@1:CHD|ACTION:G407-E3317@1:CHD|ACTION:G407-E3459@2:CHD	Behandle den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken || Behandle denselben Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken	EXACT_ACTION_SLOT_ID__CLAUSE_STRING_REPLACEMENT_IS_UNSAFE
8	Wähle die Einheit an der Stations-Hauptstelle aus	5	3	GDT597_NONSH_OBJECT_PHRASEBOOK:5	ACTION:G407-E2568@1:S|ACTION:G407-E2706@1:S|ACTION:G407-E3061@1:S|ACTION:G407-E3329@3:S|ACTION:G407-E3341@1:S	Wähle den Stationsansatz an der Stations-Hauptstelle aus || Wähle denselben Körper an der Stations-Hauptstelle aus || Wähle denselben Stationsansatz an der Stations-Hauptstelle aus	EXACT_ACTION_SLOT_ID__CLAUSE_STRING_REPLACEMENT_IS_UNSAFE
9	Halte das Stations- oder Badmaß im Bad auf Grad I	4	2	GDT596_SH_OBJECT_PHRASEBOOK:4	ACTION:G407-E2426@1:SH|ACTION:G407-E3218@1:SH|ACTION:G407-E3441@1:SH|ACTION:G407-E3621@1:SH	Halte den Körper im Bad bei der angegebenen Füllung auf Grad I || Halte denselben Stationsansatz im Bad bei der angegebenen Füllung auf Grad I	EXACT_ACTION_SLOT_ID__CLAUSE_STRING_REPLACEMENT_IS_UNSAFE
10	Temperiere	4	2	GDT597_NONSH_OBJECT_PHRASEBOOK:4	ACTION:G407-E1740@2:T|ACTION:G407-E2421@2:T|ACTION:G407-E2784@2:T|ACTION:G407-E3200@3:T	Temperiere den Stationsansatz || Temperiere dieselbe Anwendungsportion	EXACT_ACTION_SLOT_ID__CLAUSE_STRING_REPLACEMENT_IS_UNSAFE
