host_ordinal_global	statement_id	host_ordinal_in_statement	physical_page	register	owner_id	primary_governor_key	anchor_event_id	action_root	action_slot_id	gdt584_rule_id	paragraph_boundary	integration_status	completion_layer	written_carrier_count	written_carrier_roots	written_carrier_lemmas_de	object_class	object_lemma_de	rendered_object_np_de	typing_card_id	reference_scope_card_id	reference_mode	source_pointer	gdt584_upstream_clause_de	gdt598_integrated_clause_de	clause_changed	guard
1717	G407-S082	1	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	ACTION:G407-E1425@1:K	G407-E1425	K	RUNNING:G407-E1425@1	GDT582_RETAINED_NON_TARGET	NONE	REMAINING_ACTION_GAP	UPSTREAM_GDT584	0	NONE	NONE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Führe zu	Führe zu	NO	SIX_FIXED_PAGES__GDT596_PLUS_GDT597_EXACT_PATCH__UPSTREAM_OTHER_HOSTS__NO_NEW_PAGE_ROOT_PARSER_OR_SEGMENT
1718	G407-S082	2	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	ACTION:G407-E1425@2:CHD	G407-E1425	CHD	RUNNING:G407-E1425@2	CHD_BIO_TREAT	NONE	COMPLETED_OBJECT_ACTION	GDT597_NONSH_OBJECT_PHRASEBOOK	1	Y	Stationsansatz	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1425@2:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO	SIX_FIXED_PAGES__GDT596_PLUS_GDT597_EXACT_PATCH__UPSTREAM_OTHER_HOSTS__NO_NEW_PAGE_ROOT_PARSER_OR_SEGMENT
1719	G407-S082	3	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	ACTION:G407-E1425@4:K	G407-E1425	K	RUNNING:G407-E1425@4	GDT582_RETAINED_NON_TARGET	NONE	REMAINING_ACTION_GAP	UPSTREAM_GDT584	1	Y	Stationsansatz	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Führe den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken zu	Führe den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken zu	NO	SIX_FIXED_PAGES__GDT596_PLUS_GDT597_EXACT_PATCH__UPSTREAM_OTHER_HOSTS__NO_NEW_PAGE_ROOT_PARSER_OR_SEGMENT
1720	G407-S082	4	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	ACTION:G407-E1426@1:OK	G407-E1426	OK	RUNNING:G407-E1426@1	GDT582_RETAINED_NON_TARGET	NONE	REMAINING_ACTION_GAP	UPSTREAM_GDT584	1	Y	Stationsansatz	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Beschicke oder bereite den Stationsansatz auf Grad II vor	Beschicke oder bereite den Stationsansatz auf Grad II vor	NO	SIX_FIXED_PAGES__GDT596_PLUS_GDT597_EXACT_PATCH__UPSTREAM_OTHER_HOSTS__NO_NEW_PAGE_ROOT_PARSER_OR_SEGMENT
1721	G407-S082	5	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	ACTION:G407-E1427@1:OK	G407-E1427	OK	RUNNING:G407-E1427@1	GDT582_RETAINED_NON_TARGET	NONE	REMAINING_ACTION_GAP	UPSTREAM_GDT584	0	NONE	NONE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor	Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor	NO	SIX_FIXED_PAGES__GDT596_PLUS_GDT597_EXACT_PATCH__UPSTREAM_OTHER_HOSTS__NO_NEW_PAGE_ROOT_PARSER_OR_SEGMENT
1722	G407-S082	6	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	ACTION:G407-E1428@2:K	G407-E1428	K	RUNNING:G407-E1428@2	GDT582_RETAINED_NON_TARGET	NONE	REMAINING_ACTION_GAP	UPSTREAM_GDT584	1	Y	Stationsansatz	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Führe den Stationsansatz zu	Führe den Stationsansatz zu	NO	SIX_FIXED_PAGES__GDT596_PLUS_GDT597_EXACT_PATCH__UPSTREAM_OTHER_HOSTS__NO_NEW_PAGE_ROOT_PARSER_OR_SEGMENT
1723	G407-S082	7	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	ACTION:G407-E1429@1:CHD	G407-E1429	CHD	RUNNING:G407-E1429@1	CHD_BIO_TREAT	NONE	COMPLETED_OBJECT_ACTION	GDT597_NONSH_OBJECT_PHRASEBOOK	1	Y	Stationsansatz	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1429@1:CHD	Behandle den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken	Behandle den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken	NO	SIX_FIXED_PAGES__GDT596_PLUS_GDT597_EXACT_PATCH__UPSTREAM_OTHER_HOSTS__NO_NEW_PAGE_ROOT_PARSER_OR_SEGMENT
1724	G407-S082	8	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	CONTROL:G407-E1430@1:OT	G407-E1430	CONTROL	NONE	CONTROL_READER_REALIZATION	PARAGRAPH_AFTER	NON_ACTION_RETAINED	UPSTREAM_GDT584	0	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	Beginne danach den nächsten Arbeitsgang	Beginne danach den nächsten Arbeitsgang	NO	SIX_FIXED_PAGES__GDT596_PLUS_GDT597_EXACT_PATCH__UPSTREAM_OTHER_HOSTS__NO_NEW_PAGE_ROOT_PARSER_OR_SEGMENT
1725	G407-S082	9	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	ACTION:G407-E1431@1:SH	G407-E1431	SH	RUNNING:G407-E1431@1	SH_BIO_BATHE	NONE	COMPLETED_OBJECT_ACTION	GDT596_SH_OBJECT_PHRASEBOOK	0	NONE	NONE	BODY	Körper	den Körper	T05_BODY_FIRST_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	DEFAULT:BODY	Halte im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES	SIX_FIXED_PAGES__GDT596_PLUS_GDT597_EXACT_PATCH__UPSTREAM_OTHER_HOSTS__NO_NEW_PAGE_ROOT_PARSER_OR_SEGMENT
1726	G407-S082	10	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	CONTROL:G407-E1431@3:DY	G407-E1431	CONTROL	NONE	CONTROL_READER_REALIZATION	PARAGRAPH_AFTER	NON_ACTION_RETAINED	UPSTREAM_GDT584	0	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	Schließe den Arbeitsgang	Schließe den Arbeitsgang	NO	SIX_FIXED_PAGES__GDT596_PLUS_GDT597_EXACT_PATCH__UPSTREAM_OTHER_HOSTS__NO_NEW_PAGE_ROOT_PARSER_OR_SEGMENT
