gap_ordinal	host_ordinal_global	statement_id	host_ordinal_in_statement	physical_page	register	primary_governor_key	anchor_event_id	action_slot_id	action_root	gdt584_rule_id	written_carrier_count	written_carrier_roots	written_carrier_lemmas_de	gdt584_upstream_clause_de	gap_route	next_object_task
1	1717	G407-S082	1	f75r	BIOLOGICAL	ACTION:G407-E1425@1:K	G407-E1425	RUNNING:G407-E1425@1	K	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Führe zu	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
2	1719	G407-S082	3	f75r	BIOLOGICAL	ACTION:G407-E1425@4:K	G407-E1425	RUNNING:G407-E1425@4	K	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Führe den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken zu	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
3	1720	G407-S082	4	f75r	BIOLOGICAL	ACTION:G407-E1426@1:OK	G407-E1426	RUNNING:G407-E1426@1	OK	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Beschicke oder bereite den Stationsansatz auf Grad II vor	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
4	1721	G407-S082	5	f75r	BIOLOGICAL	ACTION:G407-E1427@1:OK	G407-E1427	RUNNING:G407-E1427@1	OK	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
5	1722	G407-S082	6	f75r	BIOLOGICAL	ACTION:G407-E1428@2:K	G407-E1428	RUNNING:G407-E1428@2	K	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Führe den Stationsansatz zu	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
6	1729	G407-S083	3	f75r	BIOLOGICAL	ACTION:G407-E1435@2:SH	G407-E1435	RUNNING:G407-E1435@2	SH	SH_REST_HOLD	0	NONE	NONE	Halte den Zustand	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
7	1735	G407-S084	2	f75r	BIOLOGICAL	ACTION:G407-E1437@3:K	G407-E1437	RUNNING:G407-E1437@3	K	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Führe von der Ausgangsstation oder aus dem Ausgangsbecken zu	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
8	1736	G407-S084	3	f75r	BIOLOGICAL	ACTION:G407-E1438@1:CH	G407-E1438	RUNNING:G407-E1438@1	CH	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Entnimm oder lass ab	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
9	1737	G407-S084	4	f75r	BIOLOGICAL	ACTION:G407-E1438@2:K	G407-E1438	RUNNING:G407-E1438@2	K	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Führe auf Grad II zu	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
10	1739	G407-S085	1	f75r	BIOLOGICAL	ACTION:G407-E1439@1:R	G407-E1439	RUNNING:G407-E1439@1	R	GDT582_RETAINED_NON_TARGET	1	OR	Becken- oder Körpereinheit	Kennzeichne oder prüfe die Becken- oder Körpereinheit	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
11	1740	G407-S085	2	f75r	BIOLOGICAL	ACTION:G407-E1440@1:OK	G407-E1440	RUNNING:G407-E1440@1	OK	GDT582_RETAINED_NON_TARGET	1	AIN	Anwendungsportion	Beschicke oder bereite die Anwendungsportion vor	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
