completed_action_ordinal	host_ordinal_global	statement_id	host_ordinal_in_statement	physical_page	primary_governor_key	anchor_event_id	action_slot_id	action_root	gdt584_rule_id	completion_layer	object_class	object_lemma_de	rendered_object_np_de	typing_card_id	reference_scope_card_id	reference_mode	source_pointer	gdt584_upstream_clause_de	gdt598_integrated_clause_de	clause_changed
1	1718	G407-S082	2	f75r	ACTION:G407-E1425@2:CHD	G407-E1425	RUNNING:G407-E1425@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1425@2:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
2	1723	G407-S082	7	f75r	ACTION:G407-E1429@1:CHD	G407-E1429	RUNNING:G407-E1429@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1429@1:CHD	Behandle den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken	Behandle den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken	NO
3	1725	G407-S082	9	f75r	ACTION:G407-E1431@1:SH	G407-E1431	RUNNING:G407-E1431@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T05_BODY_FIRST_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	DEFAULT:BODY	Halte im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES
4	1727	G407-S083	1	f75r	ACTION:G407-E1433@1:SH	G407-E1433	RUNNING:G407-E1433@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E1433:RUNNING:G407-E1432@1|RUNNING:G407-E1433@3|RUNNING:G407-E1434@2	Halte die Anwendungsportion und den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung	Halte die Anwendungsportion und den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung	NO
5	1728	G407-S083	2	f75r	ACTION:G407-E1435@1:S	G407-E1435	RUNNING:G407-E1435@1	S	S_REST_SELECT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E1433@1:SH	Wähle die Einheit aus	Wähle denselben Stationsansatz aus	YES
6	1734	G407-S084	1	f75r	ACTION:G407-E1437@1:CHD	G407-E1437	RUNNING:G407-E1437@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1437@1:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
7	1743	G407-S085	5	f75r	ACTION:G407-E1445@1:SH	G407-E1445	RUNNING:G407-E1445@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	PORTION	Anwendungsportion	dieselbe Anwendungsportion	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	ANAPHORIC	GDT595:G407-E1445:RUNNING:G407-E1444@2	Halte im Bad auf Grad II	Halte dieselbe Anwendungsportion im Bad auf Grad II	YES
8	1745	G407-S085	7	f75r	ACTION:G407-E1446@2:T	G407-E1446	RUNNING:G407-E1446@2	T	T_BIO_STATION_REGULATE	GDT597_NONSH_OBJECT_PHRASEBOOK	PORTION	Anwendungsportion	die Anwendungsportion	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1446@2:T	Reguliere die Anwendungsportion über den Stationskontakt oder die Leitung	Reguliere die Anwendungsportion über den Stationskontakt oder die Leitung	NO
9	1752	G407-S085	14	f75r	ACTION:G407-E1452@2:SH	G407-E1452	RUNNING:G407-E1452@2	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E1452:RUNNING:G407-E1452@4	Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung	Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung	NO
10	1754	G407-S085	16	f75r	ACTION:G407-E1455@1:SH	G407-E1455	RUNNING:G407-E1455@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E1455:RUNNING:G407-E1455@3	Halte den Stationsansatz im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES
