family	surface	composition	predicted_reading_de	zl3b_occurrences	pages	reader_exact_occurrences	split_normalized_occurrences	planned_status	final_status
OR_OL_FUSION_FAMILY	orol	OR_PORTION+OL_MATERIAL	Drogenstoffportion	10	8	9	9	TARGET	ACCEPTED_V30
CKH_AL_FORM_FAMILY	chckhal	ch+CKH_LEARNED+AL_BOUND	trockenes Arzneikompositum, Rohstoffform I	4	4	4	4	TARGET	ACCEPTED_V30
O_PREP_CTH_RESULT_FAMILY	octhdy	O_PREP+CTH_LEARNED+d+y	fertig aufbereitete Drogenzubereitung, Grundform	2	2	2	2	TARGET	ACCEPTED_V30
DAL_LEARNED_MATERIA_FAMILY	chdaly	ch+DAL_LEARNED+y	trockener Rohdrogenposten, Grundform	3	3	3	3	TARGET	ACCEPTED_V30
S_ODAL_SEED_PREPARATION_FAMILY	sodal	S_SEED+O_PREP+DAL_LEARNED	Ansatz aus einem Saatdrogenposten	2	2	1	1	TARGET	ACCEPTED_V30
S_K_AR_SEED_FRACTION_FAMILY	skar	S_SEED+K_HEISS+AR_FRACTION_I	heiße Samenfraktion I	1	1	1	1	TARGET	ACCEPTED_V30
OR_OL_FUSION_FAMILY	or	OR_PORTION	Portions-/Nominalträger	321	114	235	235	V29_ANCHOR	V29_ANCHOR
OR_OL_FUSION_FAMILY	ol	OL_MATERIAL	Drogenstoff-/Materialträger	463	108	376	376	V29_ANCHOR	V29_ANCHOR
CKH_AL_FORM_FAMILY	ckhal	CKH_LEARNED+AL_BOUND	Arzneikompositum, Rohstoffform I	3	3	3	3	SISTER_SUPPORT_HOLD	SISTER_SUPPORT_HOLD
CKH_AL_FORM_FAMILY	sheckhal	sh+E_ATTR+CKH_LEARNED+AL_BOUND	feuchtes Arzneikompositum, Rohstoffform I	2	2	2	2	SISTER_SUPPORT_HOLD	SISTER_SUPPORT_HOLD
O_PREP_CTH_RESULT_FAMILY	octhy	O_PREP+CTH_LEARNED+y	CTH-Zubereitung, Grundform	9	9	9	9	V29_ANCHOR	V29_ANCHOR
O_PREP_CTH_RESULT_FAMILY	octhey	O_PREP+CTH_LEARNED+e+y	CTH-Zubereitung, Form I	3	3	2	2	V29_ANCHOR	V29_ANCHOR
O_PREP_CTH_RESULT_FAMILY	octheey	O_PREP+CTH_LEARNED+ee+y	CTH-Zubereitung, Form II	0	0	0	0	ABSENT_PREDICTION	ABSENT_HOLD
O_PREP_CTH_RESULT_FAMILY	octhedy	O_PREP+CTH_LEARNED+e+d+y	CTH-Zubereitung, Form I, fertig aufbereitet	1	1	0	0	SISTER_SUPPORT_HOLD	SISTER_SUPPORT_HOLD
O_PREP_CTH_RESULT_FAMILY	octheedy	O_PREP+CTH_LEARNED+ee+d+y	CTH-Zubereitung, Form II, fertig aufbereitet	0	0	0	0	ABSENT_PREDICTION	ABSENT_HOLD
DAL_LEARNED_MATERIA_FAMILY	dal	DAL_LEARNED	Rohdrogenposten	191	87	147	147	SISTER_SUPPORT_HOLD	SISTER_SUPPORT_HOLD
DAL_LEARNED_MATERIA_FAMILY	daly	DAL_LEARNED+y	Rohdrogenposten, Grundform	24	19	18	18	SISTER_SUPPORT_HOLD	SISTER_SUPPORT_HOLD
DAL_LEARNED_MATERIA_FAMILY	daldy	DAL_LEARNED+d+y	Rohdrogenposten, Grundform, abgeschlossen	19	17	6	8	SISTER_SUPPORT_HOLD	SISTER_SUPPORT_HOLD
DAL_LEARNED_MATERIA_FAMILY	shedal	sh+E_ATTR+DAL_LEARNED	feuchter Rohdrogenposten	11	7	7	7	SISTER_SUPPORT_HOLD	SISTER_SUPPORT_HOLD
S_ODAL_SEED_PREPARATION_FAMILY	odal	O_PREP+DAL_LEARNED	angesetzter Rohdrogenposten	14	14	11	11	SISTER_SUPPORT_HOLD	SISTER_SUPPORT_HOLD
S_K_AR_SEED_FRACTION_FAMILY	kar	K_HEISS+AR_FRACTION_I	heiße Fraktion I	57	42	42	42	SISTER_SUPPORT_HOLD	SISTER_SUPPORT_HOLD
S_K_AR_SEED_FRACTION_FAMILY	sar	S_SEED+AR_FRACTION_I	Samenfraktion I	62	44	45	47	V29_ANCHOR	V29_ANCHOR
S_K_AR_SEED_FRACTION_FAMILY	lkar	L_WOOD+K_HEISS+AR_FRACTION_I	heiße Holzfraktion I	31	21	29	29	V29_ANCHOR	V29_ANCHOR
S_K_AR_SEED_FRACTION_FAMILY	rkar	R_ROOT+K_HEISS+AR_FRACTION_I	heiße Wurzelfraktion I	1	1	1	1	SISTER_SUPPORT_HOLD	SISTER_SUPPORT_HOLD
S_K_AR_SEED_FRACTION_FAMILY	qokar	qo+K_HEISS+AR_FRACTION_I	V29: heiße Portion; Kompositionsrivale: heiße Fraktion I	153	62	132	132	UPSTREAM_SEMANTIC_CONFLICT	UPSTREAM_SEMANTIC_CONFLICT
