page	locus	target_surfaces	zl3b_line	v29_tokenwise_de	v30_tokenwise_de	v30_working_reading_de	complete_v30
f100r	f100r.18	orol	orol	[orol:?]	Drogenstoffportion	Drogenstoffportion	True
f103r	f103r.3	orol	yshdain sheek cheoty eeokal chedy chckhy or orol okaiin eeal ot kar otar chal	[yshdain:?] | [sheek:?] | [cheoty:?] | [eeokal:?] | trocken in der Mitte des Grades, abgeschlossen | Arzneikompositum: trocken, Gradanfang | Teil-/Nominalträger; genaue Basisbedeutung offen | [orol:?] | heiß, Grad III, im Ansatzrahmen | [eeal:?] | [ot:?] | [kar:?] | [otar:?] | [chal:?]	[yshdain:?] | [sheek:?] | [cheoty:?] | [eeokal:?] | trocken in der Mitte des Grades, abgeschlossen | Arzneikompositum: trocken, Gradanfang | Teil-/Nominalträger; genaue Basisbedeutung offen | Drogenstoffportion | heiß, Grad III, im Ansatzrahmen | [eeal:?] | [ot:?] | [kar:?] | [otar:?] | [chal:?]	[yshdain:?]; [sheek:?]; [cheoty:?]; [eeokal:?]; trocken in der Mitte des Grades, abgeschlossen; Arzneikompositum: trocken, Gradanfang; Teil-/Nominalträger; genaue Basisbedeutung offen; Drogenstoffportion; heiß, Grad III, im Ansatzrahmen; [eeal:?]; [ot:?]; [kar:?]; [otar:?]; [chal:?]	False
f103r	f103r.30	chdaly	pcholkchdy sheckhy qokey okaiin shedy chpchy opchedy oteeykshy chdaly	[pcholkchdy:?] | feuchtes Arzneikompositum am Gradanfang | heiß in der Mitte des Grades | heiß, Grad III, im Ansatzrahmen | feucht in der Mitte des Grades, abgeschlossen | [chpchy:?] | [opchedy:?] | [oteeykshy:?] | [chdaly:?]	[pcholkchdy:?] | feuchtes Arzneikompositum am Gradanfang | heiß in der Mitte des Grades | heiß, Grad III, im Ansatzrahmen | feucht in der Mitte des Grades, abgeschlossen | [chpchy:?] | [opchedy:?] | [oteeykshy:?] | trockener Rohdrogenposten, Grundform	[pcholkchdy:?]; feuchtes Arzneikompositum am Gradanfang; heiß in der Mitte des Grades; heiß, Grad III, im Ansatzrahmen; feucht in der Mitte des Grades, abgeschlossen; [chpchy:?]; [opchedy:?]; [oteeykshy:?]; trockener Rohdrogenposten, Grundform	False
f107r	f107r.27	orol	pydar aiirod qokiir otiir ofchedy qofchedy qofchol chkaiin chpaiin orol	[pydar:?] | [aiirod:?] | [qokiir:?] | [otiir:?] | [ofchedy:?] | [qofchedy:?] | [qofchol:?] | heiß-trocken, Grad III | [chpaiin:?] | [orol:?]	[pydar:?] | [aiirod:?] | [qokiir:?] | [otiir:?] | [ofchedy:?] | [qofchedy:?] | [qofchol:?] | heiß-trocken, Grad III | [chpaiin:?] | Drogenstoffportion	[pydar:?]; [aiirod:?]; [qokiir:?]; [otiir:?]; [ofchedy:?]; [qofchedy:?]; [qofchol:?]; heiß-trocken, Grad III; [chpaiin:?]; Drogenstoffportion	False
f111r	f111r.50	chckhal	okeey l chedy cheekain qokeeokain chckhy cheal keel qokain chckhal lkal	heißer Ansatz am Ende des Grades | [l:?] | trocken in der Mitte des Grades, abgeschlossen | [cheekain:?] | [qokeeokain:?] | Arzneikompositum: trocken, Gradanfang | [cheal:?] | [keel:?] | heiß, Grad II | [chckhal:?] | [lkal:?]	heißer Ansatz am Ende des Grades | [l:?] | trocken in der Mitte des Grades, abgeschlossen | [cheekain:?] | [qokeeokain:?] | Arzneikompositum: trocken, Gradanfang | [cheal:?] | [keel:?] | heiß, Grad II | trockenes Arzneikompositum, Rohstoffform I | [lkal:?]	heißer Ansatz am Ende des Grades; [l:?]; trocken in der Mitte des Grades, abgeschlossen; [cheekain:?]; [qokeeokain:?]; Arzneikompositum: trocken, Gradanfang; [cheal:?]; [keel:?]; heiß, Grad II; trockenes Arzneikompositum, Rohstoffform I; [lkal:?]	False
f111v	f111v.40	chckhal	ykeeey lkain chckhy chokain chckhal sheckhedy qokeey qokeedy lchsl	[ykeeey:?] | [lkain:?] | Arzneikompositum: trocken, Gradanfang | [chokain:?] | [chckhal:?] | feuchtes Arzneikompositum in der Gradmitte, abgeschlossen | heiß am Ende des Grades | heiß am Ende des Grades, abgeschlossen | [lchsl:?]	[ykeeey:?] | [lkain:?] | Arzneikompositum: trocken, Gradanfang | [chokain:?] | trockenes Arzneikompositum, Rohstoffform I | feuchtes Arzneikompositum in der Gradmitte, abgeschlossen | heiß am Ende des Grades | heiß am Ende des Grades, abgeschlossen | [lchsl:?]	[ykeeey:?]; [lkain:?]; Arzneikompositum: trocken, Gradanfang; [chokain:?]; trockenes Arzneikompositum, Rohstoffform I; feuchtes Arzneikompositum in der Gradmitte, abgeschlossen; heiß am Ende des Grades; heiß am Ende des Grades, abgeschlossen; [lchsl:?]	False
f112r	f112r.23	octhdy	qoain qoiin olcheedy dairiy teedy qopol chdy oteor octhdy otychey	[qoain:?] | [qoiin:?] | [olcheedy:?] | [dairiy:?] | kalt am Ende des Grades, abgeschlossen | [qopol:?] | trocken am Anfang des Grades, abgeschlossen | [oteor:?] | [octhdy:?] | [otychey:?]	[qoain:?] | [qoiin:?] | [olcheedy:?] | [dairiy:?] | kalt am Ende des Grades, abgeschlossen | [qopol:?] | trocken am Anfang des Grades, abgeschlossen | [oteor:?] | fertig aufbereitete Drogenzubereitung, Grundform | [otychey:?]	[qoain:?]; [qoiin:?]; [olcheedy:?]; [dairiy:?]; kalt am Ende des Grades, abgeschlossen; [qopol:?]; trocken am Anfang des Grades, abgeschlossen; [oteor:?]; fertig aufbereitete Drogenzubereitung, Grundform; [otychey:?]	False
f112v	f112v.16	chdaly	saiin okeey sheey qoteedy qokey chedy qokeey qokeey chdaly	Samen/Saatgut, Typ/Charge III | heißer Ansatz am Ende des Grades | feucht am Ende des Grades | kalt am Ende des Grades, abgeschlossen | heiß in der Mitte des Grades | trocken in der Mitte des Grades, abgeschlossen | heiß am Ende des Grades | heiß am Ende des Grades | [chdaly:?]	Samen/Saatgut, Typ/Charge III | heißer Ansatz am Ende des Grades | feucht am Ende des Grades | kalt am Ende des Grades, abgeschlossen | heiß in der Mitte des Grades | trocken in der Mitte des Grades, abgeschlossen | heiß am Ende des Grades | heiß am Ende des Grades | trockener Rohdrogenposten, Grundform	Samen/Saatgut, Typ/Charge III; heißer Ansatz am Ende des Grades; feucht am Ende des Grades; kalt am Ende des Grades, abgeschlossen; heiß in der Mitte des Grades; trocken in der Mitte des Grades, abgeschlossen; heiß am Ende des Grades; heiß am Ende des Grades; trockener Rohdrogenposten, Grundform	True
f114r	f114r.13	octhdy	qokchedy daiin octhdy	heiß und trocken in der Mitte des Grades, abgeschlossen | Grad-/Maßwert III | [octhdy:?]	heiß und trocken in der Mitte des Grades, abgeschlossen | Grad-/Maßwert III | fertig aufbereitete Drogenzubereitung, Grundform	heiß und trocken in der Mitte des Grades, abgeschlossen; Grad-/Maßwert III; fertig aufbereitete Drogenzubereitung, Grundform	True
f116r	f116r.50	sodal	sodal ch al chcthy chckhy qol ain ary	[sodal:?] | [ch:?] | [al:?] | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | Arzneikompositum: trocken, Gradanfang | [qol:?] | Menge-/Klassenwert II | [ary:?]	Ansatz aus einem Saatdrogenposten | [ch:?] | [al:?] | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | Arzneikompositum: trocken, Gradanfang | [qol:?] | Menge-/Klassenwert II | [ary:?]	Ansatz aus einem Saatdrogenposten; [ch:?]; [al:?]; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; Arzneikompositum: trocken, Gradanfang; [qol:?]; Menge-/Klassenwert II; [ary:?]	False
