bridge_id	family	page	locus	diagnostic_surface	zl3b_line	it2a_line	rf1b_line	supports
G653-B01	OR_OL_FUSION_FAMILY	f34v	f34v.3	or ol / orol	ytal shor chdal olchdy char or ol kedaiiin chcthy okchdy chckhy dasam	ytal seor chdal olchdy char or ol kedaiiin chcthy okchdy chckhy dasam	ytal shor ch al olchdy char or ol ke aiiin chcthy o ch y chckhy ar ag	all-reader separated OR OL witness for the fused target
G653-B02	OR_OL_FUSION_FAMILY	f78v	f78v.25	or ol / orol	teeol olkeshey qolcheol ol or sheckhedy or ol sham	teeol olkeshey qolcheol ol or sheckhedy or ol sham	teeol olkeshey qolcheol ol or sheckhedy or ol sham	all-reader separated OR OL witness for the fused target
G653-B03	OR_OL_FUSION_FAMILY	f104v	f104v.33	or ol / orol	yteeey cheeod ykeey kaiin qokaiin cheey or ol ar odar chedain etar ar air ary	yteeey cheeod ykeey kaiin qokaiin cheey or ol ar odar chedain etar arair ary	yteeey cheeod ykeey kaiin qokaiin cheey or ol ar odar chedain etar ar air ary	all-reader separated OR OL witness for the fused target
G653-B04	O_PREP_CTH_RESULT_FAMILY	f112r	f112r.23	octhdy	qoain qoiin olcheedy dairiy teedy qopol chdy oteor octhdy otychey	qoain qoiin olcheedy dairiy teedy qopol chdy oteor octhdy otychey	qoeiin qoiin olcheedy dairiy teedy qopol chdy oteor octhdy otychey	second all-reader exact OCTHDY occurrence in a longer preparation/quality list
G653-B05	DAL_LEARNED_MATERIA_FAMILY	f75v	f75v.22	daldy / dal dy	daldy	dal dy	daldy	IT2a split exposes DAL before the completion tail while ZL3b/RF1b retain fusion
G653-B06	S_ODAL_SEED_PREPARATION_FAMILY	f93r	f93r.11	s odal / sodal	okeol oteol s odam sheo al sal	okeol oteol sodal sheo al sal	okeol oteol s odal sheo al sal	reader split directly exposes the S plus ODAL fusion
G653-B07	CKH_AL_FORM_FAMILY	f83r	f83r.39	chckhal / ckhal / sheckhal	qokain shey kain chckhal	qokain shey kain chckhal	qokain shey kain chckhal	strict target belongs to the observed CKH plus AL sister field
G653-B08	S_K_AR_SEED_FRACTION_FAMILY	f83r	f83r.44	skar / kar / lkar / rkar	skar shedy	skar shedy	skar shedy	strict singleton belongs to the populated material-head KAR set
G653-B09	OR_OL_FUSION_FAMILY	f82r	f82r.10	oroldair / orol dain / orol dair	oroldair	orol dain	orol dair	superform reader split exposes OROL as one complete unit before a value tail
G653-B10	S_ODAL_SEED_PREPARATION_FAMILY	f116r	f116r.50	sodal / s dal	sodal ch al chcthy chckhy qol ain ary	sodal chal chcthy chckhy qol ain ary	s dal chal chcthy chckhy qol ain ary	reader warning: RF1b omits O, so this is family support but not split normalization
G653-B11	OR_OL_FUSION_FAMILY	f102v2	f102v2.19	o r o l / or ol	deeeo qoeeor o eoy cheos o l o r o l okeeos ain	dcheo qoeeor oeoikhy cheos ol or ol okeeor ain	deeeo qoeeas o eoy cheos o l or ol okeeos ain	reader granularity independently exposes OR and OL without a fused target token
