prompt_position	step	source_prompt_de	exact_card_id	component_recipe	card_meaning_de	encoding_rule
1	1	ZUTAT	PROC052	HO	ZUTAT	One shared semantic prompt selects one exact card before surface rendering.
2	1	LAUFENDER_POSTEN	PROC019	Y	POSTEN	One shared semantic prompt selects one exact card before surface rendering.
3	2	QUELLE	PROC003	AR	QUELLE	One shared semantic prompt selects one exact card before surface rendering.
4	2	WASSER_ENTNEHMEN	PROC006	CH+AIR	ENTNEHMEN · WASSER	One shared semantic prompt selects one exact card before surface rendering.
5	2	SOLLMASS	PROC009	AIIN	SOLLMASS	One shared semantic prompt selects one exact card before surface rendering.
6	3	DAZU	PROC005	OS	DAZU	One shared semantic prompt selects one exact card before surface rendering.
7	3	ANSATZ	PROC016	OR	ANSATZ	One shared semantic prompt selects one exact card before surface rendering.
8	3	POSTEN_ANSETZEN	PROC008	OK+Y	ANSETZEN · POSTEN	One shared semantic prompt selects one exact card before surface rendering.
9	4	POSTEN_BEREITEN	PROC014	CTH+Y	BEREITEN · POSTEN	One shared semantic prompt selects one exact card before surface rendering.
10	4	POSTEN_LANG_HALTEN	PROC031	SH+EE+Y	HALTEN · LANG · POSTEN	One shared semantic prompt selects one exact card before surface rendering.
11	5	DAVON	PROC034	RESUME_CARD	DAVON	One shared semantic prompt selects one exact card before surface rendering.
12	5	SOLLMASS_ANSETZEN	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	One shared semantic prompt selects one exact card before surface rendering.
13	5	WEITER	PROC013	OL	WEITER	One shared semantic prompt selects one exact card before surface rendering.
14	6	ZIELSTELLE	PROC055	AL	ZIELSTELLE	One shared semantic prompt selects one exact card before surface rendering.
15	6	STEHENLASSEN_UND_SCHLIESSEN	PROC078	SHED+DY	STEHENLASSEN · SCHLUSS	One shared semantic prompt selects one exact card before surface rendering.
