apprentice	step	input_command_de	chosen_exact_card_sequence	expected_exact_card_sequence	rendered_surface_sequence	same_encoding
S1_BARE	1	Die Zutat als laufenden Posten nehmen.	PROC052 | PROC019	PROC052 | PROC019	cho y	YES
S1_BARE	2	Aus der Quelle Wasser bis zum Sollmaß entnehmen.	PROC003 | PROC006 | PROC009	PROC003 | PROC006 | PROC009	dar chair aiin	YES
S1_BARE	3	Dazu den Ansatz nehmen und den Posten ansetzen.	PROC005 | PROC016 | PROC008	PROC005 | PROC016 | PROC008	os or oky	YES
S1_BARE	4	Den Posten bereiten und länger halten.	PROC014 | PROC031	PROC014 | PROC031	cthy shey	YES
S1_BARE	5	Davon nach Sollmaß ansetzen und weiterarbeiten.	PROC034 | PROC038 | PROC013	PROC034 | PROC038 | PROC013	dchol okaiin ol	YES
S1_BARE	6	An der Zielstelle stehen lassen; den Schritt schließen.	PROC055 | PROC078	PROC055 | PROC078	al tedy	YES
S2_CH	1	Die Zutat als laufenden Posten nehmen.	PROC052 | PROC019	PROC052 | PROC019	cho chey	YES
S2_CH	2	Aus der Quelle Wasser bis zum Sollmaß entnehmen.	PROC003 | PROC006 | PROC009	PROC003 | PROC006 | PROC009	char chair chaiin	YES
S2_CH	3	Dazu den Ansatz nehmen und den Posten ansetzen.	PROC005 | PROC016 | PROC008	PROC005 | PROC016 | PROC008	os chor choky	YES
S2_CH	4	Den Posten bereiten und länger halten.	PROC014 | PROC031	PROC014 | PROC031	checthy cheey	YES
S2_CH	5	Davon nach Sollmaß ansetzen und weiterarbeiten.	PROC034 | PROC038 | PROC013	PROC034 | PROC038 | PROC013	dchol okaiin cheol	YES
S2_CH	6	An der Zielstelle stehen lassen; den Schritt schließen.	PROC055 | PROC078	PROC055 | PROC078	cheal cheedy	YES
S3_Q_SH	1	Die Zutat als laufenden Posten nehmen.	PROC052 | PROC019	PROC052 | PROC019	sho shy	YES
S3_Q_SH	2	Aus der Quelle Wasser bis zum Sollmaß entnehmen.	PROC003 | PROC006 | PROC009	PROC003 | PROC006 | PROC009	sar chair saiin	YES
S3_Q_SH	3	Dazu den Ansatz nehmen und den Posten ansetzen.	PROC005 | PROC016 | PROC008	PROC005 | PROC016 | PROC008	os shor qoky	YES
S3_Q_SH	4	Den Posten bereiten und länger halten.	PROC014 | PROC031	PROC014 | PROC031	shcthy shey	YES
S3_Q_SH	5	Davon nach Sollmaß ansetzen und weiterarbeiten.	PROC034 | PROC038 | PROC013	PROC034 | PROC038 | PROC013	schol qokaiin qol	YES
S3_Q_SH	6	An der Zielstelle stehen lassen; den Schritt schließen.	PROC055 | PROC078	PROC055 | PROC078	sal shedy	YES
S4_D_T	1	Die Zutat als laufenden Posten nehmen.	PROC052 | PROC019	PROC052 | PROC019	cho dy	YES
S4_D_T	2	Aus der Quelle Wasser bis zum Sollmaß entnehmen.	PROC003 | PROC006 | PROC009	PROC003 | PROC006 | PROC009	dar chair daiin	YES
S4_D_T	3	Dazu den Ansatz nehmen und den Posten ansetzen.	PROC005 | PROC016 | PROC008	PROC005 | PROC016 | PROC008	os or oky	YES
S4_D_T	4	Den Posten bereiten und länger halten.	PROC014 | PROC031	PROC014 | PROC031	cthy shey	YES
S4_D_T	5	Davon nach Sollmaß ansetzen und weiterarbeiten.	PROC034 | PROC038 | PROC013	PROC034 | PROC038 | PROC013	dchol okaiin tol	YES
S4_D_T	6	An der Zielstelle stehen lassen; den Schritt schließen.	PROC055 | PROC078	PROC055 | PROC078	dal tedy	YES
