apprentice	prompt_position	step	source_prompt_de	chosen_exact_card_id	expected_exact_card_id	component_recipe	rendered_surface	registered_surface	same_card_choice
S1_BARE	1	1	ZUTAT	PROC052	PROC052	HO	cho	YES	YES
S1_BARE	2	1	LAUFENDER_POSTEN	PROC019	PROC019	Y	y	YES	YES
S1_BARE	3	2	QUELLE	PROC003	PROC003	AR	dar	YES	YES
S1_BARE	4	2	WASSER_ENTNEHMEN	PROC006	PROC006	CH+AIR	chair	YES	YES
S1_BARE	5	2	SOLLMASS	PROC009	PROC009	AIIN	aiin	YES	YES
S1_BARE	6	3	DAZU	PROC005	PROC005	OS	os	YES	YES
S1_BARE	7	3	ANSATZ	PROC016	PROC016	OR	or	YES	YES
S1_BARE	8	3	POSTEN_ANSETZEN	PROC008	PROC008	OK+Y	oky	YES	YES
S1_BARE	9	4	POSTEN_BEREITEN	PROC014	PROC014	CTH+Y	cthy	YES	YES
S1_BARE	10	4	POSTEN_LANG_HALTEN	PROC031	PROC031	SH+EE+Y	shey	YES	YES
S1_BARE	11	5	DAVON	PROC034	PROC034	RESUME_CARD	dchol	YES	YES
S1_BARE	12	5	SOLLMASS_ANSETZEN	PROC038	PROC038	OK+AIIN	okaiin	YES	YES
S1_BARE	13	5	WEITER	PROC013	PROC013	OL	ol	YES	YES
S1_BARE	14	6	ZIELSTELLE	PROC055	PROC055	AL	al	YES	YES
S1_BARE	15	6	STEHENLASSEN_UND_SCHLIESSEN	PROC078	PROC078	SHED+DY	tedy	YES	YES
S2_CH	1	1	ZUTAT	PROC052	PROC052	HO	cho	YES	YES
S2_CH	2	1	LAUFENDER_POSTEN	PROC019	PROC019	Y	chey	YES	YES
S2_CH	3	2	QUELLE	PROC003	PROC003	AR	char	YES	YES
S2_CH	4	2	WASSER_ENTNEHMEN	PROC006	PROC006	CH+AIR	chair	YES	YES
S2_CH	5	2	SOLLMASS	PROC009	PROC009	AIIN	chaiin	YES	YES
S2_CH	6	3	DAZU	PROC005	PROC005	OS	os	YES	YES
S2_CH	7	3	ANSATZ	PROC016	PROC016	OR	chor	YES	YES
S2_CH	8	3	POSTEN_ANSETZEN	PROC008	PROC008	OK+Y	choky	YES	YES
S2_CH	9	4	POSTEN_BEREITEN	PROC014	PROC014	CTH+Y	checthy	YES	YES
S2_CH	10	4	POSTEN_LANG_HALTEN	PROC031	PROC031	SH+EE+Y	cheey	YES	YES
S2_CH	11	5	DAVON	PROC034	PROC034	RESUME_CARD	dchol	YES	YES
S2_CH	12	5	SOLLMASS_ANSETZEN	PROC038	PROC038	OK+AIIN	okaiin	YES	YES
S2_CH	13	5	WEITER	PROC013	PROC013	OL	cheol	YES	YES
S2_CH	14	6	ZIELSTELLE	PROC055	PROC055	AL	cheal	YES	YES
S2_CH	15	6	STEHENLASSEN_UND_SCHLIESSEN	PROC078	PROC078	SHED+DY	cheedy	YES	YES
S3_Q_SH	1	1	ZUTAT	PROC052	PROC052	HO	sho	YES	YES
S3_Q_SH	2	1	LAUFENDER_POSTEN	PROC019	PROC019	Y	shy	YES	YES
S3_Q_SH	3	2	QUELLE	PROC003	PROC003	AR	sar	YES	YES
S3_Q_SH	4	2	WASSER_ENTNEHMEN	PROC006	PROC006	CH+AIR	chair	YES	YES
S3_Q_SH	5	2	SOLLMASS	PROC009	PROC009	AIIN	saiin	YES	YES
S3_Q_SH	6	3	DAZU	PROC005	PROC005	OS	os	YES	YES
S3_Q_SH	7	3	ANSATZ	PROC016	PROC016	OR	shor	YES	YES
S3_Q_SH	8	3	POSTEN_ANSETZEN	PROC008	PROC008	OK+Y	qoky	YES	YES
S3_Q_SH	9	4	POSTEN_BEREITEN	PROC014	PROC014	CTH+Y	shcthy	YES	YES
S3_Q_SH	10	4	POSTEN_LANG_HALTEN	PROC031	PROC031	SH+EE+Y	shey	YES	YES
S3_Q_SH	11	5	DAVON	PROC034	PROC034	RESUME_CARD	schol	YES	YES
S3_Q_SH	12	5	SOLLMASS_ANSETZEN	PROC038	PROC038	OK+AIIN	qokaiin	YES	YES
S3_Q_SH	13	5	WEITER	PROC013	PROC013	OL	qol	YES	YES
S3_Q_SH	14	6	ZIELSTELLE	PROC055	PROC055	AL	sal	YES	YES
S3_Q_SH	15	6	STEHENLASSEN_UND_SCHLIESSEN	PROC078	PROC078	SHED+DY	shedy	YES	YES
S4_D_T	1	1	ZUTAT	PROC052	PROC052	HO	cho	YES	YES
S4_D_T	2	1	LAUFENDER_POSTEN	PROC019	PROC019	Y	dy	YES	YES
S4_D_T	3	2	QUELLE	PROC003	PROC003	AR	dar	YES	YES
S4_D_T	4	2	WASSER_ENTNEHMEN	PROC006	PROC006	CH+AIR	chair	YES	YES
S4_D_T	5	2	SOLLMASS	PROC009	PROC009	AIIN	daiin	YES	YES
S4_D_T	6	3	DAZU	PROC005	PROC005	OS	os	YES	YES
S4_D_T	7	3	ANSATZ	PROC016	PROC016	OR	or	YES	YES
S4_D_T	8	3	POSTEN_ANSETZEN	PROC008	PROC008	OK+Y	oky	YES	YES
S4_D_T	9	4	POSTEN_BEREITEN	PROC014	PROC014	CTH+Y	cthy	YES	YES
S4_D_T	10	4	POSTEN_LANG_HALTEN	PROC031	PROC031	SH+EE+Y	shey	YES	YES
S4_D_T	11	5	DAVON	PROC034	PROC034	RESUME_CARD	dchol	YES	YES
S4_D_T	12	5	SOLLMASS_ANSETZEN	PROC038	PROC038	OK+AIIN	okaiin	YES	YES
S4_D_T	13	5	WEITER	PROC013	PROC013	OL	tol	YES	YES
S4_D_T	14	6	ZIELSTELLE	PROC055	PROC055	AL	dal	YES	YES
S4_D_T	15	6	STEHENLASSEN_UND_SCHLIESSEN	PROC078	PROC078	SHED+DY	tedy	YES	YES
