locus	ordinal	surface	dispatch_class	v60_literal_gloss_de	confidence	evidence_key	strongest_rival_de
f107r.2	1	dchey	ACTION_DRY_MEASURED_PORTION_TO_MIDDLE	Eine abgemessene Portion bis zur Mittelstufe trocknen	HIGH	LINE_ENTRY_NO_IMMEDIATE_VALUE	fertige abgemessene Mittelstufen-Trockenportion
f10r.2	1	dchey	ACTION_DRY_MEASURED_PORTION_TO_MIDDLE	Eine abgemessene Portion bis zur Mittelstufe trocknen	HIGH	LINE_ENTRY_NO_IMMEDIATE_VALUE	fertige abgemessene Mittelstufen-Trockenportion
f115r.23	1	dchey	ACTION_DRY_MEASURED_PORTION_TO_MIDDLE	Eine abgemessene Portion bis zur Mittelstufe trocknen	HIGH	LINE_ENTRY_NO_IMMEDIATE_VALUE	fertige abgemessene Mittelstufen-Trockenportion
f23r.6	2	y	RIGHT_REFERENCE	Hierzu:	HIGH	GDT659_RIGHT_MATERIA_REFERENCE	neuer Unterposten
f23r.6	8	dchey	NOMINAL_FINISHED_MIDDLE_DRY_PORTION	fertige abgemessene Mittelstufen-Trockenportion	HIGH	MEDIAL_RESULT_SLOT	Trocknungsbefehl
f24v.15	1	dchey	ACTION_DRY_MEASURED_PORTION_TO_MIDDLE	Eine abgemessene Portion bis zur Mittelstufe trocknen	HIGH	LINE_ENTRY_NO_IMMEDIATE_VALUE	fertige abgemessene Mittelstufen-Trockenportion
f26r.2	1	dchey	NOMINAL_FINISHED_MIDDLE_DRY_PORTION	fertige abgemessene Mittelstufen-Trockenportion	HIGH	IMMEDIATE_VALUE_AIIN	Trocknungsbefehl
f26r.2	7	dy	CLAUSE_STOP	;	HIGH	INTERNAL_BETWEEN_COMPLETED_BLOCKS	gesprochener Schließbefehl
f27r.9	1	dchey	ACTION_DRY_MEASURED_PORTION_TO_MIDDLE	Eine abgemessene Portion bis zur Mittelstufe trocknen	HIGH	LINE_ENTRY_NO_IMMEDIATE_VALUE	fertige abgemessene Mittelstufen-Trockenportion
f30r.9	1	dchey	ACTION_DRY_MEASURED_PORTION_TO_MIDDLE	Eine abgemessene Portion bis zur Mittelstufe trocknen	HIGH	LINE_ENTRY_NO_IMMEDIATE_VALUE	fertige abgemessene Mittelstufen-Trockenportion
f49r.16	3	dchey	NOMINAL_FINISHED_MIDDLE_DRY_PORTION	fertige abgemessene Mittelstufen-Trockenportion	HIGH	MEDIAL_RESULT_SLOT	Trocknungsbefehl
f56r.6	2	dy	CLAUSE_STOP	;	HIGH	INTERNAL_ACTION_TO_RESULT_BOUNDARY	gesprochener Schließbefehl
f56r.6	3	dchey	NOMINAL_FINISHED_MIDDLE_DRY_PORTION	fertige abgemessene Mittelstufen-Trockenportion	HIGH	MEDIAL_RESULT_SLOT	Trocknungsbefehl
f56r.6	6	y	LINE_STOP	.	HIGH	GDT659_EOS_CLOSE	gesprochener Eintragsschluss
f76v.10	10	dy	LINE_STOP	.	HIGH	TERMINAL_AFTER_VALUE_BLOCK	gesprochener Schließbefehl
f7r.2	6	dchey	NOMINAL_FINISHED_MIDDLE_DRY_PORTION	fertige abgemessene Mittelstufen-Trockenportion	HIGH	MEDIAL_RESULT_SLOT	Trocknungsbefehl
f80v.35	4	y	RIGHT_REFERENCE	Hierzu:	AMBER	LOCAL_QOL_QOL_RIGHT_ACTION	bloßes Scharnier
f86v3.13	8	y	RIGHT_REFERENCE	Hierzu:	HIGH	GDT659_RIGHT_REFERENCE	neuer Unterposten
f86v3.19	1	dchey	ACTION_DRY_MEASURED_PORTION_TO_MIDDLE	Eine abgemessene Portion bis zur Mittelstufe trocknen	HIGH	LINE_ENTRY_NO_IMMEDIATE_VALUE	fertige abgemessene Mittelstufen-Trockenportion
f88r.19	1	dchey	ACTION_DRY_MEASURED_PORTION_TO_MIDDLE	Eine abgemessene Portion bis zur Mittelstufe trocknen	HIGH	LINE_ENTRY_NO_IMMEDIATE_VALUE	fertige abgemessene Mittelstufen-Trockenportion
f8r.15	1	dchey	ACTION_DRY_MEASURED_PORTION_TO_MIDDLE	Eine abgemessene Portion bis zur Mittelstufe trocknen	HIGH	LINE_ENTRY_NO_IMMEDIATE_VALUE	fertige abgemessene Mittelstufen-Trockenportion
