surface	dispatch_class	v60_literal_gloss_de	dy_contribution	confidence
adeeody	NOMINAL_FINISHED_RESULT_STATE	gleicher abgemessener Teil des fertigen Ansatzes	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
aiindy	NOMINAL_FINISHED_RESULT_STATE	drei fertig abgeteilte Teile	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
chckhdy	NOMINAL_FINISHED_RESULT_STATE	fertiges trockenes Arzneikompositum, Anfangsstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
chdy	NOMINAL_FINISHED_RESULT_STATE	fertige Trocken-Anfangsstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
checthedy	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	Krautdroge in zwei mäßigen Trockengängen fertig trocknen	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	AMBER
chedy	NOMINAL_FINISHED_RESULT_STATE	fertige mittlere Trockenstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
cheody	NOMINAL_FINISHED_RESULT_STATE	fertiger Trockenansatz	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
chody	NOMINAL_FINISHED_RESULT_STATE	fertiger Trockenansatz	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
dairody	NOMINAL_FINISHED_RESULT_STATE	fertige abgemessene Ansatzfraktion II	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
dchedy	NOMINAL_FINISHED_RESULT_STATE	fertige abgemessene Trockenportion	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
dshedy	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	eine abgemessene Portion Droge bis zur Mittelstufe einweichen	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	HIGH
kchdy	NOMINAL_FINISHED_RESULT_STATE	fertige heiß-trockene Anfangsstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
kchody	NOMINAL_FINISHED_RESULT_STATE	fertiger heiß-trockener Ansatz	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
ldy	NOMINAL_FINISHED_RESULT_STATE	fertig aufbereitete Holzdroge	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
lkedy	NOMINAL_FINISHED_RESULT_STATE	fertige erhitzte Holzdroge, Mittelstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
lshedy	NOMINAL_FINISHED_RESULT_STATE	fertig eingeweichtes Drogenholz	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
ltedy	NOMINAL_FINISHED_RESULT_STATE	fertig abgekühlte Holzdroge, Mittelstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
ochdy	NOMINAL_FINISHED_RESULT_STATE	fertiger Trockenansatz	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
oechedy	NOMINAL_FINISHED_RESULT_STATE	fertiger bis zur Mittelstufe getrockneter Ansatz	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
ofchedy	NOMINAL_FINISHED_RESULT_STATE	fertig getrockneter Blütenansatz	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
okchedy	NOMINAL_FINISHED_RESULT_STATE	fertiger heiß-trockener Ansatz, Mittelstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
