instruction_no	mode_id	record	page	locus	input_rule_surface	remove_wrapper	retain_tail	apply_wrapper_stamp	predicted_local_surface	observed_local_surface	support_events	event_ids	copy_rule_de
1	LR01	H1	f10r	f10r.2	choky	ch	oky	Ø	oky	oky	1	E008	Vorderen Träger ch abheben, Rest oky stehen lassen, Stempel Ø vorsetzen.
2	LR02	H1	f10r	f10r.5	okchy	Ø	okchy	q	qokchy	qokchy	1	E011	Vorderen Träger Ø abheben, Rest okchy stehen lassen, Stempel q vorsetzen.
3	LR03	H2	f10r	f10r.6	chy	ch	y	d	dy	dy	1	E020	Vorderen Träger ch abheben, Rest y stehen lassen, Stempel d vorsetzen.
4	LR03	H2	f10r	f10r.6	daiin	d	aiin	t	taiin	taiin	1	E022	Vorderen Träger d abheben, Rest aiin stehen lassen, Stempel t vorsetzen.
5	LR03	H2	f10r	f10r.6	chey	che	y	sh	shy	shy	1	E023	Vorderen Träger che abheben, Rest y stehen lassen, Stempel sh vorsetzen.
6	LR04	H2	f10r	f10r.8	otchor	Ø	otchor	q	qotchor	qotchor	1	E024	Vorderen Träger Ø abheben, Rest otchor stehen lassen, Stempel q vorsetzen.
7	LR04	H2	f10r	f10r.8	olor	Ø	olor	ch	cholor	cholor	1	E028	Vorderen Träger Ø abheben, Rest olor stehen lassen, Stempel ch vorsetzen.
8	LR04	H2	f10r	f10r.8	char	ch	ar	d	dar	dar	1	E031	Vorderen Träger ch abheben, Rest ar stehen lassen, Stempel d vorsetzen.
9	LR05	H2	f10r	f10r.9	chor	c	hor	s	shor	shor	1	E033	Vorderen Träger c abheben, Rest hor stehen lassen, Stempel s vorsetzen.
10	LR05	H2	f10r	f10r.9	chy	ch	y	d	dy	dy	1	E037	Vorderen Träger ch abheben, Rest y stehen lassen, Stempel d vorsetzen.
11	LR06	H3	f11r	f11r.1	cheey	che	ey	sh	shey	shey	1	E044	Vorderen Träger che abheben, Rest ey stehen lassen, Stempel sh vorsetzen.
12	LR07	H3	f11r	f11r.4	chy	ch	y	d	dy	dy	1	E050	Vorderen Träger ch abheben, Rest y stehen lassen, Stempel d vorsetzen.
13	LR08	H3	f11r	f11r.7	chey	che	y	d	dy	dy	1	E055	Vorderen Träger che abheben, Rest y stehen lassen, Stempel d vorsetzen.
14	LR09	H4	f55v	f55v.5	daiin	d	aiin	ch	chaiin	chaiin	1	E057	Vorderen Träger d abheben, Rest aiin stehen lassen, Stempel ch vorsetzen.
15	LR10	H4	f55v	f55v.11	daiin	d	aiin	Ø	aiin	aiin	1	E068	Vorderen Träger d abheben, Rest aiin stehen lassen, Stempel Ø vorsetzen.
16	LR10	H4	f55v	f55v.11	qokal	q	okal	Ø	okal	okal	1	E069	Vorderen Träger q abheben, Rest okal stehen lassen, Stempel Ø vorsetzen.
17	LR10	H4	f55v	f55v.11	chor	ch	or	Ø	or	or	1	E071	Vorderen Träger ch abheben, Rest or stehen lassen, Stempel Ø vorsetzen.
18	LR10	H4	f55v	f55v.11	chey	che	y	Ø	y	y	1	E072	Vorderen Träger che abheben, Rest y stehen lassen, Stempel Ø vorsetzen.
19	LR11	H5	f56r	f56r.8	dchol	d	chol	s	schol	schol	1	E083	Vorderen Träger d abheben, Rest chol stehen lassen, Stempel s vorsetzen.
20	LR12	H5	f56r	f56r.18	okchy	Ø	okchy	ch	chokchy	chokchy	1	E095	Vorderen Träger Ø abheben, Rest okchy stehen lassen, Stempel ch vorsetzen.
21	LR13	B1	f81v	f81v.2	qokaiin	q	okaiin	Ø	okaiin	okaiin	1	E102	Vorderen Träger q abheben, Rest okaiin stehen lassen, Stempel Ø vorsetzen.
