pair_no	input_rule_surface	local_output_surface	remove_wrapper	retain_tail	apply_wrapper_stamp	locus_tables_using_pair	memorize_whole_pair
1	char	dar	ch	ar	d	2	NO
2	char	sar	ch	ar	s	1	NO
3	chckhy	shckhy	c	hckhy	s	1	NO
4	checthy	shcthy	che	cthy	sh	2	NO
5	chedy	chdy	che	dy	ch	1	NO
6	cheey	shey	che	ey	sh	2	NO
7	chey	dy	che	y	d	2	NO
8	chey	shy	che	y	sh	1	NO
9	chey	sy	che	y	s	1	NO
10	chey	y	che	y	Ø	1	NO
11	choky	oky	ch	oky	Ø	1	NO
12	chor	or	ch	or	Ø	2	NO
13	chor	shor	c	hor	s	1	NO
14	chor	sor	ch	or	s	1	NO
15	chty	chety	ch	ty	che	1	NO
16	chy	dy	ch	y	d	3	NO
17	daiin	aiin	d	aiin	Ø	3	NO
18	daiin	chaiin	d	aiin	ch	1	NO
19	daiin	saiin	d	aiin	s	1	NO
20	daiin	taiin	d	aiin	t	1	NO
21	dal	al	d	al	Ø	1	NO
22	dal	chal	d	al	ch	1	NO
23	dal	cheal	d	al	che	1	NO
24	dal	sal	d	al	s	1	NO
25	dal	tal	d	al	t	1	NO
26	dchol	schol	d	chol	s	1	NO
27	kain	chkain	Ø	kain	ch	1	NO
28	oiiin	soiiin	Ø	oiiin	s	1	NO
29	okchedy	qokchedy	Ø	okchedy	q	1	NO
30	okchy	chokchy	Ø	okchy	ch	1	NO
31	okchy	qokchy	Ø	okchy	q	1	NO
32	okey	qokey	Ø	okey	q	1	NO
33	ol	cheol	Ø	ol	che	1	NO
34	ol	qol	Ø	ol	q	3	NO
35	ol	tol	Ø	ol	t	1	NO
36	olkain	qolkain	Ø	olkain	q	1	NO
37	olkeedy	solkeedy	Ø	olkeedy	s	1	NO
38	olor	cholor	Ø	olor	ch	1	NO
39	otaiin	sotaiin	Ø	otaiin	s	1	NO
40	otchedy	qotchedy	Ø	otchedy	q	1	NO
41	otchor	qotchor	Ø	otchor	q	1	NO
42	qcthey	shcthey	q	cthey	sh	1	NO
43	qokaiin	okaiin	q	okaiin	Ø	1	NO
44	qokain	okain	q	okain	Ø	2	NO
45	qokal	okal	q	okal	Ø	2	NO
46	qokeey	okeey	q	okeey	Ø	1	NO
47	qolchedy	olchedy	q	olchedy	Ø	1	NO
48	qotal	otal	q	otal	Ø	1	NO
49	saiin	daiin	s	aiin	d	1	NO
50	schedy	dchedy	s	chedy	d	1	NO
51	schedy	tchedy	s	chedy	t	1	NO
52	shedy	cheedy	sh	edy	che	1	NO
53	shedy	tedy	sh	edy	t	1	NO
